# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A1CF	unnamed (+232350)
CTNNBIP1	unnamed (+21188)
CTNNBL1	unnamed (+55844), unnamed (+82319), unnamed (+83994)
CTPS1	unnamed (+36665), unnamed (+39015)
CTSL	unnamed (+731)
CTU2	unnamed (+5528), unnamed (+17078), unnamed (+31078), unnamed (+63603), unnamed (+64828)
CUL1	unnamed (-182662), unnamed (+23338), unnamed (+71088), unnamed (+87888), unnamed (+88938), unnamed (+114813), unnamed (+118263), unnamed (+149088), unnamed (+183788)
CUL5	unnamed (+16467)
CUL9	unnamed (+5050)
CUX1	unnamed (+14239), unnamed (+16214), unnamed (+43164), unnamed (+59289), unnamed (+81164), unnamed (+258189), unnamed (+348914), unnamed (+359414), unnamed (+420114)
CWC15	unnamed (+48762)
CWC22	unnamed (+54178), unnamed (+54953)
CWF19L2	unnamed (-106006)
CX3CL1	unnamed (+8842)
CXADR	unnamed (+218), unnamed (+718)
CXCL13	unnamed (+220147), unnamed (+222247)
CXCR4	unnamed (-278957), unnamed (-275832), unnamed (-274782), unnamed (-168632)
CXCR5	unnamed (-64741)
CXXC5	unnamed (-73292)
CYB561A3	unnamed (+23538)
CYB5D2	unnamed (+73494)
CYB5R2	unnamed (+21733), unnamed (+47083)
CYBA	unnamed (+5477)
CYBRD1	unnamed (+133152)
CYGB	unnamed (+8055)
CYP24A1	unnamed (+95373)
CYP26A1	unnamed (+339010)
CYP27A1	unnamed (-67556)
CYP27C1	unnamed (-76083), unnamed (-49533)
CYP2W1	unnamed (+16526), unnamed (+17151), unnamed (+21276), unnamed (+41351)
CYP46A1	unnamed (-1014), unnamed (-439)
CYP4F2	unnamed (+60370)
CYP4V2	unnamed (-46495)
CYP51A1	unnamed (+139230)
CYP7A1	unnamed (+55486)
CYP7B1	unnamed (+103761)
CYTH1	unnamed (-14431), unnamed (+74019), unnamed (+75144), unnamed (+76844), unnamed (+77444), unnamed (+78269), unnamed (+82419), unnamed (+83894), unnamed (+135894), unnamed (+136394)
CYTH2	unnamed (+5493)
CYTH3	unnamed (+110344)
CYTIP	unnamed (-1608), unnamed (+37967)
DAAM1	unnamed (+92620), unnamed (+96345), unnamed (+96895), unnamed (+97320), unnamed (+158645)
DAB2	unnamed (-608430)
DACT3	unnamed (-44212), unnamed (-30212), unnamed (-29062)
DAD1	unnamed (+207069), unnamed (+665019)
DAP	unnamed (-66397), unnamed (-64597), unnamed (+116653), unnamed (+119078), unnamed (+124703), unnamed (+126078), unnamed (+126953), unnamed (+127953), unnamed (+140653), unnamed (+153103), unnamed (+159303), unnamed (+160153), unnamed (+181828), unnamed (+182403), unnamed (+194178), unnamed (+196053), unnamed (+198678), unnamed (+224303)
DAP3	unnamed (+28617)
DAPP1	unnamed (-242221), unnamed (-241696), unnamed (-8021), unnamed (+2254), unnamed (+16779), unnamed (+25479), unnamed (+27004), unnamed (+28429), unnamed (+33754), unnamed (+35504), unnamed (+36404), unnamed (+37204), unnamed (+45579), unnamed (+47729)
DARS	unnamed (+23109)
DAZL	unnamed (+81540), unnamed (+83965), unnamed (+85890)
DBF4	unnamed (-2079)
DBX1	unnamed (+383263)
DCAF1	unnamed (+65119), unnamed (+91394)
DCAF13	unnamed (-17589), unnamed (-16839), unnamed (-914)
DCAF15	unnamed (+13308)
DCAF16	unnamed (-3992), unnamed (+2308), unnamed (+180908)
DCAF8	unnamed (+17151), unnamed (+24376), unnamed (+24951), unnamed (+25476), unnamed (+37251)
DCBLD2	unnamed (+39)
DCK	unnamed (-62489), unnamed (-50364)
DCLK3	unnamed (-188039), unnamed (-185339), unnamed (-162364), unnamed (-157739), unnamed (-126714), unnamed (+65386)
DCP1B	unnamed (+51636), unnamed (+70236), unnamed (+70811), unnamed (+79286)
DCP2	unnamed (+45264), unnamed (+47114)
DCPS	unnamed (-11077), unnamed (+32998), unnamed (+41373)
DCSTAMP	unnamed (+107049)
DCT	unnamed (+152257), unnamed (+155732)
DCTN1	unnamed (-56770)
DCTN4	unnamed (+7235), unnamed (+7960), unnamed (+8510)
DCTN5	unnamed (+9833)
DCTPP1	unnamed (+20450)
DDAH1	unnamed (+174965)
DDB1	unnamed (-5009)
DDC	unnamed (-96868)
DDI2	unnamed (+22150)
DDIAS	unnamed (+27298), unnamed (+29398), unnamed (+75573), unnamed (+78073), unnamed (+78698), unnamed (+79048), unnamed (+93473), unnamed (+123873), unnamed (+126523), unnamed (+145698), unnamed (+154273)
DDIT4	unnamed (+48580), unnamed (+49030), unnamed (+54855)
DDX10	unnamed (+7950)
DDX18	unnamed (+135025), unnamed (+138375), unnamed (+187475), unnamed (+191625)
DDX19A	unnamed (+43746)
DDX20	unnamed (+1845)
DDX31	unnamed (-134449)
DDX43	unnamed (+302)
DDX46	unnamed (+67144)
DDX47	unnamed (+979), unnamed (+6879)
DDX51	unnamed (+151760)
DDX56	unnamed (+6702)
DDX6	unnamed (-28077)
DEC1	unnamed (+50382), unnamed (+69957)
DEF6	unnamed (+26698)
DENND1A	unnamed (+269932), unnamed (+321257)
DENND1B	unnamed (-3532), unnamed (-1932)
DENND2D	unnamed (+40564)
DENND3	unnamed (-41596), unnamed (-38746), unnamed (-34121), unnamed (-33446), unnamed (-30971), unnamed (-23721), unnamed (-19071), unnamed (-15071), unnamed (-11271), unnamed (-8471), unnamed (-6721), unnamed (-1096), unnamed (+1779), unnamed (+5254), unnamed (+7054), unnamed (+7829), unnamed (+13404), unnamed (+14954), unnamed (+16254), unnamed (+19804), unnamed (+21229), unnamed (+21804), unnamed (+28804), unnamed (+31354), unnamed (+34679), unnamed (+38429), unnamed (+46429), unnamed (+47379), unnamed (+48429), unnamed (+51229), unnamed (+52229), unnamed (+54504), unnamed (+65604)
DENND4A	unnamed (+132374), unnamed (+132749)
DENND5B	unnamed (+70867), unnamed (+110617), unnamed (+111817)
DENND6A	unnamed (+33689)
DENR	unnamed (+13826)
DEPDC1B	unnamed (+101911), unnamed (+158536), unnamed (+161061), unnamed (+178086), unnamed (+205786)
DERA	unnamed (+74678)
DERL1	unnamed (+1748), unnamed (+17523), unnamed (+18523), unnamed (+24673), unnamed (+90373), unnamed (+91248), unnamed (+93898), unnamed (+129498), unnamed (+145548), unnamed (+156248)
DERL3	unnamed (+9181)
DESI1	unnamed (+1696)
DFNA5	unnamed (-208687), unnamed (-153562), unnamed (-138412), unnamed (-122237), unnamed (-119662), unnamed (-90487), unnamed (-87962), unnamed (-86787), unnamed (-85937), unnamed (-79687), unnamed (-71212), unnamed (-55762), unnamed (-55412), unnamed (+38063)
DGCR8	unnamed (-48182)
DGKD	unnamed (+9418), unnamed (+19268)
DGKE	unnamed (+61051), unnamed (+62026), unnamed (+64726), unnamed (+73201), unnamed (+77226)
DGUOK	unnamed (+8774)
DHCR7	unnamed (+195960), unnamed (+196710), unnamed (+244060)
DHDDS	unnamed (+18370)
DHFR	unnamed (-86667)
DHRS1	unnamed (+2833), unnamed (+4008), unnamed (+20733)
DHRS12	unnamed (+158673), unnamed (+195198)
DHRS3	unnamed (+271981), unnamed (+297356)
DHRS7	unnamed (-34744), unnamed (-14894)
DHRS7B	unnamed (-502), unnamed (+78498)
DHRS9	unnamed (+5590), unnamed (+13865), unnamed (+33590)
DHX15	unnamed (+24975)
DHX30	unnamed (+53022)
DHX35	unnamed (-26335), unnamed (+25440), unnamed (+377115)
DHX37	unnamed (+36196)
DIAPH1	unnamed (+11880), unnamed (+32955), unnamed (+47955)
DIAPH3	unnamed (+19962), unnamed (+771837)
DICER1	unnamed (+16960), unnamed (+17910)
DIMT1	unnamed (+71908)
DIO3	unnamed (-441351), unnamed (-440501), unnamed (-439551), unnamed (-200626), unnamed (+34974)
DIP2A	unnamed (-108186), unnamed (-89386), unnamed (+42039)
DIP2B	unnamed (+93193)
DIP2C	unnamed (-188132)
DIRAS2	unnamed (+438605), unnamed (+941580)
DIS3	unnamed (-1317), unnamed (+15633), unnamed (+19758), unnamed (+22283), unnamed (+33608), unnamed (+45083)
DIS3L2	unnamed (+402117)
DISP3	unnamed (-103663)
DKK1	unnamed (-97571), unnamed (+122754), unnamed (+123204)
DKK2	unnamed (-664203), unnamed (-622528)
DLAT	unnamed (+25286)
DLC1	unnamed (+563186)
DLG1	unnamed (-215199), unnamed (+115701), unnamed (+119426), unnamed (+122751), unnamed (+157651), unnamed (+159426)
DLG2	unnamed (+310470)
DLG5	unnamed (+48601), unnamed (+52651), unnamed (+90226), unnamed (+215201)
DLGAP2	unnamed (-807941)
DLK2	unnamed (+10582), unnamed (+23432)
DLL1	unnamed (+200173), unnamed (+201273), unnamed (+202948), unnamed (+297698), unnamed (+300273)
DLST	unnamed (+19782), unnamed (+22357)
DMAC1	unnamed (-176658), unnamed (-174808), unnamed (-136008), unnamed (-122058), unnamed (+839542), unnamed (+844942), unnamed (+983467)
DMAC2	unnamed (-14661)
DMAP1	unnamed (+105459)
DMRT2	unnamed (+1521)
DMRTA2	unnamed (-532175), unnamed (-523475), unnamed (-512875), unnamed (-493850), unnamed (-323825), unnamed (-309900)
DMTF1	unnamed (-7904), unnamed (+3396)
DNAAF1	unnamed (+39283)
DNAAF5	unnamed (+43999), unnamed (+52924)
DNAH14	unnamed (+474208), unnamed (+483883), unnamed (+493883), unnamed (+495008), unnamed (+496083)
DNAH17	unnamed (-130881), unnamed (-129756), unnamed (-128056), unnamed (-127456), unnamed (-126631), unnamed (-122481), unnamed (-121006), unnamed (-69006), unnamed (-68506)
DNAH7	unnamed (-88763), unnamed (-37138), unnamed (+372637)
DNAH8	unnamed (+60284)
DNAI1	unnamed (+54198)
DNAJB12	unnamed (+26374), unnamed (+32199), unnamed (+32649)
DNAJB5	unnamed (+53759)
DNAJB6	unnamed (-159891), unnamed (-159541), unnamed (-81566), unnamed (+232434), unnamed (+276234), unnamed (+814634)
DNAJC1	unnamed (-975), unnamed (+114200)
DNAJC10	unnamed (+2753), unnamed (+3428), unnamed (+11403), unnamed (+34128), unnamed (+43203), unnamed (+48778)
DNAJC13	unnamed (+117874)
DNAJC15	unnamed (+53597)
DNAJC3	unnamed (+45336)
DNAJC5B	unnamed (-37635)
DNASE1	unnamed (-363), unnamed (+3837), unnamed (+10012)
DNASE2B	unnamed (-253107), unnamed (-245982), unnamed (-245457), unnamed (-125882)
DNER	unnamed (-199967), unnamed (-197142), unnamed (-196442), unnamed (-158617), unnamed (-142592), unnamed (-81467), unnamed (-62417), unnamed (-61492), unnamed (-60717)
DNHD1	unnamed (+95804)
DNLZ	unnamed (+3689)
DNM1L	unnamed (-119962), unnamed (+27363)
DNM2	unnamed (+46744), unnamed (+47394), unnamed (+85969), unnamed (+114169)
DNM3	unnamed (-55725), unnamed (-40675), unnamed (+535200)
DNMT1	unnamed (-34846)
DNMT3A	unnamed (-224685), unnamed (-219210)
DNMT3B	unnamed (+30090)
DNPH1	unnamed (+42259)
DNTTIP2	unnamed (-25144)
DOCK2	unnamed (+28878), unnamed (+30678), unnamed (+36053), unnamed (+49878), unnamed (+62528), unnamed (+64078), unnamed (+66053), unnamed (+68453), unnamed (+97353), unnamed (+102728), unnamed (+126228), unnamed (+128603), unnamed (+177703), unnamed (+178728), unnamed (+256653), unnamed (+287528), unnamed (+298678), unnamed (+309828)
DOCK3	unnamed (+620434)
DOCK8	unnamed (+8160), unnamed (+204585)
DOCK9	unnamed (-200735), unnamed (-150335), unnamed (+155840)
DOK1	unnamed (+20389)
DOK4	unnamed (-54020), unnamed (-49695), unnamed (-49045), unnamed (-44095), unnamed (+7055)
DOK7	unnamed (+20739), unnamed (+22839), unnamed (+23839), unnamed (+37314)
DOLPP1	unnamed (-32000), unnamed (-19950), unnamed (+2100)
DOPEY1	unnamed (+108534)
DOT1L	unnamed (+34176), unnamed (+58026), unnamed (+58651), unnamed (+59226), unnamed (+60951)
DPCD	unnamed (+83662), unnamed (+84887)
DPF3	unnamed (+372199), unnamed (+375099)
DPH5	unnamed (-153203), unnamed (+30347)
DPH7	unnamed (+10035)
DPM2	unnamed (-12191), unnamed (-9541)
DPP8	unnamed (+35748), unnamed (+60723)
DPP9	unnamed (+1363)
DPY19L2	unnamed (+402)
DPY19L3	unnamed (+52125)
DPYD	unnamed (+973), unnamed (+71923)
DPYS	unnamed (+20178)
DR1	unnamed (-157913)
DRAM1	unnamed (+14199), unnamed (+162599), unnamed (+175624)
DRAM2	unnamed (-20085)
DRC1	unnamed (-23666)
DRG1	unnamed (+48852), unnamed (+50927), unnamed (+53427)
DRG2	unnamed (+14139)
DSCAML1	unnamed (+401036)
DSEL	unnamed (+580)
DSG2	unnamed (-118)
DSN1	unnamed (+12901)
DST	unnamed (+309041)
DTD1	unnamed (+90532), unnamed (+91582), unnamed (+141157)
DTHD1	unnamed (+42153)
DTL	unnamed (+26473), unnamed (+55073)
DTNB	unnamed (-80541), unnamed (+106359), unnamed (+111834)
DTNBP1	unnamed (+9067), unnamed (+9817)
DTWD2	unnamed (+481895)
DTX1	unnamed (-4515), unnamed (+4510)
DTYMK	unnamed (+28641)
DUS4L	unnamed (-20333)
DUSP10	unnamed (-65449), unnamed (-64399), unnamed (-62399), unnamed (+98051), unnamed (+573226), unnamed (+584676), unnamed (+585451), unnamed (+587026)
DUSP22	unnamed (-111237), unnamed (-107887), unnamed (-98587), unnamed (-34887)
DUSP6	unnamed (-142004), unnamed (-136704), unnamed (-121429), unnamed (-108879), unnamed (+7096)
DUSP7	unnamed (-81050), unnamed (-37375)
DYM	unnamed (+97102), unnamed (+297952)
DYNC1I2	unnamed (-31970)
DYRK1A	unnamed (+21675), unnamed (+40925)
DYRK2	unnamed (-374471), unnamed (-373971), unnamed (-334571), unnamed (-199096), unnamed (+50729), unnamed (+225079), unnamed (+339254), unnamed (+343804), unnamed (+363529)
DYRK4	unnamed (-45528), unnamed (-44928)
DZIP3	unnamed (+7143)
E2F1	unnamed (+2204)
E2F2	unnamed (+23270)
E2F8	unnamed (-191955)
EAF2	unnamed (+1660), unnamed (+36535), unnamed (+37760), unnamed (+38260), unnamed (+44260)
EBAG9	unnamed (+11273), unnamed (+11923), unnamed (+20798), unnamed (+27823), unnamed (+30823), unnamed (+33973), unnamed (+36223)
EBF1	unnamed (-101314), unnamed (-100889), unnamed (-99939), unnamed (-92589), unnamed (-80389), unnamed (-79839), unnamed (-71389), unnamed (-7014), unnamed (-539), unnamed (+6386), unnamed (+7411), unnamed (+9211), unnamed (+11236), unnamed (+15736), unnamed (+22836), unnamed (+23186), unnamed (+23536), unnamed (+25236), unnamed (+28211), unnamed (+29161), unnamed (+29861), unnamed (+34186), unnamed (+35786), unnamed (+37611), unnamed (+40686), unnamed (+42911), unnamed (+44011), unnamed (+47036), unnamed (+49911), unnamed (+55736), unnamed (+61636), unnamed (+64811), unnamed (+66736), unnamed (+67736), unnamed (+72011), unnamed (+72986), unnamed (+74486), unnamed (+76211), unnamed (+79036), unnamed (+79836), unnamed (+80861), unnamed (+81911), unnamed (+83436), unnamed (+87461), unnamed (+91411), unnamed (+91861), unnamed (+92786), unnamed (+93761), unnamed (+94811), unnamed (+96861), unnamed (+102286), unnamed (+103336), unnamed (+113811), unnamed (+118886), unnamed (+122086), unnamed (+122961), unnamed (+124311), unnamed (+125736), unnamed (+128411), unnamed (+129236), unnamed (+129536), unnamed (+132261), unnamed (+134986), unnamed (+139836), unnamed (+144586), unnamed (+147211), unnamed (+149036), unnamed (+149586), unnamed (+150011), unnamed (+151286), unnamed (+156311), unnamed (+157486), unnamed (+159461), unnamed (+161361), unnamed (+164861), unnamed (+166236), unnamed (+166436), unnamed (+169011), unnamed (+170311), unnamed (+171111), unnamed (+174186), unnamed (+175836), unnamed (+179861), unnamed (+183761), unnamed (+184736), unnamed (+185211), unnamed (+186161), unnamed (+188161), unnamed (+191861), unnamed (+196461), unnamed (+200261), unnamed (+203136), unnamed (+204886), unnamed (+205886), unnamed (+208736), unnamed (+209311), unnamed (+209961), unnamed (+211661), unnamed (+220011), unnamed (+229436), unnamed (+233586), unnamed (+234061), unnamed (+234611), unnamed (+240961), unnamed (+242536), unnamed (+245636), unnamed (+249261), unnamed (+251486), unnamed (+258061), unnamed (+258436), unnamed (+262261), unnamed (+264536), unnamed (+265211), unnamed (+267661), unnamed (+269661), unnamed (+270961), unnamed (+279286), unnamed (+288136), unnamed (+289511), unnamed (+290486), unnamed (+291411), unnamed (+306461), unnamed (+311411), unnamed (+312561), unnamed (+316061), unnamed (+318386), unnamed (+321611), unnamed (+325661), unnamed (+328536), unnamed (+332386), unnamed (+333686), unnamed (+340186), unnamed (+343686), unnamed (+344461), unnamed (+346561), unnamed (+349461), unnamed (+358686), unnamed (+370861), unnamed (+374911), unnamed (+380236), unnamed (+384436), unnamed (+385961), unnamed (+389186), unnamed (+392761), unnamed (+393986), unnamed (+396011), unnamed (+398436), unnamed (+400261), unnamed (+401511), unnamed (+402186), unnamed (+403486), unnamed (+422561), unnamed (+586211), unnamed (+588036), unnamed (+664361), unnamed (+668511), unnamed (+686161), unnamed (+700736), unnamed (+901136), unnamed (+904636), unnamed (+905536)
EBF2	unnamed (+537747), unnamed (+560697), unnamed (+561297)
EBF3	unnamed (+358141), unnamed (+359791), unnamed (+490366)
EBPL	unnamed (-40925)
ECD	unnamed (+28914), unnamed (+29814), unnamed (+36039), unnamed (+49814)
ECE1	unnamed (+18539), unnamed (+19164), unnamed (+19739), unnamed (+24639), unnamed (+32789), unnamed (+34839), unnamed (+72339)
ECHDC1	unnamed (+10700), unnamed (+39425)
ECHDC2	unnamed (+16542), unnamed (+54917)
ECHDC3	unnamed (-204816), unnamed (-202691), unnamed (-192816), unnamed (-189941), unnamed (-186366), unnamed (-168066), unnamed (-151641), unnamed (-106341), unnamed (-65916), unnamed (-65416), unnamed (-61566)
ECM1	unnamed (-2551)
ECM2	unnamed (-125795), unnamed (-120270), unnamed (-106245), unnamed (-103870)
ECT2	unnamed (+22621)
ECT2L	unnamed (+113964)
EDAR	unnamed (+139797), unnamed (+203522), unnamed (+212847)
EDEM1	unnamed (-25848), unnamed (-11773), unnamed (-11248), unnamed (-10523), unnamed (-8873), unnamed (-7423)
EDEM3	unnamed (-216837), unnamed (-150437), unnamed (-112912), unnamed (-73462), unnamed (-68187), unnamed (+1388), unnamed (+19263)
EDN1	unnamed (-175713)
EDN2	unnamed (-89179), unnamed (+104996)
EDRF1	unnamed (+1874), unnamed (+13274), unnamed (+42399)
EEA1	unnamed (-237094), unnamed (-234394), unnamed (-206694)
EED	unnamed (+10402)
EEF1A1	unnamed (+48693)
EEF1AKMT1	unnamed (-91851), unnamed (-90526), unnamed (-54751), unnamed (-51851), unnamed (-22176)
EEPD1	unnamed (-299), unnamed (+701), unnamed (+22801), unnamed (+132751)
EFCAB1	unnamed (+217432)
EFCAB11	unnamed (+273614)
EFCAB2	unnamed (-48344), unnamed (-29044)
EFCAB6	unnamed (+330402)
EFCAB7	unnamed (+1285)
EFNA5	unnamed (-850505), unnamed (+281895)
EGFL7	unnamed (-33731)
EGFL8	unnamed (+3995)
EGLN3	unnamed (-486569)
EHD1	unnamed (-33687)
EHD3	unnamed (+83838), unnamed (+89663), unnamed (+90013)
EHHADH	unnamed (+77998)
EHMT1	unnamed (+53637)
EI24	unnamed (-54891)
EID3	unnamed (-8064), unnamed (+38111), unnamed (+46161)
EIF2A	unnamed (-2194), unnamed (+36956), unnamed (+37281)
EIF2AK2	unnamed (+38347)
EIF2AK3	unnamed (+1701), unnamed (+2701), unnamed (+3176), unnamed (+6876), unnamed (+8876), unnamed (+10526), unnamed (+11726), unnamed (+14251), unnamed (+14926), unnamed (+17351), unnamed (+19901), unnamed (+22626), unnamed (+24876), unnamed (+29376), unnamed (+31951), unnamed (+32826), unnamed (+35876), unnamed (+45526), unnamed (+52601), unnamed (+64201), unnamed (+64801), unnamed (+66876), unnamed (+68001)
EIF2S2	unnamed (+48832), unnamed (+50082), unnamed (+50482), unnamed (+51182), unnamed (+51807), unnamed (+54057), unnamed (+55857), unnamed (+58232), unnamed (+68482)
EIF3A	unnamed (-80621), unnamed (-62671)
EIF3D	unnamed (-22764)
EIF3H	unnamed (+41521), unnamed (+43221), unnamed (+88096), unnamed (+99546), unnamed (+100346), unnamed (+102021)
EIF3K	unnamed (-4572)
EIF3M	unnamed (+195575)
EIF4B	unnamed (+1244)
EIF4E	unnamed (-9292), unnamed (-3642)
EIF4EBP2	unnamed (+13721)
EIF4ENIF1	unnamed (+36637), unnamed (+39137), unnamed (+41212)
EIF4G3	unnamed (-95103), unnamed (-94478), unnamed (-93903), unnamed (-89003), unnamed (-80853), unnamed (-78803), unnamed (-41303), unnamed (+19247), unnamed (+22372), unnamed (+86672), unnamed (+103297), unnamed (+184372), unnamed (+209422)
EIF4H	unnamed (-75245), unnamed (-74920), unnamed (-66970), unnamed (-52645)
ELAC1	unnamed (-48691)
ELAVL1	unnamed (+4933)
ELF1	unnamed (-34736), unnamed (+5389), unnamed (+29814)
ELFN1	unnamed (-20719), unnamed (+175181), unnamed (+259831), unnamed (+307131), unnamed (+309381), unnamed (+315981), unnamed (+316856), unnamed (+318706), unnamed (+321381), unnamed (+324856), unnamed (+344781), unnamed (+409481), unnamed (+410631), unnamed (+415731), unnamed (+420881), unnamed (+438131), unnamed (+452131), unnamed (+455681), unnamed (+460231), unnamed (+484256), unnamed (+529106), unnamed (+535631)
ELFN2	unnamed (-53905), unnamed (-53180), unnamed (-48405), unnamed (-45080), unnamed (-42030)
ELK3	unnamed (-131907), unnamed (-90957), unnamed (-86357), unnamed (-50832), unnamed (-50282), unnamed (-49707), unnamed (-3557), unnamed (-1532), unnamed (+2793), unnamed (+3668), unnamed (+4993), unnamed (+11043), unnamed (+14043), unnamed (+16293), unnamed (+17818), unnamed (+18368), unnamed (+19343), unnamed (+20768), unnamed (+30743), unnamed (+40593), unnamed (+42018), unnamed (+45568), unnamed (+50043), unnamed (+50368), unnamed (+50993), unnamed (+55443), unnamed (+56418), unnamed (+60543), unnamed (+61943), unnamed (+63268), unnamed (+64418), unnamed (+66343), unnamed (+70818), unnamed (+72543), unnamed (+74968), unnamed (+76993), unnamed (+78293), unnamed (+79893), unnamed (+80518), unnamed (+86243), unnamed (+88568), unnamed (+100793), unnamed (+102943), unnamed (+104568), unnamed (+131743), unnamed (+153368), unnamed (+193668), unnamed (+203743)
ELK4	unnamed (-35663), unnamed (-34488), unnamed (-32588), unnamed (-31463), unnamed (-28713)
ELL	unnamed (+70352)
ELL2	unnamed (+33771), unnamed (+35421), unnamed (+36246), unnamed (+36521), unnamed (+37721), unnamed (+91021), unnamed (+92221), unnamed (+128071)
ELMO1	unnamed (+52474), unnamed (+53274), unnamed (+131599), unnamed (+133649), unnamed (+161624), unnamed (+166424), unnamed (+189349), unnamed (+233299), unnamed (+240374), unnamed (+365249), unnamed (+580024)
ELMOD3	unnamed (+44147)
ELN	unnamed (-14264)
ELOA2	unnamed (-53679), unnamed (-1629)
ELOVL1	unnamed (-6362)
ELOVL2	unnamed (+142214)
ELOVL5	unnamed (-132946), unnamed (-114171), unnamed (-111846), unnamed (-110646), unnamed (-109946)
ELP2	unnamed (+17152), unnamed (+19152), unnamed (+23702), unnamed (+27627), unnamed (+42952)
ELP3	unnamed (+15212), unnamed (+25562), unnamed (+26887), unnamed (+36762), unnamed (+45512), unnamed (+48837), unnamed (+49712), unnamed (+62462), unnamed (+89087), unnamed (+92437)
EMC10	unnamed (-41699)
EMC2	unnamed (+2051), unnamed (+24201), unnamed (+24526), unnamed (+26176), unnamed (+31451), unnamed (+301476)
EMC6	unnamed (+2978), unnamed (+9603), unnamed (+12553), unnamed (+13753), unnamed (+15928), unnamed (+21178)
EMC7	unnamed (-88752)
EMILIN1	unnamed (+1983)
EMILIN2	unnamed (-153955), unnamed (-132655)
EMILIN3	unnamed (-113273), unnamed (-38923)
EML4	unnamed (-41850), unnamed (+86775), unnamed (+87700), unnamed (+117225), unnamed (+126700), unnamed (+127575), unnamed (+129175), unnamed (+147975)
EML6	unnamed (-146567), unnamed (-134617), unnamed (-133092), unnamed (-96642), unnamed (-85992), unnamed (-78592), unnamed (+62583), unnamed (+64108), unnamed (+113308), unnamed (+286433), unnamed (+301358)
EMP1	unnamed (+341034)
EN1	unnamed (+649103)
ENAH	unnamed (+172242), unnamed (+173892), unnamed (+211767), unnamed (+216892), unnamed (+218792)
ENAM	unnamed (+21906), unnamed (+25481), unnamed (+27731), unnamed (+36031)
ENDOV	unnamed (-136542)
ENHO	unnamed (+10091)
ENOSF1	unnamed (+21669)
ENOX1	unnamed (+710108)
ENPP2	unnamed (-147045), unnamed (-145945)
ENSA	unnamed (-54649)
ENSG00000141979	unnamed (+27604)
ENSG00000151079	unnamed (+10674), unnamed (+16624), unnamed (+19324), unnamed (+20974)
ENSG00000167524	unnamed (+261)
ENSG00000177359	unnamed (-97821), unnamed (-97071), unnamed (-95471), unnamed (-93046), unnamed (-92496)
ENSG00000182974	unnamed (-993259), unnamed (-992309), unnamed (-990509), unnamed (-988234), unnamed (-973959), unnamed (-370609), unnamed (-366234), unnamed (-365859), unnamed (-365159)
ENSG00000230626	unnamed (-34493), unnamed (-31618), unnamed (-30518), unnamed (-3968)
ENSG00000240045	unnamed (+154425), unnamed (+154850), unnamed (+162875), unnamed (+177975), unnamed (+181400), unnamed (+197700), unnamed (+199525), unnamed (+202275)
ENSG00000241962	unnamed (-382860)
ENSG00000248710	unnamed (+11929), unnamed (+13654), unnamed (+41279), unnamed (+42229)
ENSG00000249209	unnamed (-115243), unnamed (-90893), unnamed (-87968), unnamed (-62718), unnamed (-43743), unnamed (-19643), unnamed (-19068)
ENSG00000250424	unnamed (-8223)
ENSG00000254692	unnamed (+2973)
ENSG00000255275	unnamed (+12571)
ENSG00000256514	unnamed (+2509), unnamed (+7059), unnamed (+11659)
ENSG00000257767	unnamed (-25915), unnamed (-23440), unnamed (-20190), unnamed (-6140)
ENSG00000258466	unnamed (+6542)
ENSG00000258472	unnamed (-18790), unnamed (-12315), unnamed (+285)
ENSG00000258674	unnamed (+8048)
ENSG00000258724	unnamed (+28122), unnamed (+70172)
ENSG00000258830	unnamed (+2859), unnamed (+4309), unnamed (+4759), unnamed (+6509), unnamed (+8734), unnamed (+17959)
ENSG00000258864	unnamed (-70288), unnamed (-30113), unnamed (-3463)
ENSG00000258989	unnamed (-58678), unnamed (-56078), unnamed (-53803), unnamed (-27603), unnamed (+115347), unnamed (+132647)
ENSG00000259371	unnamed (+544)
ENSG00000259916	unnamed (-315122)
ENSG00000260371	unnamed (-27019), unnamed (-25919), unnamed (-22719), unnamed (-18944), unnamed (-17744), unnamed (-16919), unnamed (-14419), unnamed (-6944)
ENSG00000261341	unnamed (-24533)
ENSG00000261873	unnamed (+74094)
ENSG00000267281	unnamed (+7729), unnamed (+9879), unnamed (+22354), unnamed (+24179), unnamed (+113129)
ENSG00000270099	unnamed (-73148), unnamed (+103602), unnamed (+127402), unnamed (+128102)
ENSG00000272305	unnamed (-22122)
ENSG00000272410	unnamed (+24628), unnamed (+42078)
ENSG00000272772	unnamed (+3396)
ENSG00000273217	unnamed (+112733), unnamed (+113858), unnamed (+114458)
ENSG00000273398	unnamed (-33870)
ENSG00000274322	unnamed (+14096), unnamed (+16321)
ENSG00000281883	unnamed (+233650)
ENSG00000282246	unnamed (+173303)
ENSG00000282278	unnamed (+45261), unnamed (+58411), unnamed (+78786), unnamed (+78936)
ENSG00000283208	unnamed (+8822)
ENSG00000283239	unnamed (+9912)
ENSG00000283321	unnamed (-1345), unnamed (-820), unnamed (+455), unnamed (+3855), unnamed (+103455), unnamed (+639205)
ENSG00000283516	unnamed (+12541), unnamed (+27066), unnamed (+42641), unnamed (+59441)
