# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
AAED1	unnamed (+8306)
DENND5A	unnamed (+104390)
DESI2	unnamed (-84260)
DGKG	unnamed (-173088), unnamed (-168013), unnamed (-166188), unnamed (-913), unnamed (+1537), unnamed (+19087), unnamed (+104962), unnamed (+207737), unnamed (+211762)
DGKI	unnamed (-151912), unnamed (-145262), unnamed (-132237), unnamed (-120712), unnamed (-115712), unnamed (-108512), unnamed (-105887), unnamed (-100912), unnamed (-86612), unnamed (-71262), unnamed (-69787)
DHX40	unnamed (-232400), unnamed (-217000), unnamed (-214075), unnamed (-212800), unnamed (-209850), unnamed (-205075), unnamed (-204400), unnamed (-201325), unnamed (-198550), unnamed (-195275), unnamed (-177375), unnamed (-140700)
DHX57	unnamed (+36408)
DIP2C	unnamed (+364793)
DKKL1	unnamed (-3594), unnamed (-2644), unnamed (-1919), unnamed (-494)
DLG2	unnamed (+905870), unnamed (+907320)
DLGAP4	unnamed (+157164), unnamed (+157889), unnamed (+159839)
DMAC2	unnamed (-124361)
DMKN	unnamed (+3677)
DMXL1	unnamed (+228636)
DNAH1	unnamed (+131)
DNAH11	unnamed (-113090), unnamed (-110465), unnamed (-91890)
DNAH17	unnamed (-195831), unnamed (-191731), unnamed (-189806), unnamed (-188456), unnamed (-187056), unnamed (-185656), unnamed (-184431), unnamed (-180581), unnamed (-179156), unnamed (-178631), unnamed (-178231), unnamed (-177806), unnamed (-176056), unnamed (-173381), unnamed (-168356)
DNAI2	unnamed (-46162)
DNAJA2	unnamed (+52263), unnamed (+60988), unnamed (+66088), unnamed (+83638), unnamed (+88388)
DNAJC5	unnamed (+57743)
DNAJC5B	unnamed (-166810)
DNM2	unnamed (+79394)
DNMBP	unnamed (-10231), unnamed (-5881), unnamed (+969), unnamed (+2494), unnamed (+4219), unnamed (+6419), unnamed (+8094), unnamed (+9519), unnamed (+10694), unnamed (+13894), unnamed (+18119), unnamed (+20169), unnamed (+24119), unnamed (+27944), unnamed (+28644), unnamed (+29794), unnamed (+72244)
DNMT3A	unnamed (-140235), unnamed (+66490)
DOCK10	unnamed (+98367), unnamed (+100792), unnamed (+131817)
DOPEY2	unnamed (+125740)
DPEP2	unnamed (-13037), unnamed (-11137), unnamed (-3837)
DPF1	unnamed (+23075), unnamed (+127925), unnamed (+185975), unnamed (+242375)
DPYSL2	unnamed (-63572)
DRAP1	unnamed (+19793)
DRD3	unnamed (-52548), unnamed (-43198), unnamed (-42173), unnamed (-39523), unnamed (-37698)
DTNB	unnamed (+190809)
DUPD1	unnamed (+21189)
DUS2	unnamed (-17956), unnamed (-16056)
DUSP10	unnamed (+675051)
DUSP4	unnamed (-422082)
DUSP5	unnamed (-143738), unnamed (-109813), unnamed (-55913), unnamed (-40538), unnamed (-38238), unnamed (-36463), unnamed (-35138), unnamed (+1312)
DYNC1H1	unnamed (-183728), unnamed (-156328), unnamed (-152253), unnamed (-148878), unnamed (-147128), unnamed (-142878), unnamed (-117803), unnamed (-105778), unnamed (-83978)
DYRK1B	unnamed (+5184), unnamed (+15009)
E2F2	unnamed (-26430), unnamed (-24780), unnamed (-22555), unnamed (-20030)
E2F7	unnamed (+2480)
EAF1	unnamed (-79755), unnamed (-78430), unnamed (-38205), unnamed (-37030), unnamed (-36405), unnamed (-25255)
EBF3	unnamed (-145434), unnamed (-144034)
EDDM3A	unnamed (-30667)
EDEM1	unnamed (+189927)
EDN3	unnamed (-169777), unnamed (-155677), unnamed (-152777), unnamed (-148752), unnamed (-147527), unnamed (-141127), unnamed (-123227), unnamed (-122502), unnamed (-121377)
EEF1E1	unnamed (-80222)
EFCAB9	unnamed (+6328)
EFHC1	unnamed (+109254), unnamed (+154079), unnamed (+155554)
EFTUD2	unnamed (+12787)
EHMT1	unnamed (+85087)
EIF4G2	unnamed (-15202)
ELAC2	unnamed (+43812), unnamed (+61212), unnamed (+133312), unnamed (+143787), unnamed (+151087), unnamed (+152387), unnamed (+154112), unnamed (+158612), unnamed (+177137)
ELFN1	unnamed (+494756)
ELFN2	unnamed (+57995)
ELMSAN1	unnamed (-29802)
ELOF1	unnamed (-15564)
ELOVL5	unnamed (-183546), unnamed (-182746), unnamed (+107879), unnamed (+109404), unnamed (+111754), unnamed (+113479), unnamed (+119029), unnamed (+126804), unnamed (+127379), unnamed (+142829), unnamed (+144204), unnamed (+145179), unnamed (+146529), unnamed (+148129), unnamed (+155804), unnamed (+168479)
EMC8	unnamed (+40815), unnamed (+63315), unnamed (+65215), unnamed (+65465)
EMILIN2	unnamed (+129920)
EMSY	unnamed (+141700), unnamed (+192875), unnamed (+194575)
EMX2	unnamed (+110206), unnamed (+113481), unnamed (+114731)
EN2	unnamed (-151854)
ENC1	unnamed (-351), unnamed (+10749), unnamed (+11849)
ENDOU	unnamed (-31689), unnamed (-29339)
ENKD1	unnamed (-26136)
ENPP2	unnamed (+36680)
ENPP6	unnamed (-176764), unnamed (-136364), unnamed (-130889), unnamed (-128439), unnamed (-124039), unnamed (-102539), unnamed (-97064), unnamed (-93639), unnamed (-92889), unnamed (-92139), unnamed (-72439), unnamed (-68839)
ENSG00000188897	unnamed (-57012), unnamed (-50162), unnamed (-49562), unnamed (-45462), unnamed (-39512), unnamed (-36712), unnamed (-34987)
ENSG00000259784	unnamed (-2440)
ENSG00000260272	unnamed (+10493)
ENSG00000261732	unnamed (-11234), unnamed (-9234)
ENSG00000270099	unnamed (-53248)
ENSG00000277669	unnamed (-904)
ENSG00000284554	unnamed (-3188)
ENTPD1	unnamed (+51648)
EP300	unnamed (-23811)
EP400	unnamed (+92440), unnamed (+93015), unnamed (+93640), unnamed (+120565)
EPAS1	unnamed (-407152), unnamed (-406652)
EPB41	unnamed (+29009)
EPC1	unnamed (-597315)
EPHA10	unnamed (-12134)
EPHB6	unnamed (-67911)
EPS15L1	unnamed (+24112), unnamed (+42662), unnamed (+86062), unnamed (+103537), unnamed (+108612), unnamed (+140762)
EPS8L2	unnamed (+18733)
ERCC4	unnamed (+36593)
ERGIC3	unnamed (+65087)
ERN1	unnamed (-1150), unnamed (+8750), unnamed (+104200)
ESM1	unnamed (+149463), unnamed (+152013), unnamed (+156588), unnamed (+185013), unnamed (+191138), unnamed (+192613), unnamed (+211013), unnamed (+213413), unnamed (+221563), unnamed (+443038), unnamed (+445613), unnamed (+447488), unnamed (+448513), unnamed (+449738), unnamed (+451688), unnamed (+455338), unnamed (+459138), unnamed (+460263), unnamed (+461363), unnamed (+464213), unnamed (+466188)
ESRP2	unnamed (+118834)
ETFBKMT	unnamed (+60912), unnamed (+61612), unnamed (+63512)
ETS1	unnamed (+136008), unnamed (+164458), unnamed (+166933)
ETV5	unnamed (-251588), unnamed (-234038), unnamed (-148163), unnamed (-45388), unnamed (-41363)
ETV6	unnamed (+4296), unnamed (+74271), unnamed (+77696), unnamed (+83421), unnamed (+99296), unnamed (+102296), unnamed (+106746), unnamed (+107846), unnamed (+110296), unnamed (+111746), unnamed (+114521), unnamed (+117471), unnamed (+120346), unnamed (+124696), unnamed (+171696), unnamed (+174321), unnamed (+176446)
EVA1B	unnamed (+2729), unnamed (+3754)
EVL	unnamed (-2228)
EVPL	unnamed (-37419)
EXOG	unnamed (-8897)
EZH1	unnamed (+40755), unnamed (+42805)
EZR	unnamed (-98313), unnamed (-36238), unnamed (-29363), unnamed (+110612)
F11R	unnamed (+3198), unnamed (+20448)
FAAP20	unnamed (+20025), unnamed (+60275), unnamed (+68275), unnamed (+87675)
FAM111B	unnamed (-3937)
FAM117B	unnamed (-255238)
FAM167A	unnamed (-19358)
FAM187B	unnamed (+15629)
FAM189A1	unnamed (+262173)
FAM208A	unnamed (-108258), unnamed (-98908), unnamed (-79233), unnamed (-74858)
FAM20A	unnamed (-173386)
FAM3D	unnamed (-721627)
FAM46B	unnamed (-92789)
FAM46C	unnamed (-64584), unnamed (-34509), unnamed (-33334), unnamed (+64341)
FAM49A	unnamed (-606566), unnamed (-604816), unnamed (-494316), unnamed (-493916), unnamed (+697859), unnamed (+699409), unnamed (+700359)
FAM69A	unnamed (-20550), unnamed (-2125), unnamed (+1700), unnamed (+6800), unnamed (+59800)
FAM84B	unnamed (+586093), unnamed (+919618)
FARS2	unnamed (+405106)
FAXDC2	unnamed (+356)
FBXL20	unnamed (+108838), unnamed (+163038)
FBXO15	unnamed (+30965), unnamed (+64315), unnamed (+80615), unnamed (+80990), unnamed (+82140), unnamed (+86715), unnamed (+87815), unnamed (+106940), unnamed (+109290), unnamed (+192715)
FBXO18	unnamed (-34186), unnamed (-31161)
FBXO21	unnamed (+38881), unnamed (+42456), unnamed (+46281), unnamed (+48431), unnamed (+50081), unnamed (+56156), unnamed (+59731), unnamed (+65006)
FBXO33	unnamed (-330450), unnamed (-252600), unnamed (-251975), unnamed (-250825), unnamed (-249500), unnamed (-10025)
FBXW11	unnamed (-59885), unnamed (+38665)
FCER2	unnamed (-6179), unnamed (-3104), unnamed (-1129), unnamed (+1321), unnamed (+8721), unnamed (+9496), unnamed (+10771)
FCGR2A	unnamed (-95055)
FCGR3A	unnamed (+9144), unnamed (+9769)
FCHO1	unnamed (+23007)
FCMR	unnamed (-4402), unnamed (+8748)
FER1L6	unnamed (+405363)
FEZF2	unnamed (+735815)
FGD2	unnamed (+87453), unnamed (+94303), unnamed (+95003), unnamed (+129103), unnamed (+131878), unnamed (+137128)
FGGY	unnamed (-285356), unnamed (-284556)
FGR	unnamed (-1548), unnamed (+5102), unnamed (+6477), unnamed (+7852)
FILIP1L	unnamed (+104888), unnamed (+169088), unnamed (+242113), unnamed (+251338), unnamed (+253013), unnamed (+265713), unnamed (+268213), unnamed (+270463)
FLT1	unnamed (+72245)
FLT3	unnamed (+42667)
FMO1	unnamed (-6882), unnamed (-6107)
FMO2	unnamed (+65867), unnamed (+66642)
FMOD	unnamed (-118486), unnamed (-113361), unnamed (-109161), unnamed (-107736), unnamed (-103986), unnamed (-99161), unnamed (-95411), unnamed (-89836), unnamed (-88136), unnamed (-77986), unnamed (-74786), unnamed (-57461), unnamed (-51886), unnamed (-31161), unnamed (-28686), unnamed (-15886), unnamed (-13336), unnamed (-11461), unnamed (-9886), unnamed (+3639), unnamed (+9639), unnamed (+31689), unnamed (+40714)
FNDC1	unnamed (-104397), unnamed (-68972), unnamed (-68022)
FNIP2	unnamed (+335762)
FOS	unnamed (+146951)
FOSL2	unnamed (-32283)
FOXC1	unnamed (+517303), unnamed (+518203)
FOXF1	unnamed (-582777), unnamed (-581827), unnamed (-580177), unnamed (-579402), unnamed (-577202), unnamed (-575427), unnamed (-555802), unnamed (-555602), unnamed (-554827), unnamed (-518177), unnamed (-516077)
FOXI1	unnamed (+190853)
FOXO1	unnamed (+186297), unnamed (+457122)
FOXP1	unnamed (+166989), unnamed (+181714), unnamed (+188514), unnamed (+197914), unnamed (+221614), unnamed (+343714), unnamed (+344714), unnamed (+363389), unnamed (+431139), unnamed (+438864), unnamed (+440114), unnamed (+448614), unnamed (+457614), unnamed (+460439), unnamed (+461139), unnamed (+462614), unnamed (+468089), unnamed (+470589), unnamed (+472589), unnamed (+477539), unnamed (+480489), unnamed (+484714), unnamed (+486764), unnamed (+489464), unnamed (+490839), unnamed (+492064), unnamed (+498089), unnamed (+501064), unnamed (+502014), unnamed (+505839), unnamed (+508089), unnamed (+514139), unnamed (+526264), unnamed (+580989)
FRMD4A	unnamed (-239716)
FRMD8	unnamed (+102026), unnamed (+102851)
FSTL4	unnamed (+367414)
FUCA2	unnamed (-55710)
FXYD5	unnamed (+58370)
FXYD7	unnamed (-1475), unnamed (-625)
FZD1	unnamed (-544189), unnamed (-542114), unnamed (-529189)
G3BP1	unnamed (-26535), unnamed (-23060), unnamed (-15385)
GAB1	unnamed (+2363), unnamed (+4138), unnamed (+7513), unnamed (+10838), unnamed (+11863), unnamed (+14613), unnamed (+24763), unnamed (+25338), unnamed (+27188), unnamed (+28513), unnamed (+36763), unnamed (+38688), unnamed (+45438), unnamed (+47263)
GAB2	unnamed (-144619), unnamed (-120069), unnamed (-119869), unnamed (-12619), unnamed (-9394), unnamed (-8744), unnamed (-3594), unnamed (-2369), unnamed (-1194), unnamed (+107231), unnamed (+126656)
GABBR1	unnamed (-840)
GABRB2	unnamed (+412699)
GAL3ST2	unnamed (-4150)
GALNS	unnamed (-2684)
GALNT2	unnamed (-215784), unnamed (+86716), unnamed (+144016), unnamed (+164016)
GALNT5	unnamed (-785023), unnamed (-720448), unnamed (-719023)
GAN	unnamed (-7702)
GAPVD1	unnamed (+175243), unnamed (+176318), unnamed (+386968)
GARNL3	unnamed (-6001)
GATAD2B	unnamed (+125075)
GBGT1	unnamed (+18570), unnamed (+27495), unnamed (+27870)
GCC2	unnamed (+175914), unnamed (+180014)
GCLC	unnamed (-73121), unnamed (-44071), unnamed (-40796), unnamed (+12404), unnamed (+13204)
GCM1	unnamed (-92471), unnamed (-90946), unnamed (-88596), unnamed (-86871), unnamed (-81321), unnamed (-73546), unnamed (-72971), unnamed (-57521), unnamed (-56146), unnamed (-55171), unnamed (-53821), unnamed (-52221), unnamed (-44546), unnamed (-31871)
GDAP2	unnamed (+259355)
GDF10	unnamed (-104686)
GDF7	unnamed (+1436), unnamed (+6436), unnamed (+8361), unnamed (+12261), unnamed (+99236)
GDI2	unnamed (-49676), unnamed (-46651)
GEMIN6	unnamed (+61315)
GFOD1	unnamed (+16430), unnamed (+25505), unnamed (+26330), unnamed (+29630), unnamed (+52430), unnamed (+54755), unnamed (+56980), unnamed (+58005), unnamed (+60630), unnamed (+61680)
GFOD2	unnamed (+26521)
GGA1	unnamed (+7850), unnamed (+8800), unnamed (+11100), unnamed (+12775), unnamed (+14075)
GGT7	unnamed (-3315)
GINS2	unnamed (-69726), unnamed (-47226), unnamed (-45326), unnamed (-45076)
GJD3	unnamed (+14790), unnamed (+15840)
GLDN	unnamed (+346)
GLI1	unnamed (+21112)
GLO1	unnamed (+13366), unnamed (+23841)
GLRX3	unnamed (-28524), unnamed (-27124), unnamed (+38976)
GLYATL1	unnamed (-92274)
GLYATL2	unnamed (-6191)
GMDS	unnamed (+117517), unnamed (+118417)
GMEB2	unnamed (-18949), unnamed (-14699), unnamed (-11374)
GMPR	unnamed (+171620), unnamed (+177070), unnamed (+184795), unnamed (+185845), unnamed (+187895), unnamed (+197545), unnamed (+199170), unnamed (+244695), unnamed (+245795), unnamed (+247995), unnamed (+250520), unnamed (+431620), unnamed (+445345), unnamed (+445970), unnamed (+452195), unnamed (+453345), unnamed (+457020), unnamed (+459395), unnamed (+461970), unnamed (+466545), unnamed (+467270), unnamed (+473245), unnamed (+493695)
GNA12	unnamed (-47901)
GNG13	unnamed (-76967)
GNG2	unnamed (+9286), unnamed (+13736), unnamed (+20911)
GNLY	unnamed (+11867)
GOLGA6L4	unnamed (-280548)
GON4L	unnamed (+94645)
GORASP2	unnamed (+208224), unnamed (+225399)
GP9	unnamed (+42483), unnamed (+58058)
GPCPD1	unnamed (-49124), unnamed (-46399), unnamed (-45024)
GPD2	unnamed (+37134), unnamed (+101709), unnamed (+103134)
GPM6A	unnamed (+40257)
GPR183	unnamed (-76720)
GPR20	unnamed (+87942), unnamed (+88842)
GPR26	unnamed (-425405), unnamed (-424830), unnamed (-424005)
GPR45	unnamed (-100143)
GPR52	unnamed (-226161), unnamed (+461239), unnamed (+461789)
GPT2	unnamed (-1578), unnamed (+1022), unnamed (+5772), unnamed (+23322), unnamed (+28422), unnamed (+37147)
GPX7	unnamed (-14722)
GRAMD1B	unnamed (-167736), unnamed (-166836), unnamed (-163136), unnamed (-44086), unnamed (-8386)
GRB2	unnamed (+90336)
GRHPR	unnamed (-8641)
GRIK1	unnamed (+489582), unnamed (+503157)
GRIK3	unnamed (-337775), unnamed (-335725), unnamed (-334475), unnamed (-284250), unnamed (-257975), unnamed (-253500), unnamed (+149525)
GRK5	unnamed (+291936), unnamed (+293511), unnamed (+294261), unnamed (+331136)
GSAP	unnamed (-112850)
GTDC1	unnamed (-277985)
GTSF1L	unnamed (-72552), unnamed (-23077), unnamed (-18677), unnamed (-5052), unnamed (+3498), unnamed (+5723), unnamed (+6873), unnamed (+11973)
GYPC	unnamed (+10367)
H3F3A	unnamed (-33802), unnamed (+21098)
H3F3C	unnamed (-84309), unnamed (+69041), unnamed (+70941), unnamed (+71641)
HAAO	unnamed (-383808)
HACD1	unnamed (-473), unnamed (+802)
HADH	unnamed (+47686), unnamed (+49361), unnamed (+53986), unnamed (+56336), unnamed (+61136), unnamed (+66511), unnamed (+68036), unnamed (+69961), unnamed (+72461), unnamed (+74961), unnamed (+77936), unnamed (+83111), unnamed (+86861), unnamed (+98311), unnamed (+103636), unnamed (+104786), unnamed (+108561), unnamed (+118511), unnamed (+119361), unnamed (+124511), unnamed (+128886), unnamed (+130186), unnamed (+176636)
HBS1L	unnamed (-49027)
HDAC1	unnamed (-19761)
HDAC7	unnamed (-11465)
HEATR6	unnamed (-18119), unnamed (-17219), unnamed (-8044)
HERPUD1	unnamed (-13223), unnamed (-12748)
HGNC:24955	unnamed (-155254)
HIC1	unnamed (+14515), unnamed (+19440)
HIGD1B	unnamed (+38973)
HIST1H2BL	unnamed (+33456), unnamed (+50056), unnamed (+50856)
HIVEP1	unnamed (-226013), unnamed (-181388), unnamed (-135038), unnamed (-36338), unnamed (-4738)
HIVEP2	unnamed (+38390), unnamed (+66140), unnamed (+82165), unnamed (+134215)
HLA-DPA1	unnamed (-34915)
HLX	unnamed (+187725)
HMOX1	unnamed (-50710), unnamed (-49710), unnamed (-47560), unnamed (-47210), unnamed (-46860), unnamed (-46210), unnamed (-45385), unnamed (-38385), unnamed (-37285), unnamed (-35585), unnamed (-33360), unnamed (-17985), unnamed (+12965)
HNRNPH3	unnamed (-35050)
HPCAL1	unnamed (-38314)
HRH2	unnamed (-140405)
HS2ST1	unnamed (+19851)
HS3ST1	unnamed (+90665), unnamed (+345815), unnamed (+540940), unnamed (+622590), unnamed (+690440), unnamed (+694715), unnamed (+698290), unnamed (+699615), unnamed (+701015), unnamed (+703965), unnamed (+707590), unnamed (+712490), unnamed (+734090), unnamed (+736240), unnamed (+738915)
HSD17B4	unnamed (-87520), unnamed (-31970), unnamed (-2345)
HSP90B1	unnamed (-5209)
HSPA4	unnamed (+193188)
HSPA6	unnamed (+110), unnamed (+15535), unnamed (+16160)
HSPG2	unnamed (+64947)
HTRA3	unnamed (+123360)
HUS1B	unnamed (+152913), unnamed (+157888), unnamed (+210163)
HVCN1	unnamed (-24491), unnamed (+51059), unnamed (+72034)
HYAL1	unnamed (-14078), unnamed (-12853)
HYAL2	unnamed (+5132), unnamed (+6357)
ICAM2	unnamed (-100741), unnamed (-5291)
ICOS	unnamed (-66648), unnamed (-64848), unnamed (-62248), unnamed (-61498), unnamed (-56073)
ID3	unnamed (-62306), unnamed (-61556), unnamed (-58856), unnamed (-51406), unnamed (-48981), unnamed (-46656), unnamed (-43356), unnamed (-42381), unnamed (-41056), unnamed (-39681), unnamed (-39406), unnamed (-31156), unnamed (-28606), unnamed (-23181), unnamed (-21306), unnamed (-9456), unnamed (-7156), unnamed (-3556), unnamed (+2144), unnamed (+3794), unnamed (+6019), unnamed (+8544)
ID4	unnamed (+369164)
IER5	unnamed (+44588)
IFITM5	unnamed (+1626)
IFNAR1	unnamed (-37154)
IFNLR1	unnamed (+2586), unnamed (+9536)
IFT81	unnamed (-72852)
IGF2BP3	unnamed (+98242)
IGFBP4	unnamed (-611), unnamed (+1164), unnamed (+5389), unnamed (+36489), unnamed (+37914)
IGSF3	unnamed (+405), unnamed (+21130), unnamed (+23805), unnamed (+30355), unnamed (+39255), unnamed (+42530), unnamed (+61555), unnamed (+77580), unnamed (+79755), unnamed (+80880), unnamed (+81655)
IL10	unnamed (+34919), unnamed (+35369)
IL10RA	unnamed (-51173), unnamed (-34298), unnamed (+65277), unnamed (+66602)
IL10RB	unnamed (+21392)
IL15RA	unnamed (-59264)
IL17RB	unnamed (-4255), unnamed (-3605), unnamed (+20)
IL18BP	unnamed (-12463)
IL19	unnamed (-4495), unnamed (+4480)
IL20	unnamed (-62004)
IL21R	unnamed (-54887), unnamed (-38037), unnamed (-32112), unnamed (-29237)
IL22RA1	unnamed (-41554), unnamed (-34604)
IL24	unnamed (+15807)
IL2RA	unnamed (-12675), unnamed (-11450), unnamed (-5750), unnamed (-4975), unnamed (+850), unnamed (+25450)
IL2RB	unnamed (+25515)
IL4R	unnamed (-9863), unnamed (-2188), unnamed (+33362), unnamed (+50212), unnamed (+56137), unnamed (+59012)
IL6R	unnamed (+36457)
IL6ST	unnamed (-776257), unnamed (-775932), unnamed (-775557), unnamed (-765832), unnamed (-764757), unnamed (-708932), unnamed (-706007), unnamed (-704682), unnamed (-703732), unnamed (-702232), unnamed (-698457), unnamed (-695232), unnamed (-694357), unnamed (-689382), unnamed (-686607), unnamed (-643807), unnamed (-598557), unnamed (-598132), unnamed (-596457), unnamed (-481807), unnamed (-358507), unnamed (-275682)
IMMP2L	unnamed (+30991), unnamed (+35316)
IMPG2	unnamed (+103560)
INAFM1	unnamed (+14822), unnamed (+15422)
INPP5F	unnamed (-61747), unnamed (-34272), unnamed (-32522), unnamed (-15847), unnamed (-12047), unnamed (-10247), unnamed (+978), unnamed (+3428), unnamed (+7703), unnamed (+17103), unnamed (+20178), unnamed (+22878), unnamed (+27703), unnamed (+28903), unnamed (+34103), unnamed (+37103), unnamed (+51078), unnamed (+61653), unnamed (+80853), unnamed (+82678), unnamed (+89253), unnamed (+90253)
INSIG1	unnamed (+8499)
INSL6	unnamed (+191718)
INSM1	unnamed (-64221)
INTS4	unnamed (-5622)
IPCEF1	unnamed (-23444), unnamed (-13644), unnamed (+406), unnamed (+80356), unnamed (+173506)
IQSEC3	unnamed (-56490)
IRAK2	unnamed (+6785), unnamed (+9710)
IRF2	unnamed (-150895), unnamed (-146020), unnamed (-110770), unnamed (-108470), unnamed (+79855), unnamed (+120255), unnamed (+125730), unnamed (+128180), unnamed (+132580), unnamed (+154080), unnamed (+159555), unnamed (+162980), unnamed (+163730), unnamed (+164480), unnamed (+184180), unnamed (+187780)
IRF2BP2	unnamed (-436300), unnamed (-426050), unnamed (-425175), unnamed (-381875), unnamed (-380625), unnamed (-378775), unnamed (-377475), unnamed (-368250), unnamed (-367475), unnamed (-364500), unnamed (-360600), unnamed (-233100), unnamed (-116350)
IRF2BPL	unnamed (-10151), unnamed (-8901), unnamed (-1151)
IRF4	unnamed (+55061), unnamed (+107336), unnamed (+112311)
IRF5	unnamed (-1987)
IRF8	unnamed (+28947), unnamed (+29897), unnamed (+31547), unnamed (+32322), unnamed (+34522), unnamed (+36297), unnamed (+55922), unnamed (+56122), unnamed (+56897), unnamed (+93547), unnamed (+95647)
ISCU	unnamed (+9349)
ITGAD	unnamed (-36887), unnamed (-35787)
ITGAM	unnamed (+88381)
ITGAX	unnamed (-6847), unnamed (-2072), unnamed (+3), unnamed (+1203), unnamed (+2303)
ITGB1	unnamed (-196506), unnamed (-194956), unnamed (-191906), unnamed (-188006), unnamed (-185181), unnamed (-180056), unnamed (-174581), unnamed (-168631), unnamed (-164556), unnamed (-160381), unnamed (-159481), unnamed (-157606), unnamed (-144231), unnamed (-136631), unnamed (-52656), unnamed (+13394)
ITLN2	unnamed (-63351), unnamed (-46101)
ITPK1	unnamed (+32528), unnamed (+70828), unnamed (+73203), unnamed (+74103)
ITPKB	unnamed (-59650), unnamed (+135950)
JAK2	unnamed (+8705)
JARID2	unnamed (-518046), unnamed (-491021)
JAZF1	unnamed (+5943), unnamed (+23493), unnamed (+31643)
JCAD	unnamed (-227726), unnamed (-227151)
JDP2	unnamed (-6409)
JMJD4	unnamed (-25114)
JPH2	unnamed (+116478), unnamed (+117078), unnamed (+262028), unnamed (+271703)
JUN	unnamed (-228098), unnamed (-227298)
JUND	unnamed (-19478), unnamed (-13478), unnamed (-4578)
KAT6B	unnamed (-239775), unnamed (+210700)
KAT7	unnamed (-72105), unnamed (-38880)
KAZN	unnamed (-892679), unnamed (-890079), unnamed (-887954)
KBTBD2	unnamed (+162797), unnamed (+199297)
KCNA2	unnamed (-31671), unnamed (-30521), unnamed (-26996)
KCNA3	unnamed (+35933), unnamed (+37083), unnamed (+40608)
KCNJ11	unnamed (-11116)
KCNJ16	unnamed (-603329)
KCNMB2	unnamed (+118300)
KCNQ5	unnamed (-767)
KCNRG	unnamed (+511021)
KCNS1	unnamed (+12712)
KCTD14	unnamed (+22994)
KCTD18	unnamed (+41613), unnamed (+44363)
KCTD2	unnamed (+32105)
KCTD5	unnamed (-74025)
KDM1A	unnamed (+92607), unnamed (+94257)
KDM4B	unnamed (-9571)
KDM8	unnamed (-5600), unnamed (+19225), unnamed (+21925), unnamed (+23925), unnamed (+35250), unnamed (+36075), unnamed (+40250), unnamed (+41425), unnamed (+48925), unnamed (+51400), unnamed (+53325), unnamed (+55125)
KEAP1	unnamed (+73541)
KIAA0040	unnamed (-128346), unnamed (-115746), unnamed (-113871), unnamed (-112596), unnamed (-11846)
KIAA0319L	unnamed (+114413)
KIAA1456	unnamed (-182052)
KIF1BP	unnamed (+59404), unnamed (+63804), unnamed (+68304), unnamed (+72804)
KIF2C	unnamed (+13305), unnamed (+14005)
KIF3A	unnamed (-13756), unnamed (-10431)
KL	unnamed (+89917)
KLF10	unnamed (-126948), unnamed (-112248), unnamed (-83348)
KLF16	unnamed (-20507)
KLF2	unnamed (-121667), unnamed (-108167), unnamed (-107242), unnamed (+6433), unnamed (+38583), unnamed (+43658), unnamed (+61133), unnamed (+104533), unnamed (+123083)
KLF3	unnamed (-668571), unnamed (-487121)
KLF4	unnamed (-527254)
KLF6	unnamed (+20825), unnamed (+27200), unnamed (+27675)
KLF7	unnamed (-338805)
KLHDC8B	unnamed (+189)
KLHL29	unnamed (-667)
KLHL31	unnamed (+47458), unnamed (+76508), unnamed (+79783)
KLHL32	unnamed (+126046)
KLK2	unnamed (+3201), unnamed (+18701), unnamed (+22901)
KLK4	unnamed (+14588), unnamed (+18788), unnamed (+34288)
KLRB1	unnamed (-34814)
KMT5A	unnamed (+47927), unnamed (+50427)
KNL1	unnamed (+78030), unnamed (+79055), unnamed (+91280)
KRAS	unnamed (-131297)
KRTDAP	unnamed (-19444)
KSR1	unnamed (+149340)
KSR2	unnamed (-1602), unnamed (-502), unnamed (+61073), unnamed (+70773), unnamed (+73323), unnamed (+74673), unnamed (+78498), unnamed (+80298), unnamed (+83648), unnamed (+86223), unnamed (+89873), unnamed (+92373)
LAG3	unnamed (-270)
LANCL2	unnamed (+70552), unnamed (+73727), unnamed (+75127), unnamed (+98877), unnamed (+100752), unnamed (+102352), unnamed (+105327), unnamed (+106502), unnamed (+107427), unnamed (+109752), unnamed (+112477), unnamed (+120127), unnamed (+157227)
LAPTM5	unnamed (-21580), unnamed (-8530), unnamed (-6405)
LAX1	unnamed (-136876), unnamed (-134401), unnamed (-122026), unnamed (-89451), unnamed (-88826), unnamed (-81951), unnamed (-1851)
LBH	unnamed (+62794)
LCK	unnamed (-4314), unnamed (+21086)
LCLAT1	unnamed (-152932)
LCP2	unnamed (+1477)
LDAH	unnamed (+57214), unnamed (+144189), unnamed (+148089), unnamed (+150014), unnamed (+155014)
LDLRAD2	unnamed (+60085)
