# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A2ML1	unnamed (+5803), unnamed (+8528)
CCDC70	unnamed (+45119), unnamed (+49519), unnamed (+51094), unnamed (+51944), unnamed (+59644), unnamed (+80469), unnamed (+84119), unnamed (+93594)
CCDC71L	unnamed (+175446)
CCDC8	unnamed (-64966), unnamed (+18534)
CCDC80	unnamed (-131406), unnamed (-127206)
CCDC81	unnamed (+68158), unnamed (+68883), unnamed (+73458), unnamed (+106658), unnamed (+112008), unnamed (+113808), unnamed (+128408)
CCDC85C	unnamed (+64776)
CCDC88A	unnamed (-10362), unnamed (-6087), unnamed (+29738), unnamed (+50163), unnamed (+71838)
CCDC88C	unnamed (-37098), unnamed (-36248), unnamed (+89727), unnamed (+148627), unnamed (+150127), unnamed (+156852)
CCDC90B	unnamed (-257818), unnamed (-256768)
CCDC96	unnamed (+35214), unnamed (+84414), unnamed (+98789), unnamed (+111589), unnamed (+113889), unnamed (+115139), unnamed (+116239)
CCER1	unnamed (+830126)
CCER2	unnamed (-367)
CCHCR1	unnamed (+9989)
CCIN	unnamed (-21744), unnamed (-21194)
CCK	unnamed (-103893), unnamed (-39468), unnamed (+83757), unnamed (+148332), unnamed (+169982)
CCKAR	unnamed (-34138), unnamed (+152437)
CCL15	unnamed (-637)
CCL15-CCL14	unnamed (-1054)
CCL16	unnamed (+4271)
CCL24	unnamed (-47219), unnamed (+24156)
CCL26	unnamed (-9304)
CCL27	unnamed (+9367)
CCL4	unnamed (+49310)
CCL5	unnamed (+1908)
CCM2	unnamed (+36866)
CCNB2	unnamed (+60822)
CCNC	unnamed (+44348), unnamed (+45923)
CCND1	unnamed (-519712), unnamed (-516262), unnamed (-496687), unnamed (-441312), unnamed (-214862), unnamed (-174037), unnamed (-141512), unnamed (-138537), unnamed (-46537)
CCND2	unnamed (-309097), unnamed (-274247), unnamed (-234547), unnamed (-188597), unnamed (-160347), unnamed (-159097), unnamed (-28747), unnamed (-10747), unnamed (+4478), unnamed (+7103), unnamed (+9228), unnamed (+11228), unnamed (+13578), unnamed (+17128), unnamed (+19828), unnamed (+22578)
CCND3	unnamed (-93977), unnamed (-92427)
CCNE1	unnamed (+112227), unnamed (+113652)
CCNH	unnamed (+16469), unnamed (+83669), unnamed (+95994), unnamed (+131769)
CCNJ	unnamed (-49483)
CCNK	unnamed (+57841)
CCNL1	unnamed (-88862), unnamed (+43863), unnamed (+44638), unnamed (+49788), unnamed (+50763), unnamed (+80488), unnamed (+83413), unnamed (+85238), unnamed (+88738), unnamed (+90263), unnamed (+171813), unnamed (+174688)
CCNT1	unnamed (-47652)
CCNT2	unnamed (+35600)
CCNYL1	unnamed (-43286), unnamed (-40411), unnamed (+11314), unnamed (+12114)
CCR1	unnamed (+141296), unnamed (+143696), unnamed (+145271)
CCR4	unnamed (+33451), unnamed (+46326), unnamed (+68226), unnamed (+71126), unnamed (+73676)
CCR5	unnamed (+23996), unnamed (+26921)
CCR6	unnamed (+26881)
CCR7	unnamed (-47078), unnamed (-46053), unnamed (-43953), unnamed (-41578), unnamed (-39678), unnamed (-24103), unnamed (-10453), unnamed (+20047), unnamed (+21072), unnamed (+29922), unnamed (+36422), unnamed (+42997), unnamed (+44647)
CCR8	unnamed (-38731)
CCRL2	unnamed (-12708), unnamed (-9783), unnamed (+8517)
CCSAP	unnamed (+15866)
CCSER2	unnamed (-14164), unnamed (+25261)
CCT5	unnamed (+39679)
CCT6B	unnamed (+376384)
CD101	unnamed (+15238), unnamed (+16513)
CD160	unnamed (+73406)
CD180	unnamed (-992726), unnamed (-110776), unnamed (+390799), unnamed (+436624)
CD1D	unnamed (-104672)
CD2	unnamed (-14335), unnamed (-13810), unnamed (+42890), unnamed (+52015), unnamed (+53740)
CD200	unnamed (-4781), unnamed (-1331), unnamed (+9494), unnamed (+11794), unnamed (+24069), unnamed (+29994), unnamed (+34544), unnamed (+38669), unnamed (+39894), unnamed (+42569), unnamed (+43594), unnamed (+45919), unnamed (+88694), unnamed (+95769), unnamed (+98969), unnamed (+101769), unnamed (+105019), unnamed (+105819), unnamed (+115244), unnamed (+119644), unnamed (+120769)
CD200R1	unnamed (+72572)
CD200R1L	unnamed (-56600), unnamed (+73275), unnamed (+77475)
CD209	unnamed (+6659), unnamed (+7184)
CD226	unnamed (+6546)
CD24	unnamed (-3661), unnamed (+116189), unnamed (+151939), unnamed (+186089), unnamed (+200489), unnamed (+215739), unnamed (+222039), unnamed (+224164)
CD247	unnamed (+8163), unnamed (+25438), unnamed (+26713), unnamed (+32313), unnamed (+44588), unnamed (+65963), unnamed (+72013)
CD276	unnamed (-2938), unnamed (-1063), unnamed (+1762), unnamed (+15912)
CD28	unnamed (+105877), unnamed (+109977), unnamed (+116152), unnamed (+118477), unnamed (+147627), unnamed (+152852), unnamed (+154052)
CD302	unnamed (+15992)
CD320	unnamed (+10205)
CD33	unnamed (-30273)
CD37	unnamed (+10100), unnamed (+15900), unnamed (+19475)
CD3D	unnamed (+4569)
CD3E	unnamed (+33630)
CD4	unnamed (-14372), unnamed (-8972), unnamed (-5722), unnamed (+21353)
CD40	unnamed (+87003)
CD44	unnamed (-74581), unnamed (+78844)
CD47	unnamed (-13486), unnamed (+102864), unnamed (+120489), unnamed (+121439), unnamed (+179489), unnamed (+257214), unnamed (+299214), unnamed (+301089), unnamed (+302139)
CD5	unnamed (-127670), unnamed (-122795), unnamed (-121095), unnamed (-119745), unnamed (-114170), unnamed (-108570), unnamed (-107445), unnamed (-98570), unnamed (-98120), unnamed (-96995), unnamed (-93095), unnamed (-77670), unnamed (-67545), unnamed (-61720), unnamed (-54095), unnamed (-52770), unnamed (-47820), unnamed (-46595), unnamed (-43020), unnamed (-38745), unnamed (-37295), unnamed (-36820), unnamed (-35520), unnamed (-22970), unnamed (-18770), unnamed (-15145), unnamed (-12470), unnamed (-5120), unnamed (+1830), unnamed (+3755), unnamed (+9730), unnamed (+11830), unnamed (+14030), unnamed (+44330)
CD55	unnamed (-17807)
CD58	unnamed (-93061), unnamed (-89386), unnamed (-86561), unnamed (-83111), unnamed (-74736), unnamed (-70436), unnamed (-63936), unnamed (-54811), unnamed (-52061), unnamed (-49961), unnamed (-39186), unnamed (-36686), unnamed (-28936), unnamed (-20536), unnamed (-14686), unnamed (-4536), unnamed (+161564)
CD6	unnamed (+3045), unnamed (+7920), unnamed (+9620), unnamed (+10970), unnamed (+16545), unnamed (+22145), unnamed (+23270), unnamed (+32145), unnamed (+32595), unnamed (+33720), unnamed (+37620), unnamed (+53045), unnamed (+63170), unnamed (+68995), unnamed (+76620), unnamed (+77945), unnamed (+82895), unnamed (+84120), unnamed (+87695), unnamed (+91970), unnamed (+93420), unnamed (+93895), unnamed (+95195), unnamed (+107745), unnamed (+111945), unnamed (+115570), unnamed (+118245), unnamed (+125595)
CD63	unnamed (+3032)
CD7	unnamed (-9248), unnamed (-6648), unnamed (-2798), unnamed (+35702)
CD70	unnamed (-77736), unnamed (-64211), unnamed (-50011), unnamed (-48736), unnamed (+51689)
CD82	unnamed (-218466), unnamed (-155641), unnamed (-34666)
CD83	unnamed (-92966), unnamed (+48659), unnamed (+114159), unnamed (+200609), unnamed (+412559), unnamed (+413909), unnamed (+423334), unnamed (+454259), unnamed (+626484), unnamed (+631909), unnamed (+632459), unnamed (+637659), unnamed (+639909), unnamed (+641359), unnamed (+644809), unnamed (+756109), unnamed (+757459), unnamed (+765084), unnamed (+766534), unnamed (+900634), unnamed (+904434), unnamed (+915759), unnamed (+919559), unnamed (+959684), unnamed (+972334)
CD84	unnamed (-25746), unnamed (+50354)
CD8A	unnamed (-28879)
CD8B	unnamed (+24640)
CDAN1	unnamed (+103851)
CDC14B	unnamed (-27795), unnamed (-26095), unnamed (-6220), unnamed (+31755), unnamed (+37805), unnamed (+62630)
CDC16	unnamed (-82712), unnamed (-57762), unnamed (-57137), unnamed (+30063), unnamed (+30863)
CDC23	unnamed (+19768)
CDC25A	unnamed (+45281), unnamed (+46606), unnamed (+61256), unnamed (+61656), unnamed (+62656), unnamed (+69381), unnamed (+70081)
CDC25B	unnamed (+8440), unnamed (+10490), unnamed (+12690), unnamed (+14790), unnamed (+17615)
CDC27	unnamed (-4324), unnamed (+183751), unnamed (+194351), unnamed (+195451), unnamed (+200001)
CDC40	unnamed (+36934)
CDC42	unnamed (-19877), unnamed (-19277), unnamed (-8052), unnamed (+69523), unnamed (+74673)
CDC42BPB	unnamed (+71087), unnamed (+72462), unnamed (+84612), unnamed (+111687), unnamed (+114112), unnamed (+117112)
CDC42EP2	unnamed (-24493)
CDC42EP3	unnamed (-209409), unnamed (-200359), unnamed (-154234), unnamed (+31141), unnamed (+58016), unnamed (+72866), unnamed (+125141)
CDC42EP4	unnamed (-327375), unnamed (-317275), unnamed (-306575), unnamed (-303825), unnamed (-301925), unnamed (-300850), unnamed (-298500), unnamed (-249750), unnamed (-248425), unnamed (-226025), unnamed (-198575)
CDC42EP5	unnamed (+3189)
CDC42SE2	unnamed (-67450), unnamed (+78750)
CDC5L	unnamed (+480025), unnamed (+798025)
CDC7	unnamed (+69417), unnamed (+101467), unnamed (+112617), unnamed (+113292), unnamed (+116492), unnamed (+145967), unnamed (+149967), unnamed (+156442), unnamed (+172092), unnamed (+182717), unnamed (+184417), unnamed (+206717), unnamed (+209742), unnamed (+213792), unnamed (+218667), unnamed (+228242), unnamed (+233117), unnamed (+236167), unnamed (+247342), unnamed (+249017), unnamed (+249567), unnamed (+254192), unnamed (+291442), unnamed (+301867), unnamed (+303992), unnamed (+304667), unnamed (+309342), unnamed (+311292), unnamed (+312767), unnamed (+320492), unnamed (+327792), unnamed (+341192), unnamed (+345117), unnamed (+346867), unnamed (+350042), unnamed (+363467), unnamed (+367067), unnamed (+371042), unnamed (+374267), unnamed (+378067), unnamed (+380367), unnamed (+381992), unnamed (+382967)
CDCA7L	unnamed (+77909), unnamed (+341634)
CDCA8	unnamed (+7032), unnamed (+13182), unnamed (+63157)
CDH1	unnamed (+95900)
CDH15	unnamed (-51317), unnamed (-39542), unnamed (-15817), unnamed (-14042), unnamed (-5167)
CDH17	unnamed (+239137), unnamed (+254912)
CDH22	unnamed (-47402), unnamed (-33877), unnamed (+103223)
CDH23	unnamed (-39812), unnamed (-35437), unnamed (-30012), unnamed (-29062), unnamed (-21812), unnamed (+129763), unnamed (+280088), unnamed (+302388)
CDH4	unnamed (+735974), unnamed (+766899)
CDHR1	unnamed (-17985)
CDHR3	unnamed (+49536)
CDIP1	unnamed (-55241), unnamed (-19541), unnamed (-17516), unnamed (-13091), unnamed (-10916), unnamed (-4141)
CDIPT	unnamed (+29611), unnamed (+35711)
CDK11B	unnamed (-21063), unnamed (-15388)
CDK12	unnamed (+7936), unnamed (+27111), unnamed (+32386), unnamed (+129661)
CDK13	unnamed (-229487), unnamed (+79488), unnamed (+80563), unnamed (+168213)
CDK14	unnamed (+189478), unnamed (+195578), unnamed (+202978), unnamed (+225503), unnamed (+226828), unnamed (+227103), unnamed (+233378), unnamed (+242178), unnamed (+250303), unnamed (+252053), unnamed (+255878), unnamed (+257878), unnamed (+264353), unnamed (+318728), unnamed (+326828), unnamed (+330478), unnamed (+336803), unnamed (+406803), unnamed (+409103), unnamed (+439803), unnamed (+465953), unnamed (+545303), unnamed (+545728), unnamed (+549953), unnamed (+551828), unnamed (+566328), unnamed (+634403)
CDK15	unnamed (+191296), unnamed (+197721), unnamed (+200196)
CDK2AP1	unnamed (-67460), unnamed (+17240)
CDK5RAP2	unnamed (+5233), unnamed (+71658)
CDK8	unnamed (+55086), unnamed (+55511)
CDKL1	unnamed (-16101), unnamed (-11926), unnamed (-10626), unnamed (-9401), unnamed (-6426), unnamed (-3051), unnamed (+18474)
CDKL4	unnamed (+11107), unnamed (+48807), unnamed (+49982), unnamed (+57557), unnamed (+58507), unnamed (+62282)
CDKN1A	unnamed (-26235)
CDKN1B	unnamed (-11774)
CDKN1C	unnamed (+14431), unnamed (+21106), unnamed (+22181)
CDKN2AIP	unnamed (-76391), unnamed (-41541)
CDKN2AIPNL	unnamed (-55977), unnamed (-31827)
CDKN2B	unnamed (-228412), unnamed (-138837), unnamed (-108512), unnamed (-69987), unnamed (-23637), unnamed (-22637)
CDNF	unnamed (+146172), unnamed (+154722), unnamed (+213497)
CDR2L	unnamed (+15118)
CDRT15L2	unnamed (+70151), unnamed (+70801), unnamed (+121076), unnamed (+193251), unnamed (+208076), unnamed (+224276), unnamed (+369676), unnamed (+383851), unnamed (+413851), unnamed (+420576), unnamed (+422626), unnamed (+429826), unnamed (+435151)
CDS2	unnamed (+28089)
CDV3	unnamed (-50530)
CDYL	unnamed (+48665)
CDYL2	unnamed (+97454), unnamed (+121479), unnamed (+121929), unnamed (+124804)
CEACAM1	unnamed (+2684), unnamed (+5184), unnamed (+71884)
CEACAM16	unnamed (+38499)
CEACAM21	unnamed (-37299), unnamed (-36449), unnamed (-36124)
CEBPB	unnamed (+128216), unnamed (+201541)
CEBPG	unnamed (+5595)
CECR2	unnamed (-114974), unnamed (-103549), unnamed (-99674), unnamed (-93949), unnamed (-90249), unnamed (-87224), unnamed (-86524), unnamed (-80099), unnamed (-43224)
CELA2B	unnamed (+34349), unnamed (+43474), unnamed (+44499)
CELA3A	unnamed (+31094), unnamed (+31694), unnamed (+42919)
CELA3B	unnamed (-19146)
CELF1	unnamed (+93392)
CELF2	unnamed (+256570), unnamed (+262945), unnamed (+266645), unnamed (+267470), unnamed (+277870), unnamed (+282045), unnamed (+310695)
CELF5	unnamed (-32778), unnamed (-30328)
CELF6	unnamed (+1479)
CELSR1	unnamed (-4855), unnamed (-2380), unnamed (+4320), unnamed (+19320), unnamed (+21645), unnamed (+26370), unnamed (+29395), unnamed (+30120), unnamed (+31395), unnamed (+33670), unnamed (+37245), unnamed (+47420), unnamed (+50145), unnamed (+51620), unnamed (+55170), unnamed (+59095), unnamed (+61170), unnamed (+72095), unnamed (+77345), unnamed (+79870), unnamed (+81220), unnamed (+89670), unnamed (+93295), unnamed (+98195), unnamed (+99920), unnamed (+101070), unnamed (+102245), unnamed (+109195), unnamed (+112920), unnamed (+114645), unnamed (+118095), unnamed (+123245), unnamed (+135220), unnamed (+137670), unnamed (+139920), unnamed (+143120), unnamed (+146620), unnamed (+164220), unnamed (+166120), unnamed (+168620), unnamed (+173620), unnamed (+179995), unnamed (+181795), unnamed (+187720)
CELSR2	unnamed (+25206)
CELSR3	unnamed (-8860)
CEMIP	unnamed (-74346), unnamed (+160479)
CENPBD1	unnamed (-15141), unnamed (-13416), unnamed (-11391), unnamed (-6091), unnamed (-4991), unnamed (+11659), unnamed (+13034)
CENPO	unnamed (-295645), unnamed (-43845)
CENPU	unnamed (-77217), unnamed (-76642), unnamed (-67067), unnamed (-58317), unnamed (-17317)
CENPV	unnamed (+23524)
CEP104	unnamed (+45599)
CEP112	unnamed (+480994)
CEP131	unnamed (-7076)
CEP135	unnamed (+291869), unnamed (+294019), unnamed (+309644), unnamed (+310469), unnamed (+321269), unnamed (+321994), unnamed (+324269)
CEP164	unnamed (+278395)
CEP170	unnamed (+353850), unnamed (+564325), unnamed (+602975)
CEP19	unnamed (+46993), unnamed (+55143), unnamed (+57393)
CEP192	unnamed (+239613), unnamed (+269388), unnamed (+276713), unnamed (+278588)
CEP295NL	unnamed (-17649), unnamed (-15824), unnamed (-14374), unnamed (-8424), unnamed (-6049), unnamed (-574), unnamed (+7326), unnamed (+8901), unnamed (+16626), unnamed (+18226), unnamed (+26001), unnamed (+37426)
CEP41	unnamed (-15713), unnamed (+42387)
CEP57	unnamed (+101114)
CEP68	unnamed (-12272)
CEP70	unnamed (+138131)
CEP76	unnamed (-153676), unnamed (-152726), unnamed (-152101), unnamed (-151426), unnamed (-116251)
CEP83	unnamed (-185748), unnamed (-181348), unnamed (-125898), unnamed (-68923)
CEP85L	unnamed (-174975), unnamed (-164750), unnamed (-164000), unnamed (-152400), unnamed (-85875), unnamed (-58225), unnamed (-34500), unnamed (-7300), unnamed (-2675), unnamed (+49875)
CERK	unnamed (+62461), unnamed (+76636), unnamed (+83461)
CERS4	unnamed (+88797)
CERS5	unnamed (+12397)
CETN3	unnamed (+531282), unnamed (+531582), unnamed (+581857), unnamed (+583482)
CFAP126	unnamed (-131201)
CFAP20	unnamed (-47950)
CFAP221	unnamed (+111579)
CFAP36	unnamed (-93904), unnamed (-89629)
CFAP44	unnamed (+182964), unnamed (+185289), unnamed (+188064)
CFAP73	unnamed (+92)
CFAP77	unnamed (+61126), unnamed (+72201)
CFB	unnamed (-59)
CFD	unnamed (+16136)
CFLAR	unnamed (+20546), unnamed (+23396), unnamed (+61021)
CGB7	unnamed (-3240)
CHAD	unnamed (+1041), unnamed (+3491), unnamed (+40541)
CHAF1A	unnamed (+21713), unnamed (+24063), unnamed (+40913)
CHAF1B	unnamed (-31028)
CHAMP1	unnamed (-25663), unnamed (+13487), unnamed (+21612)
CHCHD5	unnamed (+50159)
CHCHD6	unnamed (-20070), unnamed (+237780)
CHD2	unnamed (-238945), unnamed (-235195), unnamed (-30070)
CHD3	unnamed (-18406), unnamed (-17531)
CHD4	unnamed (-7990)
CHD5	unnamed (-3302)
CHD6	unnamed (-935531), unnamed (-695456), unnamed (-654281), unnamed (-651781)
CHD7	unnamed (+173797), unnamed (+189097), unnamed (+197522), unnamed (+278872), unnamed (+393272)
CHD9	unnamed (+31442)
CHDH	unnamed (-2910), unnamed (-1135), unnamed (+5015), unnamed (+9790), unnamed (+24315), unnamed (+31790), unnamed (+38365), unnamed (+40340), unnamed (+41915), unnamed (+73615), unnamed (+74440), unnamed (+99790), unnamed (+100965), unnamed (+102815), unnamed (+116665), unnamed (+132440), unnamed (+134215), unnamed (+141115), unnamed (+144915), unnamed (+194065), unnamed (+197265), unnamed (+203015), unnamed (+246115), unnamed (+252215), unnamed (+336840)
CHERP	unnamed (+39155)
CHGA	unnamed (-75555), unnamed (+114220), unnamed (+123845), unnamed (+124695), unnamed (+130620), unnamed (+131670), unnamed (+133220), unnamed (+139020), unnamed (+154920), unnamed (+157095), unnamed (+157945), unnamed (+161120), unnamed (+162395), unnamed (+162970), unnamed (+166645), unnamed (+167745), unnamed (+178545), unnamed (+179870), unnamed (+183070), unnamed (+184020), unnamed (+188045)
CHGB	unnamed (-277055), unnamed (-275805), unnamed (-249155), unnamed (-241830), unnamed (-240980), unnamed (-239730), unnamed (-222230), unnamed (-217330), unnamed (-214330), unnamed (-89855)
CHIA	unnamed (+10759)
CHID1	unnamed (-14659), unnamed (-2334)
CHIT1	unnamed (-34779), unnamed (-33354), unnamed (-7679)
CHKA	unnamed (+4804)
CHMP1B	unnamed (-104621), unnamed (-66021), unnamed (-64971), unnamed (-62246), unnamed (-60671), unnamed (-50021), unnamed (+21554), unnamed (+35104), unnamed (+35629)
CHMP4B	unnamed (+109271)
CHMP6	unnamed (-391316), unnamed (-373066), unnamed (-369916), unnamed (-359516), unnamed (-343291), unnamed (-304941), unnamed (-245591)
CHMP7	unnamed (+11038)
CHN1	unnamed (-136324), unnamed (+217401), unnamed (+226376), unnamed (+232576)
CHP1	unnamed (+6782)
CHRDL2	unnamed (+99600)
CHRNA1	unnamed (-23364), unnamed (-14389), unnamed (-8189)
CHRNA9	unnamed (-52329), unnamed (-41529), unnamed (+97671), unnamed (+176971)
CHRNB1	unnamed (+25889)
CHRNB2	unnamed (+15944)
CHRNE	unnamed (-1426), unnamed (+10399), unnamed (+26149), unnamed (+57849)
CHST1	unnamed (+290122)
CHST10	unnamed (-32369), unnamed (+6056), unnamed (+10106)
CHST11	unnamed (+272577)
CHST14	unnamed (-1373), unnamed (+22277), unnamed (+22977), unnamed (+66652)
CHST15	unnamed (-21518), unnamed (-2568), unnamed (+32282), unnamed (+33832), unnamed (+36107), unnamed (+54182), unnamed (+86482), unnamed (+89357), unnamed (+90307)
CHST2	unnamed (+8494), unnamed (+33069), unnamed (+141894), unnamed (+182969), unnamed (+194294), unnamed (+312044), unnamed (+317119), unnamed (+320394), unnamed (+323519), unnamed (+355244), unnamed (+472994), unnamed (+477794), unnamed (+508069), unnamed (+535919)
CHST3	unnamed (-31115), unnamed (-29690), unnamed (-26490), unnamed (-23790), unnamed (-7940), unnamed (+6935), unnamed (+7535), unnamed (+8235), unnamed (+10560), unnamed (+16710), unnamed (+18160), unnamed (+19360), unnamed (+21885), unnamed (+25110), unnamed (+31810), unnamed (+33735), unnamed (+38460), unnamed (+41285), unnamed (+42810), unnamed (+70010), unnamed (+75385), unnamed (+91410), unnamed (+95860), unnamed (+97835), unnamed (+118560), unnamed (+120135)
CHTF8	unnamed (-33930), unnamed (-25930)
CHTOP	unnamed (+13543), unnamed (+15543)
CIB3	unnamed (+5950), unnamed (+11775)
CIC	unnamed (+3835)
CILP	unnamed (-39362)
CINP	unnamed (+10042), unnamed (+27142)
CIPC	unnamed (-52397)
CISD1	unnamed (+9392)
CISD3	unnamed (+2815)
CIT	unnamed (+27891), unnamed (+49916), unnamed (+173541)
CITED2	unnamed (-622312), unnamed (-206137), unnamed (-133962), unnamed (+18138), unnamed (+31938), unnamed (+40188), unnamed (+74788)
CITED4	unnamed (-24484), unnamed (+67591)
CKAP4	unnamed (-34487), unnamed (-25762), unnamed (-24912), unnamed (-22112), unnamed (-20187), unnamed (-19212), unnamed (-10537), unnamed (+11513), unnamed (+15238), unnamed (+18913), unnamed (+21238)
CKMT2	unnamed (-224999)
CLASP1	unnamed (+63701), unnamed (+93676), unnamed (+114101), unnamed (+315576)
CLASRP	unnamed (-20165), unnamed (+4485), unnamed (+15460), unnamed (+16685), unnamed (+19235)
CLCA4	unnamed (+61497), unnamed (+86547)
CLCN6	unnamed (+37264)
CLCNKB	unnamed (+23973)
CLDN1	unnamed (+15900)
CLDN10	unnamed (-231875)
CLDN11	unnamed (+2835)
CLDN20	unnamed (-310213), unnamed (-189088), unnamed (-185638), unnamed (-184563), unnamed (-170438), unnamed (-148188), unnamed (-146363)
CLDN23	unnamed (-309613), unnamed (-308613), unnamed (-301238), unnamed (-292288), unnamed (-274538), unnamed (-273638), unnamed (-260588), unnamed (-259963), unnamed (-256038), unnamed (-246013), unnamed (-218288), unnamed (-216613), unnamed (-213988), unnamed (-191988), unnamed (-137388), unnamed (-46263), unnamed (+3712)
CLDN24	unnamed (-80624), unnamed (-45774)
CLDN25	unnamed (+37728), unnamed (+56703), unnamed (+63603)
CLDN3	unnamed (-24305), unnamed (+3295)
CLDN4	unnamed (-33169)
CLDN5	unnamed (-88705), unnamed (-81505), unnamed (-51355)
CLEC16A	unnamed (+116887), unnamed (+119287), unnamed (+145487), unnamed (+146412), unnamed (+147412)
CLEC17A	unnamed (+17777), unnamed (+25952)
CLEC18B	unnamed (-178433)
CLEC18C	unnamed (-56042), unnamed (-55017), unnamed (-49392), unnamed (-10892)
CLEC19A	unnamed (-114452), unnamed (-113202), unnamed (-110577), unnamed (-108627), unnamed (-95677), unnamed (-91327), unnamed (-82902), unnamed (-82427), unnamed (-80352), unnamed (-65602), unnamed (-58577), unnamed (-55727), unnamed (-32052), unnamed (+5773), unnamed (+10048), unnamed (+18948), unnamed (+23023)
CLEC2L	unnamed (-29631), unnamed (+129669), unnamed (+224094), unnamed (+225044), unnamed (+230944)
CLEC4G	unnamed (-8704), unnamed (-8179), unnamed (+20296)
CLEC4M	unnamed (-49), unnamed (+8601), unnamed (+10676)
CLHC1	unnamed (+77288)
CLIC3	unnamed (-9072)
CLIC4	unnamed (-30007)
CLIC6	unnamed (-136964), unnamed (-134964), unnamed (-126239), unnamed (-121639), unnamed (-112089), unnamed (-102589), unnamed (-88839), unnamed (-86489), unnamed (-77014), unnamed (-75364), unnamed (+194461), unnamed (+298436), unnamed (+313336), unnamed (+330811)
CLINT1	unnamed (-42682)
CLIP1	unnamed (+29544)
CLK3	unnamed (+8456), unnamed (+37506)
CLK4	unnamed (-78561), unnamed (-46611), unnamed (-9761)
CLLU1	unnamed (-128134), unnamed (-35684)
CLMN	unnamed (-152019), unnamed (-140494), unnamed (-89994), unnamed (-79294), unnamed (-78169), unnamed (-44169), unnamed (-13569), unnamed (-12144), unnamed (-11544), unnamed (-4944), unnamed (+3581), unnamed (+7106), unnamed (+7756), unnamed (+8656), unnamed (+14281), unnamed (+15206), unnamed (+21031), unnamed (+23506), unnamed (+24056), unnamed (+24906), unnamed (+25506), unnamed (+30706), unnamed (+31731), unnamed (+33281), unnamed (+34031), unnamed (+35781), unnamed (+50931), unnamed (+57131), unnamed (+58356), unnamed (+73431), unnamed (+84706), unnamed (+111206)
CLMP	unnamed (-324594), unnamed (-299819), unnamed (-270569), unnamed (-243194), unnamed (-191869), unnamed (-190394), unnamed (-185669), unnamed (-169869), unnamed (-165719), unnamed (-164394), unnamed (-161544)
CLNK	unnamed (-682735), unnamed (-681460), unnamed (-680210), unnamed (-658110), unnamed (-632210), unnamed (-609910), unnamed (-595510), unnamed (-568010), unnamed (-471360), unnamed (-464360), unnamed (-464110), unnamed (-423035), unnamed (-399160), unnamed (-397160), unnamed (-385485), unnamed (-371710), unnamed (-362985), unnamed (-267710), unnamed (-267010), unnamed (-263435), unnamed (-247860), unnamed (-218785), unnamed (-212485), unnamed (-211085), unnamed (-207135), unnamed (-205935), unnamed (-204060), unnamed (-202960), unnamed (-198835), unnamed (-196460), unnamed (-194035), unnamed (-181335), unnamed (-169210), unnamed (-158485), unnamed (-153160), unnamed (-152285), unnamed (-150335), unnamed (-146435), unnamed (-123210), unnamed (-120835), unnamed (-116410), unnamed (-97085), unnamed (-89860), unnamed (-87160), unnamed (-68935), unnamed (-54360), unnamed (-51760), unnamed (-40785), unnamed (-32335), unnamed (-31035), unnamed (-30660), unnamed (-28810), unnamed (-25285), unnamed (-22360), unnamed (-18210), unnamed (-16160), unnamed (-11685), unnamed (-9660), unnamed (-9360), unnamed (-8835), unnamed (-7635), unnamed (+3140), unnamed (+4040), unnamed (+15040), unnamed (+16715), unnamed (+19290), unnamed (+20515), unnamed (+26065), unnamed (+40990), unnamed (+43240), unnamed (+45615), unnamed (+46790), unnamed (+47990), unnamed (+49490), unnamed (+50540), unnamed (+51790), unnamed (+52815), unnamed (+54315), unnamed (+56990), unnamed (+60065), unnamed (+64115), unnamed (+66165), unnamed (+69665), unnamed (+71465), unnamed (+73340), unnamed (+74815), unnamed (+77215), unnamed (+83865), unnamed (+87315), unnamed (+90590), unnamed (+93465), unnamed (+95515), unnamed (+98465), unnamed (+106065), unnamed (+108690), unnamed (+110315), unnamed (+133140)
CLPB	unnamed (-234052), unnamed (-189677), unnamed (-173052), unnamed (-162577), unnamed (-159277), unnamed (-87402), unnamed (-86002), unnamed (+96148)
CLPTM1	unnamed (+7654), unnamed (+19079)
CLPTM1L	unnamed (+14424)
CLPX	unnamed (+14392)
CLRN3	unnamed (+21522), unnamed (+42222)
CLSTN1	unnamed (-21199), unnamed (-9674), unnamed (+95776), unnamed (+112726)
CLTA	unnamed (+27088)
CLTCL1	unnamed (-121386), unnamed (-120661), unnamed (-66386), unnamed (+95039), unnamed (+96514)
CLUAP1	unnamed (+44613)
CLUH	unnamed (+22295), unnamed (+23845), unnamed (+24920)
CLVS1	unnamed (-435380), unnamed (-420080), unnamed (-411655), unnamed (-330305), unnamed (-215905)
CMBL	unnamed (+18426)
CMIP	unnamed (-109170), unnamed (+13980), unnamed (+122805), unnamed (+123930), unnamed (+124730), unnamed (+262155)
CMPK1	unnamed (+66103)
