A.intersect.value	CLL.A34023.CEMT_4.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34039.CEMT_5.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34078.CEMT_6.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34942.CEMT_26.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34949.CEMT_27.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34956.CEMT_28.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34963.CEMT_29.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A35240.CEMT_25.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_GCACTT.FindER2.bed.remDups.bed.intersect.value	CLL.A35247.CEMT_30.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_GGCTAC.FindER2.bed.remDups.bed.intersect.value	CLL.A60647.CEMT_94.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60654.CEMT_95.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60661.CEMT_96.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60666.CEMT_97.H3K36me3.hg38.bwa-sb.IX4419.C9587ANXX_4_ATGTCA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135678_EGAR00001139764_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001135685_EGAR00001139767_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133241_EGAR00001137327_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215952_EGAR00001228603_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171934_EGAR00001185148_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133248_EGAR00001137335_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001323204_EGAR00001352516_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001291868_EGAR00001320595_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001323211_EGAR00001352511_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291885_EGAR00001320546_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323208_EGAR00001352512_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326464_EGAR00001355737_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272587_EGAR00001300134_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272615_EGAR00001300042_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272623_EGAR00001300050_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272638_EGAR00001300127_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272667_merged3runs_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272688_EGAR00001300081_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272657_EGAR00001300004_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272663_EGAR00001300010_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272652_EGAR00001299999_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272583_EGAR00001300071_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304986_EGAR00001334469_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304994_EGAR00001334419_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326453_EGAR00001355726_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305063_EGAR00001334390_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305082_EGAR00001334361_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295795_EGAX00001326624_EGAR00001355770_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326575_EGAR00001355825_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326601_EGAR00001355747_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326483_EGAR00001355810_usMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68890.CEMT_129.H3K36me3.hg38.bwa-sb.IX5127.CAVYBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70852.CEMT_134.H3K36me3.hg38.IX5208.CAVPBANXX_1_ACAGTG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70859.CEMT_135.H3K36me3.hg38.A70859_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70866.CEMT_136.H3K36me3.hg38.IX5211.CAVPBANXX_4_ACTGAT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70873.CEMT_137.H3K36me3.hg38.IX5212.CAVPBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70880.CEMT_138.H3K36me3.hg38.IX5214.CAVPBANXX_7_CACTCA.FindER2.bed.remDups.bed.intersect.value
chr11_94845600_94846500	0	0	0	0	0	0	0	0	0	0	0	0	225	225	0	375	0	900	0	0	0	450	0	0	0	900	600	0	0	0	0	0	900	900	0	900	0	0	0	0	900	0	0	0	300	0	0	300	0	0
chr11_94849800_94850150	0	0	0	50	0	0	0	0	0	0	0	0	0	350	0	0	0	350	0	0	0	0	0	0	0	350	200	0	0	0	0	0	350	350	0	350	0	0	0	0	350	0	350	0	350	0	0	0	0	0
chr11_94850950_94851250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	250	0	275	300	50	0	0	300	275	300	300	0	300	0	0	0	0	300	0	0	0	300	300	300	300	0	0
chr11_94851800_94852250	0	0	400	0	0	0	0	0	0	0	0	0	0	350	450	0	0	175	0	0	0	0	0	0	0	425	450	0	0	0	0	0	450	450	0	450	0	0	0	0	450	0	125	0	450	400	0	450	250	450
chr11_94853300_94853750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	425	350	0	0	0	0	0	450	450	0	450	0	0	0	200	425	0	50	0	450	450	250	450	450	325
chr11_94855900_94857450	0	0	0	200	0	0	0	0	0	0	0	0	0	1400	125	0	0	675	0	450	0	525	0	0	0	1550	125	0	0	0	0	0	1550	1400	0	1550	0	0	0	0	1550	0	200	0	725	500	0	575	525	375
chr11_94858050_94859300	0	0	0	525	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	675	0	0	0	1250	1100	0	0	0	0	675	1250	1250	0	1250	0	0	0	275	1250	0	200	0	1250	0	750	375	450	0
chr11_94859550_94860450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	300	0	0	0	150	0	0	0	0	0	900	900	0	0	300	0	75	900	900	0	900	0	0	0	0	900	0	300	0	900	900	750	900	825	675
chr11_94863600_94864550	0	0	0	300	0	0	0	0	0	0	0	0	0	0	500	300	0	0	0	425	0	725	0	0	0	950	725	0	0	0	0	0	950	950	0	950	0	0	0	0	950	0	0	0	950	0	0	800	0	0
chr11_94867800_94868150	0	0	0	125	0	0	0	0	0	0	0	0	0	350	0	0	0	350	0	0	0	0	0	350	0	350	350	0	0	0	0	0	350	350	0	350	0	0	0	0	350	0	350	0	350	0	0	0	0	0
chr11_94872000_94872450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	225	0	0	0	450	450	75	0	0	225	0	450	450	0	450	0	0	0	0	450	0	450	0	450	0	0	0	0	0
chr11_94873550_94874150	0	0	0	600	0	0	0	275	0	500	0	0	0	0	0	0	0	200	0	350	0	575	0	0	0	600	600	0	0	0	0	600	600	600	0	600	0	0	0	125	575	0	0	0	600	250	0	0	0	0
chr11_94875200_94878550	0	0	0	750	0	0	0	0	300	450	0	0	0	750	0	0	0	450	0	0	0	0	0	600	0	3175	3350	0	0	0	0	525	3350	3350	375	3350	450	0	0	0	3300	0	450	0	1750	675	0	1075	850	1000
chr11_94878800_94880200	0	0	0	675	25	0	0	0	0	0	0	0	0	600	600	0	400	850	0	0	0	525	0	0	0	325	1075	0	0	0	0	0	1400	1400	0	1400	0	0	0	0	1350	0	0	0	1400	25	0	175	0	0
chr11_94881650_94883100	0	0	0	900	0	450	0	0	0	0	0	0	0	850	0	0	0	700	0	0	0	325	0	0	0	1425	475	0	0	0	0	0	1450	1350	0	1075	0	0	0	0	1425	0	0	0	0	375	0	0	0	0
chr11_94883750_94884400	0	0	0	550	0	0	0	0	250	100	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	650	0	300	0	0	0	0	650	250	0	650	550	0	0	0	600	0	0	0	25	0	0	0	0	0
chr11_94893950_94894450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475	0	0	0	0	0	475	475	0	0	500	0	0	0	0	475	0	0	0	175	0	175	250	250	0
chr11_100686950_100687400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0	0	275	450	350	0	0	450	0	325	0	0	0	0	450	50	0	0	0	425	50	50	425	0	200	425	0	0	0	0	0	0
chr11_110092850_110093200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	325	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0
chr11_110295950_110296100	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	150	0	150	150	0	0	0	0	0	0	150	0	0	0	125	150	150	0	125	125	150	150	0	0	0	0	0	0
chr11_111936900_111937450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	250	0	0	0	550	0	0	0	0	0	0	550	300	0	0	400	0	0	0	525	300	0	0	0	0	525	375	0	0
chr11_114435150_114435550	0	0	75	175	0	0	400	0	325	0	0	0	0	300	0	225	0	0	0	0	0	25	0	375	0	375	0	0	0	0	0	0	400	0	0	75	0	0	0	0	400	400	0	0	0	0	0	0	0	0
chr11_115244450_115244800	0	0	0	175	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	350	0	0	0	0	0	0	350	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0
chr11_118610450_118610950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	475	0	0	0	0	400	0	0	0	500	0	500	0	0	0	0	475	0	0	0	0	0	0	0	450	0	100	0	0	0	0	0	0	0
chr11_120210750_120211050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0	300	0	0	225	0	0	75	300	300	0	0	300	0	0	0	0	0	0
chr11_125445000_125446350	0	0	0	0	0	0	150	0	0	375	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	1350	0	0	0	0	0	0	1350	225	0	1350	0	0	0	0	1350	0	0	0	0	0	0	0	0	0
chr11_125455650_125456250	0	0	0	0	0	0	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	300	0	0	525	0	0	600	0	0	600	0	0	0	0	600	0	0	0	0	0	0	0	0	0
chr11_125457950_125458350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	375	75	0	0	0	0	0	400	0	0	400	300	0	0	0	400	0	0	0	0	0	0	0	0	0
chr11_125481350_125481900	0	0	0	175	0	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	550	175	0	0	0	0	0	550	550	150	550	0	0	0	0	525	0	0	0	0	0	0	0	0	0
chr11_125484950_125485450	0	0	0	500	0	0	500	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	500	500	0	0	0	0	0	500	500	0	500	0	0	0	0	450	0	0	0	500	0	175	0	0	0
chr11_125489300_125489800	0	0	0	0	175	0	500	0	0	0	0	0	0	0	0	0	0	0	0	175	0	500	0	0	0	475	475	0	250	0	0	0	500	475	0	500	300	0	0	0	475	0	0	0	500	500	100	25	175	100
chr11_125684100_125684500	300	0	300	400	0	0	400	0	0	0	0	0	0	0	0	0	0	0	0	0	150	225	0	0	0	400	400	0	0	0	0	0	400	400	0	400	0	0	0	0	375	0	0	0	400	400	150	400	400	250
chr11_130862250_130862550	0	75	225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	300	0	0	75	0	0	0	300	0	0	0	0	300	150	75	300	0	0	75	0	0	0	0	0	0
chr12_460200_460550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	125	0	0	0	0	0	0	0	350	0	0	0	0	0	350	350	225	0	225	0	0	0	0	350	0	0	0	0	0	0	0	0	0
chr12_1530350_1531500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	675	0	0	300	0	0	1150	0	0	0	0	1150	0	0	0	250	0	0	1150	1150	0	0	0	0	825	0	1125	0	525	0	0	0	0	0	0	0
chr12_1539000_1539700	700	700	675	700	525	0	525	0	0	700	700	0	150	0	0	0	0	0	0	0	700	700	0	0	0	700	0	0	0	0	0	0	700	0	0	0	0	0	0	0	675	0	0	0	0	0	0	0	0	0
chr12_1546350_1546800	150	0	0	0	0	0	0	0	0	150	0	0	75	0	0	0	0	0	0	0	450	375	0	0	0	450	0	0	0	0	0	0	450	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0
chr12_1626950_1627750	800	800	0	0	0	0	25	0	400	0	250	0	175	250	0	400	0	400	0	0	800	675	0	0	0	750	0	0	0	0	0	0	800	0	0	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0
chr12_1630800_1631550	600	675	0	0	0	0	75	0	0	375	0	0	150	0	0	0	0	0	0	0	600	75	0	0	0	750	0	0	0	0	0	0	750	75	300	0	0	0	0	0	750	0	0	0	0	0	0	0	0	0
chr12_1633500_1636150	2650	2650	600	300	1050	0	1125	0	0	750	300	0	1450	300	0	375	0	525	0	375	2650	825	0	0	0	2625	0	0	0	0	0	0	2650	150	750	900	0	0	0	0	2650	450	0	0	0	0	0	0	0	0
chr12_1638150_1638550	400	400	375	400	400	300	400	0	225	400	0	0	400	0	0	0	0	0	0	0	400	0	0	0	0	375	0	0	0	0	0	0	400	0	0	175	0	0	0	0	400	0	0	0	0	0	0	0	0	0
chr12_1638950_1639400	450	450	50	250	250	0	450	0	0	200	0	0	50	0	0	0	0	0	0	0	450	175	0	0	0	425	0	0	0	0	0	0	450	50	0	0	0	0	0	0	450	450	0	0	0	0	0	0	0	0
chr12_1640200_1641250	1050	1050	800	425	1050	0	1050	0	200	1050	800	0	1050	525	0	300	50	0	0	0	1050	650	0	125	0	1050	0	0	0	0	0	0	1050	950	1025	0	0	0	0	0	1025	800	0	0	0	0	0	0	0	0
chr12_1641900_1643250	1350	1350	600	1350	600	0	1350	300	150	1200	975	0	1050	675	0	375	0	825	0	300	1350	1050	0	450	0	1350	0	0	0	0	0	300	1350	0	750	0	0	0	0	0	1350	975	0	0	0	0	0	0	0	0
chr12_1644400_1645200	800	800	800	675	800	375	800	0	375	800	800	0	725	0	0	0	0	0	0	125	800	0	0	800	0	800	0	0	0	0	0	0	800	0	800	800	0	0	0	0	800	0	275	0	0	0	0	0	0	0
chr12_1647450_1650000	2550	2550	450	825	2475	0	2325	0	0	1800	75	0	2550	300	675	0	0	0	0	0	2550	750	0	0	0	2550	0	0	0	0	0	0	2550	525	675	525	450	0	0	0	2550	300	0	0	0	0	0	0	0	0
chr12_2835550_2835750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	50	0	200	0	0	0	0	0	50	200	200	200	200	0	0	0	0	200	0	0	0	75	0	0	0	0	0
chr12_2870100_2870500	400	0	0	300	0	0	0	0	150	0	0	300	0	0	0	0	250	0	0	0	0	0	0	0	0	400	400	0	0	0	0	0	400	400	0	400	0	0	0	0	375	0	0	0	400	300	300	400	400	400
chr12_2872550_2873100	0	0	0	550	450	0	550	0	250	175	0	0	0	0	300	0	0	0	0	0	0	450	0	0	0	550	550	0	0	0	0	525	550	550	0	550	0	0	0	0	525	0	0	0	550	550	550	550	550	550
chr12_2873600_2874400	0	0	0	175	0	0	250	0	0	0	0	0	0	300	325	0	0	0	0	0	0	0	400	0	0	800	800	0	0	0	0	0	800	800	0	800	0	0	0	0	750	0	0	0	800	100	800	800	800	800
chr12_6213900_6214200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	300	75	0	0	0	150	0	0	0	300	0	0	0	0	0	300	300	300	0	0	150	0	0	225	300	300	0	0	0	0	0	0	0	0
chr12_6231800_6232100	0	0	0	0	0	0	0	0	0	125	0	0	0	0	300	125	0	300	0	0	0	0	0	0	0	300	0	0	0	0	200	25	300	300	0	0	25	0	0	50	275	300	0	0	0	0	0	0	0	0
chr12_6241500_6242050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0	0	0	300	0	0	0	0	0	525	0	0	0	0	0	0	525	0	0	0	0	0	0	0	550	0	175	0	0	0	0	0	0	0
chr12_6278600_6278950	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	350	0	0	0	0	0	250	0	300	0	0	0	0	0	0	0	0	0
chr12_6833550_6834100	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	475	0	0	0	525	0	250	0	550	0	0	0	0	0	0	525	0	0	0	0	0	0	0	550	0	0	400	0	0	0	0	0	0
chr12_6844350_6844950	0	0	0	0	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	525	0	0	0	0	0	600	600	0	600	0	0	0	0	600	0	0	0	525	450	225	450	375	450
chr12_10186250_10186650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	400	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0
chr12_13101350_13101700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	325	0	0	0	325	350	0	0	0	0	0	0	325	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0
chr12_17416550_17416900	0	0	0	0	0	0	0	0	0	325	350	0	0	0	0	325	0	250	0	250	0	350	0	0	0	325	0	0	350	0	0	0	325	0	0	0	0	0	0	0	325	0	250	0	0	0	0	0	0	0
chr12_24829800_24830150	0	0	0	0	0	0	0	0	0	0	0	350	0	0	0	0	0	0	350	75	350	350	50	0	0	350	350	0	0	0	0	50	350	350	0	350	0	0	0	0	350	0	0	0	350	350	350	350	350	350
chr12_26121750_26122350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	75	0	0	225	600	0	300	0	75	0	0	600	225	0	0	0	300	600	0	600	0	225	450	0	0	0	0	0	0
chr12_26122900_26123850	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	275	0	0	200	50	600	0	0	950	950	0	350	0	0	0	0	950	125	0	0	0	950	950	0	950	0	0	950	0	0	0	0	0	0
chr12_26145200_26145600	0	0	0	250	0	0	0	0	0	0	75	0	0	0	0	300	0	0	0	150	0	375	0	0	400	375	0	0	400	0	0	0	400	0	0	0	0	400	400	0	400	0	0	400	0	0	0	0	0	0
chr12_26145900_26146650	0	0	0	0	0	0	0	0	0	675	525	0	0	0	0	0	450	600	0	525	0	225	0	225	750	750	0	0	0	0	0	0	750	0	0	0	0	750	750	0	750	0	0	750	0	0	0	0	0	0
chr12_26177150_26177550	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	25	0	0	0	0	0	400	375	0	0	0	0	0	0	400	0	0	0	0	400	400	0	400	0	0	400	0	0	0	0	0	0
chr12_26178900_26179500	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	0	0	0	525	0	0	600	600	0	0	0	0	0	375	600	0	0	0	0	600	600	300	600	0	0	600	0	0	0	0	0	0
chr12_26180150_26180700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	550	550	0	0	0	0	0	0	550	0	0	0	0	550	550	250	525	0	0	550	0	0	0	0	0	0
chr12_26195450_26196100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	650	100	0	0	0	0	0	600	0	0	450	0	0	650	0	625	0	325	400	0	0	0	0	0	0
chr12_26219750_26220150	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	400	400	0	0	300	0	400	0	400	0	175	0	0	400	400	0	375	0	0	400	0	0	0	0	0	0
chr12_26224500_26224900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	400	375	0	0	0	0	0	0	400	0	0	0	0	400	400	0	400	0	0	400	0	100	0	0	0	0
chr12_26231250_26231900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	650	650	0	0	0	0	0	0	650	0	0	0	0	650	650	0	650	0	0	650	0	500	0	0	0	150
chr12_26288100_26288500	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	75	0	0	0	0	0	250	400	400	0	0	0	0	0	325	375	0	0	0	0	400	400	0	400	0	0	400	0	0	0	0	0	0
chr12_27810200_27810600	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	25	0	0	0	0	0	0	0	325	0	400	400	0	0	0	0	0	400	400	0	400	0	0	0	0	375	0	0	0	400	100	300	100	400	0
chr12_47734050_47734350	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	300	0	0	0	225	75	0	0	0	300	0	0	0	0	0	0	300	0	0	300	0	300	75	0	300	0	300	300	0	0	0	0	0	0
chr12_47749100_47749800	700	700	700	150	25	700	0	175	700	700	700	700	700	0	0	100	75	300	0	700	700	700	700	700	0	700	0	0	0	0	0	0	700	0	700	0	0	0	0	0	675	700	525	0	0	0	0	0	0	0
chr12_47750200_47750400	200	200	200	200	200	200	0	200	200	200	200	200	200	75	0	200	50	0	0	200	200	200	200	200	0	200	0	0	0	0	0	0	200	0	200	0	0	0	0	0	200	200	200	0	0	0	0	0	0	0
chr12_47773250_47773750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	475	0	0	0	475	100	475	0	250	475	0	0	0	0	0	500	500	500	100	0	0	0	0	0	450	325	0	400	0	0	0	0	0	0
chr12_47842250_47842650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0	400	400	0	325	0	0	0	0	400	0	0	0	0	0	0	0	0	0
chr12_47842850_47843600	0	0	0	0	0	0	0	0	0	350	0	0	0	300	0	0	0	0	0	0	350	425	0	0	0	750	650	0	0	0	0	125	750	750	0	750	0	0	0	0	725	200	0	0	0	0	0	375	700	0
chr12_47847450_47850650	300	900	0	1350	0	0	0	0	0	300	375	0	300	425	0	375	0	0	0	0	3200	225	0	0	0	3200	450	0	0	0	0	0	3200	3200	0	3200	0	0	0	0	3200	225	0	0	150	600	375	0	1625	0
chr12_47852950_47853600	650	375	50	0	275	450	75	0	0	0	0	0	200	0	0	0	0	0	0	0	650	0	0	0	0	650	650	0	0	0	0	0	650	650	0	650	0	0	0	0	650	350	0	0	650	0	600	425	650	425
chr12_47856000_47856650	150	0	0	0	0	50	0	0	0	0	0	0	0	0	0	150	0	600	200	0	650	275	225	0	0	650	650	0	0	0	0	0	650	650	0	650	0	0	0	0	650	650	300	0	650	650	575	650	650	650
chr12_47857750_47858300	0	0	200	0	0	0	0	0	0	550	50	0	0	125	0	50	0	0	0	0	550	0	0	0	0	550	550	0	0	0	0	0	550	550	0	550	0	0	0	50	550	425	0	0	300	0	0	0	0	0
chr12_47859300_47860550	200	275	0	350	0	0	0	0	0	150	375	50	375	0	0	0	0	0	0	0	200	125	0	0	0	1250	200	0	0	0	0	0	1250	1250	0	575	0	0	0	0	1250	0	275	0	275	0	0	0	0	0
chr12_47860900_47863100	50	525	525	50	0	0	0	0	300	450	275	200	125	300	0	0	0	750	0	0	2200	1850	0	0	0	2200	2200	0	0	0	0	50	2200	2200	0	2200	0	0	0	0	2200	0	0	0	2000	1425	1125	1325	1925	1625
chr12_47863500_47864850	75	0	0	75	0	0	0	0	0	150	150	0	0	0	0	0	0	375	0	0	1350	975	0	0	0	1350	1350	0	0	0	0	750	1350	1350	0	1350	0	0	0	0	1350	675	0	0	0	0	0	0	0	0
chr12_47865150_47865750	300	150	0	0	0	0	0	0	0	150	75	0	75	0	0	0	0	0	0	0	450	0	0	0	0	600	450	0	0	0	0	0	600	600	0	600	0	0	0	0	600	0	0	0	0	0	0	0	0	0
chr12_47873700_47875350	0	0	750	0	0	0	0	0	0	825	0	375	975	375	0	0	0	0	0	300	1650	0	0	0	0	1650	1650	0	0	0	0	0	1650	1650	0	1650	0	0	0	0	1650	0	0	0	1650	600	825	600	1650	525
chr12_47875500_47876150	0	0	650	0	425	0	0	0	0	300	350	0	0	0	0	0	0	0	0	0	650	375	0	0	0	650	650	0	0	0	0	450	650	650	0	650	0	0	0	0	650	0	0	0	650	225	300	650	650	650
chr12_47877150_47877450	300	0	300	225	225	300	0	0	0	0	75	0	0	0	0	0	0	0	0	0	300	300	0	0	0	300	300	0	0	0	0	0	300	300	0	300	0	0	0	0	300	0	0	0	300	0	0	300	300	300
chr12_47879200_47880450	0	0	0	450	0	0	0	0	0	275	0	0	425	0	0	1100	0	0	0	0	1250	1050	0	0	0	1250	1250	300	0	0	0	0	1250	1250	600	1250	0	0	0	275	1250	800	0	0	900	600	300	825	750	525
chr12_47890350_47894550	0	0	0	0	0	0	0	0	0	825	525	0	0	300	0	1200	375	450	0	0	1500	975	0	525	0	4200	2325	0	0	0	0	375	4200	300	0	4200	0	0	0	375	4200	0	750	0	975	0	975	525	750	0
chr12_47895650_47900200	0	0	0	625	0	0	0	0	0	300	0	0	450	600	0	375	0	750	0	325	600	1050	0	0	0	4550	525	0	0	0	0	0	4550	4550	450	4550	0	0	0	0	4500	525	300	0	375	750	1050	1050	375	2125
chr12_47900850_47902650	0	0	0	0	0	0	0	0	0	825	0	0	0	0	0	375	0	300	0	450	525	825	0	0	0	1800	150	0	0	0	0	0	1800	1800	150	1800	0	0	0	0	1800	0	0	0	0	0	0	0	0	0
