A.intersect.value	CLL.A34023.CEMT_4.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34039.CEMT_5.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34078.CEMT_6.H3K36me3.hg38.bwa-sb.IX2845.C4C9JACXX_3_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34942.CEMT_26.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_ACTCTC.FindER2.bed.remDups.bed.intersect.value	CLL.A34949.CEMT_27.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A34956.CEMT_28.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A34963.CEMT_29.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A35240.CEMT_25.H3K36me3.hg38.bwa-sb.IX2652.C3TC1ACXX_2_GCACTT.FindER2.bed.remDups.bed.intersect.value	CLL.A35247.CEMT_30.H3K36me3.hg38.bwa-sb.IX2824.C3YJAACXX_6_GGCTAC.FindER2.bed.remDups.bed.intersect.value	CLL.A60647.CEMT_94.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGCGCT.FindER2.bed.remDups.bed.intersect.value	CLL.A60654.CEMT_95.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_AGTTCC.FindER2.bed.remDups.bed.intersect.value	CLL.A60661.CEMT_96.H3K36me3.hg38.bwa-sb.IX4417.C9587ANXX_2_CCACGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60666.CEMT_97.H3K36me3.hg38.bwa-sb.IX4419.C9587ANXX_4_ATGTCA.FindER2.bed.remDups.bed.intersect.value	EGAN00001091882_EGAX00001135678_EGAR00001139764_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001091897_EGAX00001135685_EGAR00001139767_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001095818_EGAX00001133241_EGAR00001137327_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107643_EGAX00001215952_EGAR00001228603_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001107668_EGAX00001171934_EGAR00001185148_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001173679_EGAX00001133248_EGAR00001137335_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202786_EGAX00001323204_EGAR00001352516_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001291868_EGAR00001320595_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001323211_EGAR00001352511_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001291885_EGAR00001320546_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001323208_EGAR00001352512_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001258588_EGAX00001326464_EGAR00001355737_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265738_EGAX00001272587_EGAR00001300134_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265740_EGAX00001272615_EGAR00001300042_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265741_EGAX00001272623_EGAR00001300050_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265742_EGAX00001272638_EGAR00001300127_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265743_EGAX00001272667_merged3runs_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265744_EGAX00001272688_EGAR00001300081_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265747_EGAX00001272657_EGAR00001300004_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265748_EGAX00001272663_EGAR00001300010_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265749_EGAX00001272652_EGAR00001299999_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272583_EGAR00001300071_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276797_EGAX00001304986_EGAR00001334469_GCBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001276798_EGAX00001304994_EGAR00001334419_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277490_EGAX00001326453_EGAR00001355726_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277491_EGAX00001305063_EGAR00001334390_csMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001277492_EGAX00001305082_EGAR00001334361_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295795_EGAX00001326624_EGAR00001355770_PBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001326575_EGAR00001355825_CLL_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295801_EGAX00001326601_EGAR00001355747_NBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295815_EGAX00001326483_EGAR00001355810_usMBC_H3K36me3_SINGLE.FindER2.bed.intersect.value	GCBC.A68890.CEMT_129.H3K36me3.hg38.bwa-sb.IX5127.CAVYBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70852.CEMT_134.H3K36me3.hg38.IX5208.CAVPBANXX_1_ACAGTG.FindER2.bed.remDups.bed.intersect.value	GCBC.A70859.CEMT_135.H3K36me3.hg38.A70859_2_lanes_dupsFlagged.FindER2.bed.remDups.bed.intersect.value	GCBC.A70866.CEMT_136.H3K36me3.hg38.IX5211.CAVPBANXX_4_ACTGAT.FindER2.bed.remDups.bed.intersect.value	GCBC.A70873.CEMT_137.H3K36me3.hg38.IX5212.CAVPBANXX_5_ATCCTA.FindER2.bed.remDups.bed.intersect.value	GCBC.A70880.CEMT_138.H3K36me3.hg38.IX5214.CAVPBANXX_7_CACTCA.FindER2.bed.remDups.bed.intersect.value	*H3K36me3*bed.intersect.value
chr10_110292750_110294250	0	0	75	0	0	0	75	0	0	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	0
chr10_110298750_110300150	75	0	150	0	0	0	0	0	0	1125	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	0
chr10_110301250_110301600	0	0	0	0	0	0	0	0	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0
chr10_110575150_110576150	0	0	50	0	0	0	0	0	0	125	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0
chr10_110578900_110579250	0	0	75	0	0	0	0	0	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0
chr10_110579800_110580750	150	0	50	0	0	0	0	0	0	275	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	0
chr10_110581950_110582300	50	0	0	0	0	0	75	0	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0
chr10_110583850_110584250	50	0	50	0	0	0	0	0	0	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	0
chr10_110589750_110590800	0	0	150	0	0	0	525	0	0	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	1050	0
chr10_110603100_110603450	50	0	0	0	0	0	350	50	0	75	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0
chr10_110604450_110605950	75	0	0	0	0	0	75	75	0	1050	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1500	1425	1500	1500	1500	1500	1500	1500	1500	1500	1500	0
chr10_110877600_110878900	0	0	75	0	75	0	75	0	0	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	675	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	1300	300	1300	1300	1300	1300	1300	1275	1300	1300	1300	0
chr10_110885400_110886200	0	0	50	0	0	0	0	0	0	75	225	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0
chr10_110886700_110887250	0	0	125	0	0	0	0	0	0	50	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	0
chr10_110887950_110888550	0	0	75	0	0	0	0	0	0	450	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	0
chr10_110889700_110890700	0	0	125	0	0	0	0	0	0	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	1000	0
chr10_110892300_110892650	0	0	50	0	0	0	0	0	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	200	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0
chr10_110897800_110899050	0	0	0	0	50	0	50	0	0	50	50	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	1250	0
chr10_111003550_111004100	0	0	425	0	0	0	550	0	0	50	550	550	50	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	0
chr10_111007150_111009950	0	0	0	0	0	0	0	0	0	1575	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	2800	0
chr10_112404000_112404350	0	0	0	0	0	0	75	0	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0
chr10_112436950_112437350	0	0	0	0	0	0	50	0	50	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	0
chr10_112465050_112465800	0	0	75	0	0	0	75	0	0	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	675	750	750	750	750	750	750	750	750	750	750	750	750	750	750	450	750	750	750	750	750	750	750	750	750	0
chr10_113699500_113699850	0	0	0	0	0	0	50	0	0	125	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0
chr10_113860300_113860850	0	0	50	0	0	0	0	0	0	550	550	550	550	550	550	550	550	0	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	0
chr10_114148750_114149500	25	0	0	0	0	0	0	0	0	750	750	750	750	750	750	750	750	750	750	750	750	725	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	725	750	750	750	0
chr10_114855300_114856200	0	0	75	0	0	0	0	0	0	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	0
chr10_114959550_114960900	0	0	150	0	0	0	0	0	0	1350	1350	1350	1350	825	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1200	1350	1350	1350	1350	1350	1350	1350	1350	1350	0
chr10_118325050_118325850	0	0	50	0	0	0	50	0	0	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0
chr10_119056650_119056950	0	0	75	0	0	0	300	0	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0
chr10_119060100_119061650	0	0	600	0	0	0	0	0	0	525	1350	1550	1550	1550	1550	1550	1550	1500	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	0
chr10_119069700_119070450	0	0	150	0	0	0	75	0	0	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	750	0
chr10_119073300_119073800	0	0	50	0	0	0	0	0	0	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	0
chr10_119576100_119576400	0	0	75	0	0	0	75	0	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0
chr10_119576950_119577350	0	0	50	0	0	0	50	50	0	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	0
chr10_119799400_119799950	50	125	0	50	0	50	125	50	0	125	350	550	550	275	200	550	550	0	550	550	550	550	550	550	550	0	550	550	550	550	550	550	0	550	550	550	550	550	550	550	0	550	550	550	550	550	550	550	550	550	0
chr10_119802750_119803800	0	0	75	0	0	0	0	0	0	1050	1050	1050	1050	675	225	1050	1050	825	1050	1050	1050	1050	1050	1050	1050	0	1050	1050	1050	1050	1050	1050	0	1050	1050	1050	600	1050	1050	1050	375	1050	1050	1050	1050	1050	1050	1050	1050	1050	0
chr10_119810050_119810600	0	0	0	0	0	0	50	0	0	200	550	550	550	125	550	550	550	0	550	550	550	550	550	550	550	0	550	550	550	550	550	550	0	550	550	550	550	550	550	550	0	550	550	550	550	550	550	550	550	550	0
chr10_119812500_119813100	225	0	75	0	0	0	150	0	0	225	0	600	600	0	0	375	600	0	600	600	600	600	600	600	600	0	600	600	600	600	600	600	0	600	600	600	600	600	600	600	0	600	600	600	600	600	600	600	600	600	0
chr10_119847550_119847950	0	0	0	0	0	0	50	0	0	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	0
chr10_119930250_119930900	0	0	50	0	0	0	150	0	0	275	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	0
chr10_120853950_120855900	0	0	75	0	0	0	75	0	0	1650	1875	1950	1950	975	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	525	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	1950	0
chr10_120863250_120864800	0	0	225	0	0	0	75	0	0	525	1200	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1550	1200	1550	1550	1550	1550	1550	1550	1550	1550	1550	0
chr10_120865200_120866150	0	0	150	0	0	0	50	0	0	425	450	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	950	0
chr10_120872400_120874100	50	0	75	0	0	0	0	0	0	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	1700	0
chr10_120877950_120879050	75	0	0	0	50	0	75	0	0	0	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	75	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	575	1100	1100	1100	1100	1100	1100	1100	1100	1100	0
chr10_120886950_120887250	0	0	75	0	0	0	0	0	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0
chr10_120892350_120892700	0	0	0	0	0	0	75	0	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0
chr10_120895150_120895800	0	0	75	0	0	0	0	0	0	425	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	75	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	0
chr10_121857850_121858300	0	0	425	0	0	0	0	0	0	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	425	425	450	450	425	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	0
chr10_123164250_123165150	0	0	150	0	0	0	75	0	0	225	900	900	900	900	900	900	900	900	900	900	900	825	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	900	0
chr10_124570800_124571100	300	300	300	0	300	0	300	0	300	300	0	0	300	0	75	0	0	300	0	0	225	300	300	0	300	0	300	300	0	0	0	300	225	300	0	300	0	150	300	0	0	0	0	150	300	300	300	300	300	300	0
chr10_125722800_125724150	0	0	75	0	0	0	75	0	0	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	0
chr10_125726200_125726600	0	0	50	0	0	0	50	0	0	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	400	0
chr10_125733550_125735750	0	0	350	0	0	0	0	0	0	125	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	2200	0
chr10_133411200_133411550	0	0	50	0	0	0	50	0	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0
chr11_3362500_3363650	0	0	0	0	0	0	50	0	0	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	1150	0
chr11_3364750_3365550	75	0	0	0	0	0	75	75	0	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0
chr11_3708450_3708750	0	0	300	0	0	0	75	0	0	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0
chr11_3711600_3712050	75	0	0	0	75	0	75	75	0	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	0
chr11_3714250_3714750	0	0	50	0	0	0	0	0	0	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	0
chr11_3720450_3720950	0	0	150	0	0	0	50	0	0	350	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	0
chr11_4107600_4107900	75	0	0	0	0	0	75	75	0	300	300	300	300	150	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0
chr11_5635950_5636450	75	0	0	0	0	0	50	75	0	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	0	500	500	500	500	500	500	0	500	500	500	500	500	500	500	0	500	500	500	500	500	500	500	500	500	0
chr11_5637750_5638350	0	0	600	0	0	0	0	0	0	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	600	525	600	600	600	600	600	600	300	600	600	600	600	600	600	600	0	600	600	600	600	600	600	600	600	600	0
chr11_7567000_7567350	0	0	75	0	0	0	50	0	0	350	350	350	350	350	350	350	350	350	350	350	350	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0
chr11_7997100_7997900	0	0	0	0	0	0	75	0	0	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0
chr11_8137750_8138200	0	0	0	0	0	0	50	0	0	450	0	450	450	0	100	450	450	450	450	450	450	450	450	450	450	200	450	450	450	450	450	450	450	450	450	450	450	450	450	450	0	450	450	450	450	450	450	450	450	450	0
chr11_9411850_9412200	75	0	0	0	0	0	0	0	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0
chr11_9423100_9423950	50	0	0	0	50	0	50	0	0	425	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	850	0
chr11_9430800_9431300	50	0	0	0	0	0	75	0	50	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	0
chr11_9445800_9446100	0	0	0	0	0	0	0	0	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0	300	300	300	300	300	300	300	300	300	0
chr11_9585550_9586200	0	0	75	0	0	0	75	0	0	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	650	0
chr11_9589200_9589650	75	0	75	0	0	0	0	0	0	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	450	0
chr11_9713400_9714200	0	0	600	0	0	0	150	0	0	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	800	675	800	800	800	800	800	800	800	800	800	800	800	800	800	800	0	800	800	800	800	800	800	800	800	800	0
chr11_9751200_9751700	0	0	50	0	0	0	75	0	0	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	0
chr11_10521550_10522100	0	0	50	0	0	0	50	0	0	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	550	500	550	550	550	550	550	550	550	550	550	0
chr11_10528200_10528950	0	0	75	0	0	0	75	0	0	750	600	750	750	750	750	750	750	750	750	750	750	750	750	750	750	450	750	750	750	750	750	750	750	750	750	750	750	750	750	750	300	750	750	750	750	750	750	750	750	750	0
chr11_10754850_10755350	0	0	150	0	0	0	0	0	0	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	0
chr11_10763550_10763900	0	0	150	0	0	0	50	0	0	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	350	0
chr11_10766250_10767350	0	0	50	0	0	0	50	0	0	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	1100	0
chr11_10797250_10797750	0	0	75	0	0	0	0	0	0	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	500	0
chr11_11891400_11891700	0	0	75	0	0	0	75	0	0	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	150	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	300	0
chr11_11902300_11904450	0	0	75	0	0	0	0	0	0	500	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	1950	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	2150	0
chr11_11930350_11931300	0	0	125	0	0	0	150	0	0	275	500	950	950	950	950	950	950	950	950	950	950	950	950	950	950	575	950	950	950	950	950	950	950	950	950	950	950	950	950	950	275	950	950	950	950	950	950	950	950	950	0
chr11_11932750_11934150	0	0	50	0	0	0	75	0	0	500	1400	1400	1400	1400	1400	800	1400	1400	1400	1400	1400	1400	1400	1400	1400	500	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	1400	0
