A.dname	CLL_25.bed.combine.5mC.CpG.dname	CLL_26.bed.combine.5mC.CpG.dname	CLL_27.bed.combine.5mC.CpG.dname	CLL_28.bed.combine.5mC.CpG.dname	CLL_28.large.bed.combine.5mC.CpG.dname	CLL_28.small.bed.combine.5mC.CpG.dname	CLL_29.bed.combine.5mC.CpG.dname	CLL_30.bed.combine.5mC.CpG.dname	CLL_30.large.bed.combine.5mC.CpG.dname	CLL_30.small.bed.combine.5mC.CpG.dname	CLL_4.bed.combine.5mC.CpG.dname	CLL_5.bed.combine.5mC.CpG.dname	CLL_6.bed.combine.5mC.CpG.dname	CLL_94.bed.combine.5mC.CpG.dname	CLL_95.bed.combine.5mC.CpG.dname	CLL_96.bed.combine.5mC.CpG.dname	CLL_97.bed.combine.5mC.CpG.dname	EGAN00001095766:NBC.1:C003K9.bed.combine.5mC.CpG.dname	EGAN00001095769:NBC.2:C0068L.bed.combine.5mC.CpG.dname	EGAN00001096889:csMBC.2:C003JB.bed.combine.5mC.CpG.dname	EGAN00001096891:MBC.3:C003N3.bed.combine.5mC.CpG.dname	EGAN00001096949:NBC.3:S001JP.bed.combine.5mC.CpG.dname	EGAN00001170519:HMPC.1:F2012-2912.bed.combine.5mC.CpG.dname	EGAN00001170520:PreBC.1:F2012-2912.bed.combine.5mC.CpG.dname	EGAN00001170521:GCBC.1:T11_8.bed.combine.5mC.CpG.dname	EGAN00001170522:PBC.1:MO7071.bed.combine.5mC.CpG.dname	EGAN00001220205:csMBC.1:S004P1.bed.combine.5mC.CpG.dname	EGAN00001220214:NBC.4:S00DM8.bed.combine.5mC.CpG.dname	EGAN00001235812:MBC.2:csMBC.bed.combine.5mC.CpG.dname	EGAN00001266052:HMPC.2:F2012-2912.bed.combine.5mC.CpG.dname	EGAN00001266053:PreBC.2:F2012-2912.bed.combine.5mC.CpG.dname	EGAN00001266054:GCBC.2:T14_10.bed.combine.5mC.CpG.dname	EGAN00001266055:NBC.5:NC11_41.bed.combine.5mC.CpG.dname	EGAN00001266056:csMBC.3:NC11_41.bed.combine.5mC.CpG.dname	EGAN00001266057:PBC.2:V156.bed.combine.5mC.CpG.dname	EGAN00001280907:MBC.1:S017RE.bed.combine.5mC.CpG.dname	EGAN00001282097:GCBC.3:T14_11.bed.combine.5mC.CpG.dname	EGAN00001282098:PBC.3:T14_10.bed.combine.5mC.CpG.dname	EGAN00001282099:PBC.4:T12_20.bed.combine.5mC.CpG.dname	EGAN00001282100:PBC.5:T13_1.bed.combine.5mC.CpG.dname	EGAN00001286337:NBC.6:NC11_83.bed.combine.5mC.CpG.dname	EGAN00001343490:CLL.182:182CLL.bed.combine.5mC.CpG.dname	EGAN00001343492:CLL.12:12CLL.bed.combine.5mC.CpG.dname	EGAN00001343494:CLL.110:110CLL.bed.combine.5mC.CpG.dname	EGAN00001356805:NBC.7:NC15_72.bed.combine.5mC.CpG.dname	EGAN00001358479:CLL.1525:1525CLL.bed.combine.5mC.CpG.dname	EGAN00001358480:CLL.1532:1532CLL.bed.combine.5mC.CpG.dname	EGAN00001401801:CLL.1228:1228CLL.bed.combine.5mC.CpG.dname	GCBC_129.bed.combine.5mC.CpG.dname	GCBC_134.bed.combine.5mC.CpG.dname	GCBC_135.bed.combine.5mC.CpG.dname	GCBC_136.bed.combine.5mC.CpG.dname	GCBC_137.bed.combine.5mC.CpG.dname	GCBC_138.bed.combine.5mC.CpG.dname
chr1_153544200_153544500	0.898016	0.828736	0.922078	0.949275	0.850549	0.910834	0.801564	0.683838	0.837125	0.766178	0.970649	0.918009	0.804543	0.881720	0.893939	0.960784	0.969697	0.881685	0.976190	0.880342	0.874224	0.888889	0.889835	0.902873	0.723737	0.870694	0.810345	0.913709	NAN	0.985770	0.909788	0.937879	0.960653	0.905146	0.797961	0.915646	0.856478	0.823340	0.783143	0.858479	0.730065	0.846927	0.653073	0.831463	0.939707	0.798529	0.836396	0.915629	0.827984	0.942529	0.888695	0.925587	0.896702	0.881048
chr1_153565250_153565550	-0.000000	0.594872	0.142857	0.783069	0.777778	0.539683	0.100000	0.809524	0.933333	0.888889	0.200000	0.535714	0.711957	0.272821	0.315897	0.630064	0.736597	0.974359	0.871795	0.608772	0.650000	0.966667	0.965774	0.850188	0.788084	0.598413	0.705808	0.816667	NAN	0.898268	0.971631	0.679364	0.830485	0.602839	0.597949	0.819386	0.668376	0.867725	0.706250	0.659722	0.645238	0.822729	0.597576	0.570343	0.882716	0.738211	0.209687	0.841875	0.782726	0.716958	0.822222	0.711671	0.805280	0.550980
chr1_153797750_153798050	0.941296	0.735049	0.656430	0.959735	0.947743	0.952432	0.860699	0.805139	0.698533	0.830027	0.975271	0.872782	0.959191	0.937443	0.901963	0.983471	0.831319	0.913383	0.917349	0.922125	0.921072	0.902485	0.928103	0.895681	0.903459	0.900794	0.909106	0.927377	NAN	0.896415	0.901060	0.911952	0.938580	0.906844	0.896153	0.926521	0.915632	0.909923	0.919476	0.879280	0.690028	0.898960	0.893080	0.943693	0.912637	0.874404	0.902736	0.869507	0.923259	0.947809	0.940196	0.885838	0.905853	0.901443
chr1_154441350_154441950	0.285785	0.137267	0.120536	0.111300	0.115462	0.122106	0.084383	0.026786	0.008205	0.015565	0.006174	0.185582	0.137375	0.019737	0.016146	0.134218	0.050322	0.928256	0.694185	0.708932	0.765730	0.755510	0.757667	0.788169	0.735441	0.711665	0.735470	0.713139	NAN	0.691994	0.725460	0.618187	0.734115	0.753867	0.744179	0.623443	0.748715	0.518236	0.706386	0.651912	0.643936	0.011588	0.082558	0.256842	0.672131	0.135442	0.163182	0.253205	0.550795	0.660238	0.666675	0.596437	0.788772	0.696496
chr1_155762500_155762800	0.922963	0.410000	0.340629	0.619457	0.699273	0.754485	0.834123	0.550215	0.622035	0.534885	0.344675	0.398390	0.602828	0.724724	0.361255	0.540111	0.546537	0.991453	0.983333	0.921023	0.852446	0.990991	0.960927	0.979060	0.879480	0.877648	0.926336	0.889204	1.000000	0.819174	0.976974	0.879727	0.959553	0.920645	0.872637	0.850893	0.898236	0.920695	0.873684	0.899130	0.544958	0.502514	0.591970	0.841566	0.915844	0.871081	0.573425	0.755873	0.925755	0.938895	0.934641	0.903871	0.957952	0.922743
chr1_158932050_158932450	0.626670	0.290179	0.602065	0.457532	0.466344	0.437090	0.532462	0.315654	0.265126	0.349172	0.752937	0.492836	0.246341	0.281019	0.236601	0.244479	0.202271	0.954394	0.970513	0.825995	0.760565	0.966809	0.945334	0.946254	0.899789	0.749856	0.809820	0.940926	NAN	0.956788	0.962191	0.914117	0.954889	0.770856	0.718332	0.703649	0.874568	0.882348	0.865370	0.862148	0.603251	0.776201	0.870387	0.763545	0.928095	0.907052	0.021481	0.045149	0.859093	0.841100	0.897622	0.928211	0.848218	0.842616
chr1_160446950_160447650	0.014711	0.005682	0.035479	0.006181	0.004902	0.003676	0.013623	0.012775	0.021424	0.002551	0.002315	0.023301	0.005102	0.000000	0.002907	0.016304	0.007639	0.405626	0.252438	0.347015	0.470547	0.292115	0.477609	0.343643	0.242031	0.297988	0.403782	0.410558	NAN	0.576849	0.408067	0.243328	0.227542	0.334023	0.279384	0.382036	0.299437	0.252481	0.191722	0.164308	0.384722	-0.000000	0.011720	0.035650	0.320626	0.006254	0.007600	0.026540	0.206932	0.271479	0.214977	0.244421	0.216355	0.266161
chr1_160449900_160450450	0.856735	0.857573	0.737690	0.857431	0.844790	0.834643	0.487647	0.888771	0.877756	0.878762	0.691935	0.867227	0.865861	0.874009	0.793931	0.821889	0.887459	0.955904	0.963821	0.962402	0.960574	0.977217	0.962763	0.966157	0.926412	0.946705	0.973565	0.932724	NAN	0.958642	0.966636	0.928824	0.940239	0.934444	0.954159	0.955270	0.937216	0.961616	0.940698	0.923360	0.743169	0.789379	0.838297	0.875468	0.968687	0.877130	0.712215	0.867663	0.913785	0.940563	0.910823	0.911563	0.941011	0.931636
chr1_160557950_160558500	0.808772	0.604167	0.380952	0.685186	0.839744	0.723684	0.526316	0.625000	0.680769	0.706896	0.400000	0.676282	0.864583	0.437500	0.473684	0.776316	0.733333	0.964286	0.909848	0.901515	0.849376	1.000000	0.976664	0.934263	0.933334	0.829768	0.901401	0.952139	1.000000	0.950837	0.930899	0.942447	0.958433	0.865334	0.773491	0.955392	0.850996	0.898261	0.905637	0.847866	0.739011	0.286150	0.541270	0.850202	0.986487	0.888035	0.474026	0.639887	0.918191	0.700405	0.950000	0.903912	0.883333	0.915601
chr1_160606050_160606350	0.000000	0.263158	0.258065	0.428571	0.375000	0.047619	0.000000	0.888889	0.500000	0.625000	0.071429	0.000000	0.400000	0.500000	-0.000000	0.000000	0.000000	0.945946	0.937500	0.474138	0.615385	0.840000	0.985507	0.836957	0.271739	0.446154	0.307692	0.677419	NAN	0.988764	0.950617	0.294118	0.794118	0.348837	0.564516	0.595745	0.370370	0.357143	0.352941	0.092593	0.857143	0.475000	0.416667	0.416667	0.828571	0.023810	0.172414	0.078947	0.210526	0.238095	0.451613	0.304348	0.210526	0.254902
chr1_161000550_161001250	0.867393	0.837885	0.861811	0.904885	0.880132	0.898742	0.796937	0.832116	0.843982	0.862359	0.898900	0.798323	0.841061	0.856410	0.788408	0.868346	0.730685	0.939935	0.936340	0.887878	0.921521	0.927928	0.955617	0.947463	0.885463	0.827778	0.916232	0.924342	NAN	0.946920	0.947976	0.896384	0.946690	0.878140	0.822205	0.907856	0.924495	0.900393	0.893364	0.824832	0.828606	0.872138	0.852277	0.861712	0.944446	0.860009	0.827032	0.884073	0.879590	0.889481	0.910384	0.874798	0.945702	0.871816
chr1_161017950_161018350	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
chr1_161183400_161184000	0.683333	0.646429	0.760531	0.950142	0.667929	0.676768	0.663889	0.536519	0.600000	0.535045	0.590675	0.729812	0.546428	0.508333	0.670893	0.493750	0.450000	0.728808	0.744208	0.782846	0.736260	0.777795	0.914549	0.944115	0.771972	0.716001	0.826122	0.746571	NAN	0.967562	0.948228	0.784946	0.777945	0.819822	0.677284	0.764573	0.802083	0.755774	0.776421	0.652874	0.512333	0.702707	0.670642	0.659571	0.806240	0.709084	0.734043	0.723137	0.733396	0.758070	0.786952	0.798546	0.771395	0.766938
chr1_161184450_161184750	0.040541	0.019231	0.060277	0.000000	0.027151	0.004808	0.055152	0.103889	0.029709	-0.000000	-0.000000	0.029643	-0.000000	0.000000	0.008064	0.000000	0.000000	0.925354	0.922287	0.588235	0.452602	0.864222	0.960684	0.923289	0.661189	0.497565	0.689732	0.708055	NAN	0.969248	0.964886	0.644895	0.866516	0.572451	0.673704	0.630435	0.697008	0.715234	0.710319	0.659740	0.490196	-0.000000	0.049020	0.129709	0.891919	0.015152	0.071250	0.146331	0.742029	0.655983	0.779710	0.696474	0.803940	0.550595
chr1_161410100_161410650	0.663723	0.764203	0.651425	0.599419	0.606449	0.548545	0.512923	0.891571	0.795706	0.861819	0.845428	0.712955	0.706117	0.844525	0.733379	0.701755	0.749758	0.914384	0.937177	0.801371	0.853307	0.932456	0.893169	0.900412	0.834743	0.693254	0.772626	0.929983	0.921645	0.870133	0.910496	0.825789	0.892388	0.757124	0.725241	0.839069	0.869639	0.827121	0.853288	0.767306	0.770897	0.818194	0.726203	0.769775	0.917410	0.775962	0.736618	0.755279	0.860847	0.874576	0.785219	0.792491	0.759016	0.803428
chr1_161524500_161524800	-0.000000	0.007813	-0.000000	0.021978	0.000000	0.000000	0.000000	0.000000	0.003663	-0.000000	-0.000000	0.000000	-0.000000	0.022222	NAN	0.016807	NAN	0.003800	0.001950	0.000427	0.000639	0.007211	0.002591	0.001607	0.001382	0.000421	0.000593	0.002575	-0.000000	0.002668	0.004324	0.032173	0.000356	0.001957	0.000000	0.003965	0.000481	0.033256	0.001458	0.010357	0.001499	-0.000000	0.047931	0.000000	0.000000	0.005348	0.000000	0.001536	0.007812	0.010870	-0.000000	0.005952	0.012346	0.095195
chr1_161539800_161540350	-0.000000	0.006993	0.004050	0.004359	0.002165	0.007939	0.007493	0.006593	-0.000000	0.002024	0.010101	0.001374	0.002095	0.012200	0.004984	0.004274	0.001672	0.011637	0.013196	0.002237	0.001989	0.005313	0.017045	0.012849	0.003267	0.001390	0.000555	0.001767	NAN	0.005293	0.009822	0.006385	0.007826	0.001951	0.001297	0.004923	0.000666	0.003727	0.002543	0.003392	0.004069	-0.000000	0.000000	0.000726	0.003296	0.001692	0.000000	0.000000	0.003854	0.007266	0.003087	0.003812	0.002614	0.000000
chr1_161540550_161540850	-0.000000	0.028071	0.007413	0.002841	0.028730	0.002841	0.008477	0.022999	0.037500	0.003788	-0.000000	0.024239	0.044615	0.008333	-0.000000	0.003205	0.004464	0.018353	0.020391	0.025172	0.029031	0.038421	0.010483	0.027150	0.014371	0.014444	0.023514	0.023493	-0.000000	0.013520	0.031082	0.009813	0.025249	0.025393	0.018260	0.049972	0.012422	0.011938	0.011484	0.007200	0.013087	0.016485	0.000000	0.017397	0.022480	0.018750	0.000000	0.000000	0.005495	0.017097	0.003289	0.006461	0.006451	0.000000
chr1_167447950_167448550	0.392000	0.333333	0.330988	0.336580	0.305289	0.321429	0.316667	0.333333	0.333333	0.315972	0.408333	0.256417	0.449013	0.450000	0.559596	0.456953	0.270833	0.517806	0.471937	0.275088	0.280000	0.361833	0.508273	0.476406	0.374154	0.382616	0.311988	0.340133	NAN	0.439190	0.501943	0.409924	0.409746	0.374018	0.344685	0.367448	0.384783	0.397208	0.362281	0.343543	0.391975	0.302768	0.275590	0.361578	0.420484	0.350815	0.306044	0.309143	0.373678	0.329073	0.334387	0.360178	0.419755	0.363026
chr1_169683150_169686800	0.524253	0.634180	0.092984	0.183723	0.200774	0.189663	0.021795	0.040000	0.026805	0.007640	0.058479	0.216576	0.795232	0.314238	0.244609	0.164735	0.070033	0.912687	0.870048	0.740741	0.802861	0.896987	0.955758	0.936954	0.775310	0.800700	0.743862	0.875140	NAN	0.950771	0.938419	0.689839	0.892104	0.817785	0.770639	0.797512	0.806485	0.662801	0.758761	0.571457	0.801080	0.277928	0.118945	0.443160	0.858493	0.477210	0.165294	0.530688	0.717016	0.768436	0.794104	0.779806	0.833579	0.775071
chr1_169687950_169688700	0.823024	0.888256	0.126474	0.723695	0.740402	0.714130	0.493213	0.155835	0.159140	0.121157	0.522669	0.789245	0.919320	0.680401	0.699186	0.603893	0.696942	0.829691	0.981350	0.955796	0.941538	0.854972	0.945487	0.965943	0.954966	0.931630	0.965045	0.960577	0.833333	0.947518	0.960332	0.856981	0.980442	0.965839	0.918028	0.959629	0.929063	0.874210	0.846722	0.775695	0.729249	0.819092	0.755697	0.852830	0.900727	0.889423	0.490995	0.901777	0.957520	0.931950	0.933825	0.928461	0.947371	0.906249
chr1_169689300_169689450	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
chr1_171250850_171251300	0.250178	0.178412	0.223698	0.134397	0.123043	0.121482	0.132342	0.316181	0.294349	0.299369	0.004695	0.158094	0.198847	0.100865	0.018667	0.139968	0.102283	0.617563	0.491241	0.639912	0.634797	0.543719	0.563562	0.582912	0.611298	0.534983	0.642482	0.557013	0.472222	0.538704	0.486078	0.564613	0.641281	0.645198	0.587761	0.667202	0.538517	0.553899	0.557688	0.422811	0.552396	0.094099	0.161403	0.528816	0.595045	0.170139	0.028395	0.237606	0.502769	0.577714	0.528244	0.598897	0.464606	0.604468
chr1_171251800_171251900	0.000000	0.000000	-0.000000	0.000000	0.000000	0.008130	0.000000	0.050000	-0.000000	-0.000000	-0.000000	0.008772	0.007936	0.000000	-0.000000	0.000000	0.000000	0.000000	0.003436	0.022917	0.002874	0.000000	0.002193	0.017113	0.002137	0.017494	0.011521	0.006601	-0.000000	0.002096	0.004849	0.002732	0.007634	0.004329	0.030574	-0.000000	-0.000000	0.000000	-0.000000	0.007752	-0.000000	-0.000000	0.000000	0.027778	-0.000000	-0.000000	0.000000	0.007937	-0.000000	0.000000	-0.000000	-0.000000	-0.000000	0.000000
chr1_174221750_174222150	0.800449	0.650473	0.604010	0.489819	0.526316	0.451688	0.463256	0.474410	0.510197	0.417708	0.227500	0.466471	0.708987	0.246855	0.429033	0.161932	0.700483	0.929481	0.908599	0.721550	0.844659	0.731727	0.961941	0.973526	0.611474	0.555877	0.727595	0.808652	NAN	0.979422	0.972161	0.694487	0.858076	0.648792	0.661433	0.802245	0.639587	0.651099	0.716464	0.733568	0.610937	0.719154	0.355893	0.466357	0.809958	0.508184	0.646823	0.787434	0.601804	0.746668	0.664687	0.702656	0.659465	0.728482
chr1_174909200_174909500	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
chr1_174909650_174910150	0.378420	0.339539	0.254226	0.369311	0.335829	0.347229	0.198748	0.265265	0.300859	0.271023	0.205520	0.333283	0.297324	0.332040	0.266698	0.229348	0.313340	0.949423	0.953423	0.832862	0.783445	0.983288	0.916450	0.910100	0.863745	0.805477	0.711797	0.890755	NAN	0.932933	0.936117	0.900801	0.923123	0.808311	0.763183	0.842292	0.894288	0.889223	0.834151	0.873242	0.766797	0.230569	0.334812	0.460911	0.898594	0.349196	0.337671	0.408249	0.832256	0.846618	0.869813	0.856126	0.861649	0.719493
chr1_175204100_175205100	0.116134	0.082353	0.175414	0.076506	0.150238	0.164891	0.247464	0.239176	0.268105	0.209544	-0.000000	0.032418	0.118501	0.150417	0.004878	0.020952	0.175758	0.432313	0.414322	0.369948	0.506318	0.396609	0.760568	0.665475	0.382249	0.199194	0.333228	0.374588	0.666667	0.833950	0.800173	0.298834	0.449636	0.321290	0.228513	0.236795	0.275666	0.288072	0.373547	0.222222	0.363472	0.082386	0.268052	0.237924	0.512889	0.212391	0.107991	0.389004	0.302015	0.255505	0.307176	0.266124	0.281686	0.377654
chr1_175305000_175305700	0.617322	0.710165	0.794139	0.753510	0.716747	0.683834	0.782155	0.777371	0.798585	0.744015	0.649506	0.757371	0.552349	0.659621	0.553307	0.653702	0.636310	0.876785	0.865770	0.831106	0.837463	0.929080	0.918538	0.924063	0.837929	0.679112	0.866901	0.918443	1.000000	0.911269	0.907566	0.822383	0.905183	0.758181	0.731598	0.884982	0.854010	0.827229	0.820375	0.824802	0.754179	0.661297	0.563320	0.615035	0.901174	0.793109	0.566905	0.867086	0.771615	0.755020	0.893001	0.799803	0.817401	0.791822
chr1_175306400_175306850	0.482056	0.374308	0.387943	0.581013	0.572028	0.494006	0.508165	0.488367	0.526945	0.551745	0.321693	0.413091	0.472627	0.534154	0.408635	0.455610	0.219218	0.723439	0.744249	0.669885	0.769069	0.696801	0.723888	0.708415	0.692775	0.574231	0.842654	0.781802	0.950000	0.886178	0.902659	0.769911	0.810061	0.737531	0.634408	0.697740	0.722781	0.803353	0.723862	0.597587	0.608467	0.589528	0.514670	0.509477	0.703600	0.648250	0.433393	0.477772	0.750767	0.622708	0.657105	0.636881	0.755848	0.613739
chr1_175308250_175308750	0.683377	0.690909	0.614218	0.655017	0.684012	0.645378	0.702055	0.498151	0.386382	0.364983	0.445144	0.524425	0.462336	0.416148	0.306173	0.675878	0.505882	0.798799	0.804583	0.723148	0.630595	0.772222	0.947569	0.950035	0.725648	0.781362	0.727273	0.761905	1.000000	0.960534	0.944511	0.767826	0.814980	0.809860	0.763354	0.762201	0.793688	0.779134	0.754077	0.756879	0.697899	0.618016	0.526425	0.673897	0.839181	0.674100	0.353868	0.668298	0.731416	0.719166	0.765045	0.811575	0.747090	0.763473
chr1_175320750_175321450	0.377009	0.444643	0.441783	0.430119	0.476191	0.444855	0.465833	0.506117	0.489826	0.490988	0.470667	0.516051	0.441700	0.442105	0.469680	0.410526	0.458333	0.872043	0.812621	0.762858	0.806549	0.949556	0.911016	0.915651	0.798186	0.514518	0.763259	0.825587	1.000000	0.885677	0.901221	0.855546	0.868955	0.679502	0.522268	0.800812	0.829298	0.849036	0.841693	0.820478	0.744817	0.369328	0.477209	0.528780	0.871225	0.371069	0.487550	0.464268	0.668443	0.748994	0.813287	0.824650	0.782192	0.748131
chr1_178066400_178067700	0.407606	0.435242	0.049596	0.423415	0.419990	0.417518	0.196104	0.446638	0.424861	0.447771	0.270421	0.451272	0.292815	0.403406	0.335534	0.387906	0.339118	0.642161	0.662529	0.406649	0.449457	0.660931	0.629182	0.690434	0.459419	0.356014	0.388584	0.582531	-0.000000	0.606039	0.677367	0.459143	0.655358	0.402898	0.381635	0.470298	0.449152	0.433855	0.418830	0.415370	0.568399	0.434359	0.360558	0.309265	0.632523	0.445547	0.439116	0.422050	0.382270	0.419932	0.403083	0.432771	0.446892	0.419467
chr1_179129000_179129100	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN	NAN
chr1_181133150_181133450	0.581169	0.563468	0.260869	0.029412	0.289916	0.145503	0.127778	0.129167	0.022727	0.091724	-0.000000	0.042484	0.312091	0.306818	-0.000000	0.114719	0.126923	0.916603	0.945906	0.897907	0.842050	0.969697	0.964242	0.963550	0.883414	0.887911	0.862434	0.895963	NAN	0.955051	0.947803	0.780938	0.953213	0.798104	0.840598	0.889816	0.870028	0.791667	0.779920	0.767304	0.759470	0.095609	0.000000	0.228261	0.931372	0.281250	0.241044	0.430491	0.709677	0.636905	0.790370	0.778788	0.723863	0.846154
chr1_186511650_186511950	0.753589	0.633641	0.665765	0.520551	0.644324	0.663691	0.111443	0.396237	0.444045	0.426202	0.811722	0.748425	0.663032	0.496983	0.820415	0.818627	0.503882	0.877960	0.848148	0.686444	0.713846	0.726552	0.863133	0.807365	0.738535	0.718712	0.718051	0.773736	NAN	0.855606	0.862428	0.720434	0.774442	0.717391	0.673873	0.800234	0.768090	0.790816	0.719858	0.659506	0.725709	0.692282	0.810456	0.725072	0.778800	0.608806	0.688156	0.894283	0.746528	0.756531	0.836617	0.769600	0.776864	0.730180
chr1_201480900_201481500	0.007393	0.079253	0.023138	0.080207	0.090093	0.074800	0.005420	0.012019	0.009144	0.015262	0.001923	0.061268	0.072855	0.005495	0.011364	0.013112	0.021520	0.029975	0.026764	0.066468	0.034915	0.027959	0.046238	0.045891	0.043399	0.101327	0.049409	0.019770	0.279167	0.037129	0.051004	0.033724	0.023399	0.088854	0.091977	0.051224	0.031136	0.022512	0.036424	0.031542	0.032488	0.009834	0.031623	0.041535	0.011113	0.072196	0.046514	0.020964	0.029627	0.027484	0.053341	0.045987	0.032560	0.050252
chr1_202146200_202146500	0.857143	0.272727	0.040000	1.000000	0.961538	0.955556	0.080000	0.852941	0.925926	0.761905	0.541667	0.800000	0.800000	0.357143	0.565217	0.476190	1.000000	0.571429	1.000000	NAN	1.000000	1.000000	0.826087	0.850000	0.666667	0.702703	0.857143	1.000000	NAN	0.791667	0.727273	0.695652	0.937500	0.625000	0.648649	0.678571	0.833333	0.703704	0.600000	0.400000	0.625000	0.916667	0.473684	0.857143	0.861111	0.972973	0.105263	0.657895	0.750000	0.470588	0.906250	0.705882	0.733333	0.825397
chr1_202162750_202164300	0.379370	0.360972	0.185366	0.345319	0.352372	0.336318	0.291401	0.289661	0.302001	0.314766	0.213237	0.328967	0.318982	0.293773	0.269006	0.331799	0.231250	0.560448	0.581060	0.491118	0.532258	0.619178	0.524229	0.590844	0.477591	0.482489	0.525921	0.585854	0.380952	0.532331	0.565133	0.501482	0.574758	0.522583	0.498756	0.527813	0.488985	0.481651	0.448223	0.464991	0.527014	0.216129	0.295677	0.309820	0.573072	0.359010	0.275225	0.332267	0.401338	0.433246	0.510093	0.453666	0.464431	0.473453
chr1_202165750_202166550	0.132455	0.117460	0.109389	0.245402	0.165179	0.192075	0.092087	0.053030	0.087830	0.077771	0.065608	0.155852	0.134744	0.239286	0.107143	0.115079	0.095238	0.742728	0.600817	0.747279	0.787331	0.825227	0.709017	0.777865	0.642049	0.767405	0.723619	0.829904	0.812784	0.756202	0.739860	0.634703	0.833232	0.807562	0.639512	0.755398	0.708780	0.633647	0.660241	0.601650	0.714062	0.088236	0.141039	0.221336	0.763860	0.251811	0.117918	0.138157	0.651220	0.661300	0.705384	0.682984	0.747024	0.600487
chr1_203275750_203276050	0.854546	0.918831	0.547619	0.906250	0.886250	0.933794	0.766667	0.733334	0.900000	0.866310	0.714285	0.829861	0.668831	0.638889	0.676767	1.000000	0.666667	1.000000	0.990000	0.938694	0.941944	0.985356	0.944805	0.967890	0.901224	0.883678	0.950524	0.970588	NAN	0.958053	0.987288	0.938407	0.971202	0.938913	0.853003	0.951828	0.915288	0.960785	0.898521	0.857186	0.940205	0.631229	0.531322	0.921875	0.945714	0.914285	0.848076	0.925000	0.864182	0.921053	0.958261	0.863636	0.925189	0.931217
chr1_203310600_203310950	0.853607	0.882956	0.794684	0.643350	0.695392	0.681082	0.861570	0.842313	0.813544	0.854639	0.914488	0.775849	0.764863	0.844937	0.715127	0.888984	0.843527	0.908097	0.919577	0.898596	0.898020	0.925604	0.956970	0.969148	0.862496	0.918091	0.904476	0.938846	NAN	0.967188	0.954933	0.885711	0.914273	0.887704	0.907095	0.935984	0.878150	0.851844	0.762365	0.746983	0.852720	0.609601	0.862623	0.807395	0.927564	0.789370	0.804882	0.910797	0.791607	0.829902	0.867197	0.823258	0.813120	0.869481
chr1_203319650_203319950	0.396825	0.606061	0.466277	0.636364	0.666667	0.673789	0.847222	0.166667	0.161111	0.272727	0.687500	0.238095	0.583127	0.033333	0.194444	1.000000	0.311111	0.992424	0.718567	0.928054	0.871481	0.872629	0.958514	0.966542	0.877289	0.889947	0.977055	0.949134	NAN	0.896369	0.971026	0.929175	0.892131	0.912266	0.918998	0.910222	0.816317	0.917221	0.798765	0.816861	0.598980	0.456322	0.449678	0.638472	0.947603	0.606349	0.468698	0.593651	0.847222	0.821345	0.873043	0.948718	0.916522	0.911987
chr1_203340500_203343200	0.398565	0.359145	0.445911	0.244683	0.271124	0.299208	0.193899	0.397243	0.403435	0.452166	0.375312	0.243818	0.198770	0.431916	0.505809	0.476322	0.406088	0.523958	0.623065	0.335814	0.565920	0.590379	0.665280	0.636203	0.422591	0.346864	0.463693	0.597460	0.399200	0.660727	0.664817	0.511243	0.629543	0.418255	0.435653	0.580534	0.467956	0.508947	0.449894	0.414534	0.560215	0.162675	0.379311	0.340611	0.504752	0.467653	0.198519	0.338548	0.295034	0.497580	0.405689	0.314439	0.577513	0.399524
