A.ID	CLL_25.bed.combine.5mC.CpG.NA_id.methValue	CLL_26.bed.combine.5mC.CpG.NA_id.methValue	CLL_27.bed.combine.5mC.CpG.NA_id.methValue	CLL_28.bed.combine.5mC.CpG.NA_id.methValue	CLL_28.large.bed.combine.5mC.CpG.NA_id.methValue	CLL_28.small.bed.combine.5mC.CpG.NA_id.methValue	CLL_30.bed.combine.5mC.CpG.NA_id.methValue	CLL_30.large.bed.combine.5mC.CpG.NA_id.methValue	CLL_30.small.bed.combine.5mC.CpG.NA_id.methValue	CLL_4.bed.combine.5mC.CpG.NA_id.methValue	CLL_5.bed.combine.5mC.CpG.NA_id.methValue	CLL_6.bed.combine.5mC.CpG.NA_id.methValue	CLL_94.bed.combine.5mC.CpG.NA_id.methValue	CLL_95.bed.combine.5mC.CpG.NA_id.methValue	CLL_96.bed.combine.5mC.CpG.NA_id.methValue	CLL_97.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001095766:NBC.1:C003K9.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001095769:NBC.2:C0068L.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001096889:csMBC.2:C003JB.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001096891:MBC.3:C003N3.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001096949:NBC.3:S001JP.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001170519:HMPC.1:F2012-2912.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001170520:PreBC.1:F2012-2912.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001170521:GCBC.1:T11_8.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001170522:PBC.1:MO7071.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001220205:csMBC.1:S004P1.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001220214:NBC.4:S00DM8.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266052:HMPC.2:F2012-2912.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266053:PreBC.2:F2012-2912.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266054:GCBC.2:T14_10.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266055:NBC.5:NC11_41.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266056:csMBC.3:NC11_41.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001266057:PBC.2:V156.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001280907:MBC.1:S017RE.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001282097:GCBC.3:T14_11.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001282098:PBC.3:T14_10.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001282099:PBC.4:T12_20.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001282100:PBC.5:T13_1.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001343490:CLL.182:182CLL.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001343492:CLL.12:12CLL.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001343494:CLL.110:110CLL.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001356805:NBC.7:NC15_72.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001358479:CLL.1525:1525CLL.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001358480:CLL.1532:1532CLL.bed.combine.5mC.CpG.NA_id.methValue	EGAN00001401801:CLL.1228:1228CLL.bed.combine.5mC.CpG.NA_id.methValue	GCBC_129.bed.combine.5mC.CpG.NA_id.methValue	GCBC_134.bed.combine.5mC.CpG.NA_id.methValue	GCBC_135.bed.combine.5mC.CpG.NA_id.methValue	GCBC_136.bed.combine.5mC.CpG.NA_id.methValue	GCBC_137.bed.combine.5mC.CpG.NA_id.methValue	GCBC_138.bed.combine.5mC.CpG.NA_id.methValue
11:61079513:61079515	0.153846	0.714286	0.263158	0.375	0.333333	0.416667	0	0	0	0.333333	0.368421	0.8	0.0952381	0.411765	0.75	0.285714	0.916667	0.875	0.916667	0.933333	0.888889	0.962963	0.923077	0.791667	0.9	0.947368	0.944444	0.833333	0.880952	0.88	0.926829	0.75	0.773585	0.875	1	0.823529	0.666667	0.764706	0.363636	0.333333	0.304348	0.967742	0.611111	0.666667	0.68	0.857143	0.842105	0.93617	0.8	1	0.877193
11:61079795:61079797	0.25	0	0.04	0.470588	0.5	0.363636	0.0666667	0	0	0	0.178571	0	0.2	0.0714286	0.166667	0.357143	0.606061	0.736842	0.619048	0.733333	0.681818	0.621212	0.671233	0.666667	0.302326	0.653846	0.678571	0.64	0.590909	0.736842	0.692308	0.435484	0.414634	0.6875	0.642857	0.576271	0.491525	0.470588	0	0.0392157	0.176471	0.707317	0.351351	0.264151	0.382353	0.468085	0.761905	0.488372	0.490566	0.804878	0.684211
11:61079909:61079911	0	0	0	0	0	0.0909091	0	0	0	0	0	0	0	0	0	0	0.888889	0.772727	0.791667	0.857143	0.961538	0.902439	0.901639	0.925926	0.796296	0.814815	0.896552	0.945455	0.934783	0.835616	0.934783	0.830508	0.724138	0.865385	0.823529	0.76	0.833333	0.772727	0.0166667	0.037037	0.0377358	0.96875	0.027027	0.075	0.193548	0.709677	0.789474	0.818182	0.787879	0.807692	0.810345
11:61081464:61081466	0.666667	0	0.347826	1	0.8	0.933333	0	0.166667	0	0.4	0	0.217391	0.2	0	0.333333	0	0.741935	0.777778	0.771429	0.6875	0.916667	0.61039	0.795918	0.641791	0.47561	0.875	0.939394	0.755319	0.688889	0.7	0.83871	0.663551	0.4	0.755556	0.719298	0.683333	0.612903	0.695652	0.489362	0.433333	0.294118	0.892857	0.756757	0.470588	0.780488	0.642857	0.705882	0.758621	0.75	0.791667	0.766667
11:61082097:61082099	0.285714	0.125	0.111111	0.769231	0.714286	0.4	0	0	0	0	0.611111	0	0.384615	0	0.384615	0	0.888889	0.875	0.6	0.631579	0.153846	0.717949	0.72973	0.538462	0.264706	0.3	0.333333	0.680851	0.72093	0.645833	0.227273	0.72093	0.6	0.6	0.285714	0.606061	0.53125	0.387097	0	0.0810811	0.205882	0.0909091	0.888889	0	0.30303	0.636364	0.208333	0.666667	0.458333	0.548387	0.310345
11:61082152:61082154	0	0.5	0	0.357143	0.375	0.153846	0	0.105263	0.4	0.166667	0.714286	0	0	0	0	0	0.875	0.857143	0.677419	0.703704	0.6	0.829787	0.921053	0.675	0.666667	0.807692	0.517241	0.878049	0.826087	0.770833	0.5625	0.510204	0.354839	0.756098	0.722222	0.75	0.735294	0.72	0.36	0.0232558	0.451613	0.35	0.827586	0	0.684211	0.882353	0.619048	0.652174	0.588235	0.740741	0.785714
11:61082228:61082230	0	0	0	0	0	0.0833333	0	0	0	0	0.166667	0	0	0	0	0	0.941176	0.928571	0.567568	0.891892	0.391304	0.875	0.941176	0.5	0.377358	0.739726	0.488372	0.915254	0.898551	0.62069	0.225806	0.509091	0.465116	0.757143	0.560976	0.589744	0.431373	0.444444	0.0454545	0.0277778	0.241379	0.44	0	0	0.166667	0.545455	0.428571	0.407407	0.315789	0.758621	0.655172
11:61082288:61082290	0.444444	0.636364	0.125	0.1	0	0.166667	0	0.0625	0.2	0	0.416667	0	0.5	0	0.166667	0	0.923077	0.895833	0.448276	0.567901	0.230769	0.877193	0.948052	0.365854	0.460317	0.5	0.236364	0.821918	0.936709	0.473684	0.166667	0.409836	0.311475	0.546512	0.446429	0.489796	0.463768	0.35	0.32	0	0.315789	0.2	0.764706	0.115385	0.322581	0.272727	0.285714	0.375	0.235294	0.576923	0.481481
11:61082429:61082431	0.2	0.8	0.136364	0.846154	0.5	0.5	0	0.125	0	0.5	0.0588235	0	0	0	0	0	0.924242	0.731707	0.530303	0.746032	0.463415	0.802817	0.899083	0.693182	0.533333	0.617647	0.393443	0.842105	0.84375	0.648649	0.206349	0.373333	0.466667	0.721311	0.692308	0.744681	0.469697	0.627119	0.151515	0	0.153846	0.62069	0.404762	0.0645161	0.324324	0.789474	0.916667	0.73913	0.555556	0.576923	0.809524
11:61082499:61082501	0.0909091	0.428571	0.111111	0.470588	0.444444	0.545455	0	0.333333	0.0833333	0.0769231	0.176471	0.142857	0.428571	0.142857	0.2	0	0.808219	0.858974	0.798319	0.80916	0.43038	0.816327	0.817518	0.681481	0.770833	0.683761	0.489362	0.907692	0.8	0.748031	0.442478	0.696078	0.726316	0.725664	0.775281	0.78	0.797619	0.707317	0.216216	0.0612245	0.485714	0.5	0.317073	0.341463	0.333333	0.913043	0.636364	0.703704	1	0.848485	0.851852
11:61082693:61082695	0.285714	0.352941	0.130435	0.823529	0.85	0.892857	0	0	0.133333	0.470588	0.171429	0	0.363636	0	0.181818	0	0.95	0.884615	0.4	0.692308	0.823529	0.9	0.854167	0.5	0.385714	0.75	0.769231	0.939394	0.880952	0.684211	0.7	0.365385	0.467742	0.702703	0.608696	0.647059	0.557692	0.666667	0.0294118	0.0769231	0.0357143	0.705882	0.0588235	0.0888889	0.636364	0.805556	0.590909	0.648649	0.53125	0.742857	0.465517
11:61082994:61082996	0.0555556	0.142857	0.0714286	0.444444	0.571429	0.571429	0	0	0	0	0	0	0	0	0.4	0	0.962264	0.958333	0.755814	0.827586	0.884058	0.976744	0.966667	0.788889	0.486842	0.679245	0.857143	0.973214	0.9625	0.817073	0.9	0.545455	0.529412	0.8	0.839506	0.846154	0.702381	0.895833	0.0263158	0.0357143	0.0322581	0.96	0.512821	0	0.372549	0.590909	0.818182	0.88	0.769231	0.772727	0.563636
11:61083070:61083072	0.714286	0.142857	0.222222	0.666667	0.6	0.916667	0.333333	0	0	0.3	0.25	0.1875	0	0	0	0	0.913043	0.917808	0.727273	0.833333	0.9875	0.990654	0.973856	0.789474	0.47619	0.761905	0.878049	0.9375	0.97479	0.81	0.906542	0.686441	0.514286	0.85567	0.866667	0.822581	0.727273	0.8	0.184211	0.0454545	0.166667	0.894737	0.553191	0.0625	0.631579	0.625	0.923077	0.444444	0.677419	0.73913	0.55814
11:61083097:61083099	0.785714	0.571429	0.181818	0.7	0.8	0.642857	0.4	0.1875	0.0769231	0.142857	0.04	0	0	0	0.357143	0	0.939024	0.941176	0.595238	0.814433	0.950617	0.942857	0.928571	0.706522	0.352941	0.640777	0.904762	0.894737	0.982609	0.714286	0.935484	0.427481	0.486239	0.805825	0.747664	0.641791	0.695652	0.746988	0.157895	0.257143	0.0652174	0.878049	0.575	0.0322581	0.709677	0.464286	0.8	0.7	0.636364	0.4	0.428571
11:61083136:61083138	0.933333	0	0	0.8	1	0.705882	0.181818	0	0	0.4	0.521739	0.285714	0.111111	0	0.1875	0	0.974359	0.908046	0.787402	0.792079	0.967033	0.991453	0.988636	0.867347	0.707547	0.70297	0.857143	0.992593	0.92623	0.824324	0.970297	0.664062	0.540984	0.840336	0.807339	0.802817	0.777778	0.746835	0.340426	0.189189	0.384615	0.941176	0.414634	0.0714286	0.228571	0.9	0.8125	0.821429	0.527778	0.678571	0.585366
11:61083242:61083244	0.615385	0.833333	0.0869565	0.866667	0.8	0.903226	0	0.142857	0	0.428571	0.521739	0.576923	0.3	0	0.333333	0.25	0.962963	0.939759	0.902913	0.957447	0.938462	0.93	0.935252	0.923913	0.771739	0.833333	0.947368	0.978571	0.953125	0.91129	0.888889	0.804348	0.778947	0.932773	0.914286	0.984615	0.888889	0.887324	0.557692	0.0769231	0.365854	0.95	0.931034	0.448276	0.789474	0.933333	0.555556	0.84	0.918919	0.689655	0.837838
11:61083280:61083282	0.8	0.736842	0.103448	0.888889	1	0.870968	0.307692	0.375	0.454545	0.25	0.576923	0.565217	0.363636	0	0	0.25	0.886792	0.932203	0.873684	0.93	0.982143	0.979167	0.901639	0.908046	0.929412	0.887324	0.94	0.96748	0.934426	0.943925	0.939759	0.932432	0.909091	0.934959	0.927536	0.913793	0.882353	0.864407	0.423077	0.22	0.318182	0.979167	0.864865	0.864865	0.885714	0.952381	1	0.95	0.973684	0.71875	0.971429
11:61083296:61083298	0.692308	0.631579	0.09375	0.764706	1	0.71875	0.333333	0	0.1	0.25	0.321429	0.458333	0.25	0	0	0	0.933333	0.984375	0.931034	0.946809	0.942308	0.933333	0.927928	0.94382	0.875	0.861538	0.893617	0.9375	0.898438	0.871287	0.8625	0.839506	0.858696	0.896825	0.926471	1	0.783333	0.964286	0.2	0.0238095	0.146341	0.94	0.771429	0.659091	0.8	0.772727	1	0.8125	0.806452	0.666667	0.837838
11:61083364:61083366	0	0	0.047619	0	0	0	0	0	0	0	0.037037	0	0	0	0	0	0.906977	0.912281	0.225352	0.453488	0.808511	0.944444	0.835616	0.380952	0.177215	0.339286	0.719298	0.833333	0.820513	0.336957	0.802469	0.2	0.134831	0.37037	0.375	0.431373	0.492308	0.54902	0	0	0.0526316	0.882353	0	0.0196078	0.171429	0.263158	0.636364	0.444444	0.34375	0.294118	0.297297
11:61083423:61083425	0.0909091	0	0	0.181818	0.272727	0.1	0	0.08	0	0	0.0645161	0	0	0	0	0	0.848485	0.895833	0.548387	0.76087	0.903226	0.861538	0.869565	0.507463	0.328125	0.5	0.918367	0.917526	0.831579	0.652174	0.811594	0.33871	0.380952	0.716418	0.428571	0.728814	0.681818	0.702703	0.046875	0.0188679	0.0465116	0.815789	0.2	0	0.305556	0.545455	0.444444	0.416667	0.441176	0.538462	0.375
11:61083632:61083634	0.7	0.652174	0	0.846154	0.461538	0.666667	0.3	0.714286	0.181818	0	0.666667	0.433333	0.571429	0	0	0	0.973214	0.960526	0.783439	0.867647	0.948052	0.956897	0.93125	0.737589	0.642202	0.682353	0.925234	0.921569	0.950617	0.905109	0.971223	0.767123	0.586538	0.869565	0.903509	0.831169	0.942308	0.879121	0.409091	0.190476	0.488372	0.970588	0.04	0.833333	0.830189	0.736842	0.882353	0.9	0.878788	0.892857	0.775862
11:61083662:61083664	1	0.588235	0	0.958333	0.8125	0.941176	0.428571	0.4	0.214286	0.166667	0.636364	0.257143	0.25	0	0	0.1	0.966667	0.931034	0.922652	0.942675	0.962963	0.984	0.964706	0.95092	0.895652	0.88764	0.962687	0.954286	0.982353	0.935065	0.937063	0.958333	0.882883	0.954248	0.96875	0.946667	0.90678	0.886957	0.386364	0.148148	0.418605	0.941176	0.803571	0.926829	0.76	1	0.88	0.947368	0.928571	0.962963	0.884615
11:61083712:61083714	0.333333	0.5	0.0434783	0.72	0.466667	0.730769	0.142857	0.176471	0.0666667	0.5	0.4	0.121212	0	0	0	0.111111	0.947826	0.970588	0.927778	0.915033	0.9875	0.969925	0.978022	0.9375	0.884615	0.875	0.97619	0.942857	0.937143	0.937888	0.944056	0.909774	0.787611	0.96988	0.957265	0.924242	0.910714	0.929293	0.146341	0.0377358	0.218182	0.967742	0.487179	0.594595	0.44186	0.809524	1	0.875	0.935484	0.923077	0.97561
11:61083727:61083729	0.8	0.666667	0.0416667	0.73913	0.933333	0.888889	0.166667	0.388889	0.105263	0.555556	0.6	0.235294	0	0	0	0.1	0.954545	0.932432	0.931034	0.888199	0.9875	0.968254	0.947059	0.940397	0.842105	0.880342	0.916031	0.902703	0.947674	0.957576	0.906977	0.901515	0.875	0.842767	0.9375	0.907692	0.938053	0.803738	0.3	0.0188679	0.283019	0.970588	0.634146	0.842105	0.736842	0.944444	1	0.837209	0.939394	0.75	0.972222
11:61083736:61083738	0.764706	0.625	0.04	0.956522	1	0.888889	0.166667	0.333333	0.421053	0.714286	0.586207	0.323529	0	0	0	0.333333	0.9	0.953846	0.964072	0.974522	0.987013	0.96875	0.96875	0.980263	0.911111	0.964286	0.97479	0.975904	0.963415	0.955414	0.941667	0.937008	0.896907	0.94702	0.953271	0.982759	0.990826	0.901099	0.512195	0.0833333	0.470588	0.965517	0.868421	0.864865	0.941176	1	0.954545	0.931818	1	1	0.945946
11:61083738:61083740	0.705882	0.777778	0.0434783	0.875	0.928571	0.962963	0.2	0.421053	0.4	0.714286	0.551724	0.294118	0	0	0	0.333333	0.95283	0.984127	0.945122	0.954545	0.961039	0.937984	0.94375	0.979866	0.888889	0.936364	0.94958	0.950617	0.974843	0.918239	0.949153	0.968504	0.904255	0.973684	0.933962	0.949153	0.971963	0.903614	0.414634	0.0888889	0.470588	1	0.85	0.815789	0.942857	0.952381	0.956522	0.930233	0.973684	1	0.864865
11:61083744:61083746	0.777778	1	0.0434783	0.961538	1	0.962963	0.2	0.263158	0.4	0.5	0.517241	0.257143	0	0	0	0.222222	0.951456	1	0.925466	0.959184	0.381579	0.960938	0.961538	0.959459	0.870588	0.925234	0.945946	0.962025	0.97973	0.928105	0.974359	0.927419	0.894737	0.510204	0.949495	0.883333	0.980392	0.91358	0.282051	0.0697674	0.454545	0.96875	0.842105	0.842105	0.9375	1	1	0.925	0.85	1	0.882353
11:61083767:61083769	0.75	1	0.0869565	0.962963	1	0.95	0.2	0.25	0.318182	0.583333	0.592593	0.37931	0	0	0	0.333333	0.973333	0.946429	0.992908	0.956522	0.986486	0.957265	0.993197	0.977941	0.961538	0.903846	0.935484	0.963768	0.927536	0.939597	0.990385	0.96063	0.925532	0.948905	0.917526	0.857143	0.94186	0.816901	0.545455	0.0714286	0.528302	0.939394	0.870968	0.861111	0.888889	1	0.954545	0.953488	1	1	0.974359
11:61083797:61083799	0.736842	0.571429	0.0769231	0.962963	1	0.958333	0.166667	0.166667	0.368421	0.733333	0.464286	0.433333	0	0	0	0.2	0.913793	0.981481	0.989796	0.971963	0.931034	0.94898	0.979452	0.964602	0.958333	0.901099	0.9	0.935484	0.968254	0.971429	0.989691	0.961538	0.903226	0.934579	0.974684	0.851852	1	0.763158	0.5	0.0465116	0.56	0.931034	0.810811	0.909091	0.90625	1	0.928571	0.933333	1	0.967742	1
11:61084000:61084002	0.628571	0.772727	0.121212	0.9	1	1	0.190476	0.454545	0.30303	0.357143	0.794118	0.733333	0.28125	0.04	0.117647	0.217391	1	0.977273	0.84	0.888889	0.904762	0.984375	0.983607	0.954545	0.695652	0.857143	0.869565	1	0.932203	0.934211	0.986842	0.815385	0.666667	0.916667	1	0.945946	0.929825	0.951613	0.490196	0.0344828	0.333333	0.973684	0.795918	0.928571	0.410256	0.916667	0.769231	0.803922	0.847826	0.818182	0.833333
11:61089828:61089830	0.604651	0.529412	0.470588	0.626667	0.64	0.66129	0.0555556	0.0487805	0.0697674	0	0.0434783	0.0204082	0.27027	0.0285714	0.309524	0.147059	0.977273	0.95	0.892857	0.95122	0.965517	0.949153	0.884058	0.76087	0.759036	0.842105	0.884615	0.945205	0.967742	0.848101	0.989474	0.721154	0.773333	0.893939	0.847826	0.8	0.8	0.869565	0.19697	0.314286	0.348485	0.909091	0.470588	0.292683	0.660377	0.581395	0.541667	0.676471	0.673913	0.850746	0.716667
11:61090369:61090371	0.75	0.75	0.35	0.842105	1	0.846154	0.181818	0.0666667	0	0.842105	0.277778	0.8125	0.285714	0	1	0	1	0.965517	0.875	0.965517	1	1	0.912281	0.957143	0.90411	0.875	0.97561	0.854167	0.97561	0.909091	0.955224	0.906977	0.791667	0.907407	0.925	0.977778	0.944444	0.791667	0.5	0.25	0.638889	0.944444	0.45	0.4	0.93617	0.9	0.72	0.96	0.964286	0.84375	0.960784
11:61090462:61090464	1	0.846154	0.166667	0.375	0.727273	0.423077	0	0.05	0	0.0588235	0.323529	0.882353	0	0.142857	0	0	0.910256	1	0.907216	0.920455	0.967213	0.942308	0.96	0.901639	0.714286	0.917808	0.938144	0.945055	0.967105	0.884615	0.978022	0.776	0.904762	0.91954	0.955056	0.904762	0.818182	0.864407	0.320755	0.380952	0.547619	0.914286	0.6	0.323529	1	0.818182	0.952381	0.96	0.857143	0.666667	0.829268
11:61090475:61090477	1	0.8	0.307692	0.789474	1	0.866667	0	0	0	0.35	0.424242	0.5	0.4	0.142857	0.75	0	0.952381	1	0.979592	0.923913	0.969697	0.927928	0.990476	0.929688	0.865169	0.914286	0.927083	0.904255	0.96129	0.952381	0.94382	0.927419	0.897727	0.964706	0.946809	0.953125	0.906667	0.823529	0.693878	0.478261	0.813953	0.95122	0.914286	0.580645	0.958333	0.846154	0.823529	0.884615	0.774194	0.92	0.8125
11:61090525:61090527	0.9	0.857143	0.294118	0.72	0	0.6	0	0	0	0.368421	0.0689655	0.6	0.6	0	0.75	0	0.955556	0.948276	0.911392	0.929134	0.978022	0.91	0.96124	0.924242	0.655914	0.82	0.950495	0.954545	0.950355	0.911504	0.967742	0.858209	0.895349	0.922481	0.957895	0.983051	0.911392	0.960526	0.333333	0.553191	0.571429	0.948718	0.68	0.230769	0.478261	0.833333	0.642857	1	0.967742	0.90625	0.894737
11:61090570:61090572	1	0.8125	0.208333	1	0.833333	0.962963	0	0.142857	0.142857	0.611111	0.333333	0.8	0	0	1	0	0.938272	0.942029	0.918129	0.928058	0.987179	0.930693	0.936	0.914062	0.848837	0.9	0.933962	0.981651	0.992308	0.901786	0.957447	0.888889	0.938144	0.957746	0.9625	0.967213	0.450549	0.898734	0.425	0.73913	0.65	1	0.863636	0.461538	1	0.8	0.909091	0.636364	0.966667	0.931034	0.928571
11:61090579:61090581	1	1	0.304348	1	1	0.961538	0	0.181818	0.375	0.75	0.458333	1	0	0	1	0	0.923077	0.985294	0.934911	0.927536	0.961538	0.970874	0.926471	0.932331	0.88764	0.917526	0.971154	0.971963	0.927007	0.908257	0.948454	0.90625	0.929293	0.972789	0.9875	0.872727	0.934783	0.909091	0.533333	0.857143	0.75	0.980392	0.869565	0.666667	1	0.944444	1	0.952381	0.862069	1	0.956522
11:61090584:61090586	0.818182	0.777778	0.136364	0.8	0.666667	0.925926	0	0.208333	0	0.8	0.375	0.9375	0	0	0.888889	0	0.932432	0.985507	0.916667	0.891304	0.936709	0.910891	0.947761	0.940741	0.793478	0.929293	0.933333	0.92381	0.976378	0.908257	1	0.854839	0.873786	0.902098	0.880952	0.903846	0.955556	0.939394	0.367347	0.829268	0.652174	1	0.608696	0.547619	0.952381	0.941176	0.9	0.952381	0.888889	0.9375	0.895833
11:61090609:61090611	1	1	0	0.695652	0.625	0.8	0	0.2	0	0.4	0.461538	1	0	0	1	0	0.936508	0.932203	0.881944	0.922481	0.955882	0.977273	0.973913	0.919643	0.77027	0.890244	0.946809	0.946237	0.954128	0.981818	0.921348	0.844828	0.923913	0.95122	0.871795	0.929825	0.922078	0.878378	0.341463	0.785714	0.666667	0.958333	0.807692	0.571429	0.962963	0.941176	0.875	0.947368	0.9	0.909091	0.913043
11:61090653:61090655	0.833333	0.923077	0	0.764706	0.333333	0.526316	0.25	0.0740741	0	0	0	0.153846	0	0	0.833333	0	0.918919	0.924528	0.746154	0.847458	0.887097	0.938272	0.922414	0.73	0.434211	0.814286	0.868687	0.967742	0.927928	0.766667	0.932584	0.543103	0.505747	0.756303	0.666667	0.745455	0.628205	0.666667	0.204545	0.0952381	0.307692	0.954545	0.857143	0.03125	0.631579	0.52381	0.916667	0.72	0.787879	0.7	0.615385
11:61090700:61090702	0.666667	0.75	0	0.823529	0.833333	0.882353	0.166667	0	0.0588235	0.357143	0.214286	1	0	0.2	1	0	1	0.983607	0.92	1	0.903226	1	0.929204	0.942857	0.826087	0.963415	0.990196	0.945946	0.962617	0.964706	0.963855	0.883333	0.862069	0.96748	0.95	0.945455	0.901099	0.892857	0.358974	0.382353	0.487179	1	0.787879	0.419355	0.925	1	0.8125	0.84	1	0.714286	0.820513
11:61090723:61090725	0.833333	0.428571	0.285714	0.133333	0.8	0.588235	0	0	0	0.2	0	1	0	0	0.714286	0	0.898734	0.969231	0.904762	0.919192	0.979167	0.970588	0.919643	0.873563	0.659341	0.819277	0.966292	0.973451	0.971698	0.885057	0.974684	0.754237	0.723684	0.919643	0.880952	0.912281	0.91358	0.863636	0.333333	0.516129	0.404762	0.846154	0.259259	0.333333	0.869565	0.928571	0.888889	1	0.8	0.828571	0.914286
11:61090780:61090782	0.416667	0.375	0.0588235	0.0909091	0.666667	0.230769	0	0.04	0	0.133333	0.0952381	0.923077	0	0	0	0	0.979167	0.957447	0.78125	0.791667	0.95122	0.914286	0.958904	0.810127	0.48	0.854167	0.884615	0.941176	0.860759	0.873239	0.928571	0.793478	0.716418	0.934211	0.789474	0.849057	0.711864	0.793103	0.157895	0.0384615	0.142857	1	0.230769	0.216216	0.777778	0.846154	0.761905	0.5	0.592593	0.878788	0.607143
11:61094432:61094434	0.105263	0.0666667	0.0769231	0.2	0	0	0.111111	0	0	0	0	0.097561	0	0	0.0333333	0.1	0.829268	0.8	0.206349	0.0204082	0.789474	0.971429	0.988372	0.24	0.157895	0.0666667	0.571429	0.95	0.955752	0.168831	0.701031	0.101266	0.214286	0.225352	0.280702	0.117647	0.27451	0.375	0.0294118	0.0588235	0.106383	0.846154	0.133333	0.134615	0.121951	0.27027	0.142857	0.2	0.342857	0.195122	0.294118
11:65488511:65488513	0	0	0	0.1875	0	0.1	0.222222	0	0.125	0	0	0	0	0	0	0	0.674699	0.566667	0.592593	0.590278	0.651685	0.544715	0.58156	0.692913	0.707965	0.59633	0.833333	0.50641	0.637931	0.510638	0.427083	0.516667	0.495327	0.445455	0.580645	0.4	0.303371	0.411765	0.025	0	0.4	0.522727	0.363636	0	0.428571	0.111111	0.266667	0.212121	0.571429	0.64	0.405405
11:65488719:65488721	0	0	0.0434783	0	0	0.0294118	0	0	0	0	0	0	0	0	0.0833333	0	0.538462	0.218182	0.329114	0.139535	0.245902	0.702128	0.679487	0.397727	0.285714	0.152542	0.434211	0.684685	0.598214	0.00952381	0.0625	0.140625	0.22973	0.41	0.195402	0	0.0253165	0.109589	0	0	0.0555556	0.361111	0	0	0.0263158	0	0.125	0	0.05	0	0.0638298
11:65489369:65489371	0.375	0.125	0	0.888889	0.363636	0.909091	0	0	0	0	0	0.142857	0.285714	0	0.277778	0	1	0.985915	0.950617	0.962025	0.973333	0.988372	0.981481	0.965517	0.987952	0.945205	0.977011	0.953488	0.956044	0.979167	0.927711	0.946809	0.971014	0.964286	0.973684	0.9	0.985507	0.95	0.025641	0.0416667	0.264706	0.967742	0.296296	0.075	0.585366	0.956522	0.888889	0.823529	0.884615	0.828571	0.933333
11:65489399:65489401	0.133333	0	0	0.636364	0.357143	0.111111	0	0	0	0	0	0	0.166667	0	0.266667	0	0.974026	0.952381	0.956044	0.952941	1	0.977273	0.991071	0.977528	0.952381	0.951807	0.974684	0.952381	0.944954	0.9375	0.922222	0.962617	0.918919	0.968085	1	0.857143	0.930556	0.973684	0	0.0217391	0.15625	0.9375	0.192308	0.0277778	0.571429	1	1	0.916667	1	1	0.942857
11:65489419:65489421	0.571429	0.4	0	0.818182	0.631579	0.9	0	0.222222	0	0	0	0.173913	0.166667	0	0.928571	0.285714	0.987654	0.981818	0.958763	0.977778	1	0.976744	0.971698	1	0.94186	0.89011	0.975309	0.990385	0.975	0.915254	0.938144	0.965517	0.973684	0.960784	0.960396	0.94	1	0.921569	0	0.0238095	0.305556	0.96875	0.586207	0.0294118	0.666667	0.807692	1	1	0.958333	0.666667	0.828571
11:65489439:65489441	0.769231	0.625	0	0.666667	0.619048	0.5	0	0.125	0	0	0	0	0.333333	0	0.533333	0	0.972222	0.961538	0.990476	0.956989	0.9875	0.964706	0.972222	0.98913	0.939759	0.968085	0.973684	0.960784	0.962406	0.90566	0.929293	0.934579	0.984375	0.980952	0.962963	0.966102	0.962025	0.87037	0.047619	0.0434783	0.179487	1	0.677419	0.027027	0.533333	0.95	0.916667	0.833333	0.95	0.913043	0.833333
11:65489451:65489453	0.692308	0.625	0	0.769231	0.909091	0.923077	0	0.166667	0.25	0	0	0.0909091	0.6	0	0.866667	0.8	0.985075	1	0.969072	0.923077	1	0.964706	0.963303	0.951807	1	0.978261	0.963855	0.981651	0.976378	0.95098	0.928571	0.91453	0.985714	0.960396	0.966102	0.932203	0.948718	0.947368	0.0444444	0.0425532	0.461538	1	0.823529	0.0285714	0.677419	1	1	1	0.913043	0.807692	0.925
