A.TSS2k	H3K27me3	end	NESG.intersect.value	CLL.A34022.CEMT_4.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34038.CEMT_5.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34077.CEMT_6.H3K27me3.hg38.bwa-sb.IX2843.C3RULACXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34941.CEMT_26.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_AAGCGA.FindER2.bed.remDups.bed.intersect.value	CLL.A34948.CEMT_27.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A34955.CEMT_28.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A34962.CEMT_29.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A35239.CEMT_25.H3K27me3.hg38.bwa-sb.IX2650.C3THCACXX_4_CTCAGA.FindER2.bed.remDups.bed.intersect.value	CLL.A35246.CEMT_30.H3K27me3.hg38.bwa-sb.IX2655.C3YJAACXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	CLL.A60646.CEMT_94.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_ACCCAG.FindER2.bed.remDups.bed.intersect.value	CLL.A60653.CEMT_95.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_TGAATG.FindER2.bed.remDups.bed.intersect.value	CLL.A60660.CEMT_96.H3K27me3.hg38.bwa-sb.IX4416.C9587ANXX_1_CAACTA.FindER2.bed.remDups.bed.intersect.value	CLL.A60667.CEMT_97.H3K27me3.hg38.bwa-sb.IX4419.C9587ANXX_4_TTAGGC.FindER2.bed.remDups.bed.intersect.value	EGAN00001202786_EGAX00001231898_EGAR00001245924_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202787_EGAX00001272597_EGAR00001300138_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202788_EGAX00001272594_EGAR00001300135_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001202789_EGAX00001231899_EGAR00001245925_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001235813_EGAX00001234408_EGAR00001248463_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001265750_EGAX00001272586_EGAR00001300133_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value	EGAN00001295796_EGAX00001364335_EGAR00001401453_CLL_H3K27me3_SINGLE.FindER2.bed.intersect.value
chr11	59843501	59847501	ENSG00000134812	3025	3325	3475	3700	3475	3351	3400	3175	3550	2875	4000	4000	3400	4000	3700	3426	4000	3550	3850	3025
chr1	16016875	16020875	ENSG00000186510	2600	425	800	0	1550	950	1100	875	1250	2450	2950	1550	1400	3025	2375	2450	3150	1050	2000	2050
chr1	202120858	202124858	ENSG00000170075	3925	3775	3908	3175	4000	4000	4000	4000	4000	3983	4000	4000	4000	3775	3908	4000	4000	4000	4000	4000
chr11	62830088	62834088	ENSG00000162236	0	363	0	0	363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr5	171417656	171421656	ENSG00000156427	1206	1056	2406	900	1656	981	1956	1731	1206	2031	2631	1656	1356	2256	3306	2706	2781	1450	2406	2856
chr11	1221066	1225066	ENSG00000117983	1050	0	4000	825	1816	2641	3175	3325	3325	3700	4000	4000	3775	4000	4000	4000	4000	4000	4000	4000
chr17	781390	785390	ENSG00000167699	0	0	750	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0
chr13	75248480	75252480	ENSG00000223880	900	825	2175	1575	825	975	1500	900	1950	1575	2350	2575	3025	3180	1725	3400	4000	3595	3325	3630
chr1	171312208	171316208	ENSG00000076258	0	0	2408	300	0	0	0	0	0	17	0	0	0	0	450	0	300	0	758	0
chr1	161764294	161768294	ENSG00000118217	0	0	0	0	0	0	0	525	600	0	0	0	0	0	0	0	0	975	375	0
chr10	27152824	27156824	ENSG00000120539	0	0	0	0	149	0	0	224	0	0	0	0	0	300	0	0	0	0	0	0
chr12	98591591	98595591	ENSG00000075415	0	0	0	0	709	0	109	0	0	0	0	0	300	0	0	0	0	0	0	0
chr14	35119846	35123846	ENSG00000100890	0	525	0	450	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19	55652146	55656146	ENSG00000063244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0
chr17	67375281	67379281	ENSG00000154217	0	0	0	0	744	0	0	0	375	0	0	750	0	1119	0	0	0	675	331	0
chr3	45938933	45942933	ENSG00000172215	0	2508	1575	33	2508	0	300	450	0	1125	2100	0	333	933	0	0	0	0	0	0
chr13	51333773	51337773	ENSG00000253309	1650	1875	0	2748	2325	1350	2298	2100	1875	1375	0	952	1050	1477	0	1773	675	723	273	600
chr8	130082768	130086768	ENSG00000280543	750	1125	1125	600	2650	375	0	675	300	0	0	0	0	0	0	0	0	300	532	0
chr11	9136114	9140114	ENSG00000175356	300	825	239	0	1589	0	0	375	0	0	1964	0	525	0	0	0	0	0	0	0
chr12	105105324	105109324	ENSG00000136051	675	0	1176	900	349	0	1500	900	600	276	2226	2076	1776	1776	1626	2076	2076	1851	2226	2001
chr6	146596965	146600965	ENSG00000118492	675	975	3150	2625	675	900	1425	900	2025	2065	3565	3150	3700	3675	2400	3585	4000	4000	3190	3810
chr18	24395880	24399880	ENSG00000141447	3420	3570	3400	3120	3345	3345	3945	3645	3570	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr17	48966596	48970596	ENSG00000159224	4000	4000	4000	4000	4000	4000	4000	4000	4000	3700	4000	4000	3771	4000	4000	4000	4000	2875	3625	4000
chr4	147682230	147686230	ENSG00000164169	675	1200	955	0	1020	0	675	1020	450	205	805	655	805	0	55	0	0	0	450	0
chr11	2990377	2994377	ENSG00000205531	0	302	0	0	2	0	0	0	0	0	0	0	0	450	0	300	0	0	0	0
chr17	79837429	79841429	ENSG00000141582	1454	0	1304	1529	1529	1604	1679	1754	1829	1904	1829	1754	1754	1679	1979	1904	1904	1829	2279	2129
chr16	81443170	81447170	ENSG00000153815	375	0	0	0	600	0	830	0	0	0	5	0	0	1145	975	1500	0	0	1050	0
chr9	113111073	113115073	ENSG00000231528	1425	1500	1725	1575	1575	1800	1800	1875	1950	1500	1125	1650	1500	1275	1350	1425	900	1500	1575	1575
chr11	124021013	124025013	ENSG00000236981	1275	1275	2013	975	1050	900	1125	1275	1125	1612	2812	2662	4000	3250	450	1312	2163	3550	2737	2512
chr11	55817630	55821630	ENSG00000186119	675	1195	450	300	1870	450	0	1120	0	0	975	300	600	445	1125	525	375	525	0	750
chr22	21007808	21011808	ENSG00000099957	0	1200	0	0	450	0	0	0	0	375	525	0	0	0	0	0	0	0	0	0
chrX	151972680	151976680	ENSG00000102287	4000	3175	3550	2980	3150	3775	4000	3250	3925	3655	4000	4000	4000	4000	4000	3880	4000	4000	4000	4000
chr6	46650915	46654915	ENSG00000153291	1635	1710	1725	1785	1710	1575	1950	1635	1800	3585	4000	4000	4000	4000	4000	4000	4000	3885	4000	4000
chr16	89678737	89682737	ENSG00000185324	2588	1313	0	675	2738	413	0	2813	0	0	0	0	675	0	0	0	0	0	488	563
chr17	50148630	50152630	ENSG00000108819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525	0	0	0
chr19	53907335	53911335	ENSG00000105605	4000	3550	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr11	5057627	5061627	ENSG00000176787	825	2025	2175	1875	1575	2325	1275	1425	1800	900	1800	3177	2623	2698	1200	1275	1875	2125	898	1498
chr12	120444438	120448438	ENSG00000257218	0	0	0	0	975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr7	4680309	4684309	ENSG00000164916	966	366	0	450	216	816	366	516	441	1200	1050	825	0	516	366	141	0	0	1950	450
chr12	53101518	53105518	ENSG00000167780	3850	0	4000	2157	4000	0	850	3625	3882	3718	2875	4000	1125	2125	4000	3400	3775	3325	1107	3432
chr1	1397328	1401328	ENSG00000221978	0	0	0	0	0	0	0	0	0	525	703	0	0	0	0	0	0	0	0	300
chr4	80181879	80185879	ENSG00000152784	454	829	4	604	679	0	0	379	304	304	529	0	0	4	0	0	0	529	1204	679
chr4	185202237	185206237	ENSG00000109762	0	1050	300	0	1350	0	0	0	0	0	0	0	0	0	0	0	0	0	525	0
chr5	150658874	150662874	ENSG00000164591	4000	3550	3775	3400	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	3550	3849	4000	3475	4000
chr1	209754032	209758032	ENSG00000009790	0	450	0	0	675	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0
chrX	47215860	47219860	ENSG00000102225	0	1750	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
chr5	38843858	38847858	ENSG00000145623	2850	3325	2583	3100	2625	3550	3625	3258	3250	3258	3400	4000	4000	4000	4000	3775	4000	4000	4000	4000
chr10	12041170	12045170	ENSG00000151461	0	0	0	0	0	0	0	675	0	0	0	0	0	0	0	0	0	0	0	0
chr5	74765371	74769371	ENSG00000164347	0	0	675	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0
chr6	143862436	143866436	ENSG00000118491	0	239	0	825	164	0	0	164	0	236	311	0	375	0	0	0	0	0	0	0
chr7	65371799	65375799	ENSG00000146757	0	0	450	0	0	99	0	0	0	0	0	0	0	0	0	624	0	0	0	0
chr7	100825521	100829521	ENSG00000196411	3475	2529	3700	3850	3550	3850	4000	4000	3700	4000	4000	4000	0	4000	4000	4000	4000	4000	4000	4000
chr12	68744106	68748106	ENSG00000175782	0	0	0	375	825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19	8341262	8345262	ENSG00000186994	3400	3250	4000	3625	3775	4000	4000	4000	4000	3688	4000	4000	3175	4000	4000	4000	4000	4000	4000	4000
chrX	120983788	120987788	ENSG00000236371	375	600	675	375	600	600	525	900	525	0	0	0	600	263	713	563	1050	0	713	0
chr3	129276828	129280828	ENSG00000183624	1453	178	675	853	1675	1603	1828	928	0	450	0	103	0	750	2475	525	0	0	375	2053
chr15	78075724	78079724	ENSG00000167202	2875	0	0	824	2951	1200	750	600	300	0	0	0	0	300	3325	2575	0	525	300	0
chr10	97496794	97500794	ENSG00000155229	1050	975	0	1019	1019	1050	1394	900	1394	1619	1694	1469	1169	1694	1844	1919	1769	1019	1919	1844
chr1	246774013	246778013	ENSG00000227953	525	1275	900	0	1088	1013	0	1388	1613	675	0	375	1575	0	375	0	0	2100	1875	750
chr15	34586503	34590503	ENSG00000215252	1575	600	1525	1103	1650	750	2378	1650	1650	0	1022	825	0	1553	1403	2678	750	1725	2828	128
chr6	46791390	46795390	ENSG00000112818	415	415	2650	775	40	265	340	415	550	1000	1075	3700	2650	3475	1975	2100	3475	3660	4000	3625
chr19	55834800	55838800	ENSG00000179873	2325	3075	2775	2475	2400	2400	2125	2475	2550	2025	2925	3475	2650	2650	2800	2625	2175	3400	3175	3300
chr12	63777803	63781803	ENSG00000118600	0	0	0	0	247	0	0	0	0	825	300	0	600	300	675	0	0	0	2100	0
chr16	4732272	4736272	ENSG00000166246	0	825	22	0	375	247	525	697	600	0	0	22	97	375	0	247	0	772	97	172
chr22	21000196	21004196	ENSG00000184436	0	746	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0
chr13	30711478	30715478	ENSG00000132965	2378	1425	422	1150	3053	2153	450	3203	2078	2800	2597	1500	1750	2050	1628	3175	3025	2072	2153	0
chr15	34208096	34212096	ENSG00000134152	0	0	846	450	0	0	0	0	300	0	0	0	321	246	321	0	0	1071	1221	0
chr9	94591793	94595793	ENSG00000130957	3982	4000	4000	3982	4000	3982	4000	4000	3907	3850	4000	4000	3757	3700	4000	3475	4000	3625	3468	4000
chr4	112816109	112820109	ENSG00000145362	750	2325	525	2200	1875	2109	2791	2784	2800	3459	3700	3625	3925	4000	4000	0	3309	4000	2025	4000
chr19	45476828	45480828	ENSG00000012061	1300	78	325	1450	1525	0	1600	550	700	250	78	0	3	1597	378	78	0	475	1000	925
chr1	225939489	225943489	ENSG00000143768	3850	1350	4000	2275	3625	2614	4000	3700	3700	4000	4000	4000	3625	3175	4000	1975	4000	2650	2575	4000
chr18	3218108	3222108	ENSG00000101605	450	525	1050	300	300	450	1725	0	0	0	450	0	375	2400	0	0	0	375	0	0
chr4	95547206	95551206	ENSG00000182168	1669	2794	3150	1519	3019	3094	3169	3094	2869	4000	4000	4000	4000	4000	4000	1425	4000	4000	4000	4000
chr14	93114320	93118320	ENSG00000100605	420	945	450	270	1395	1695	1095	1245	900	1170	0	525	0	45	270	1545	795	675	675	0
chr19	6885566	6889566	ENSG00000174837	1750	2575	3850	3250	2575	2350	3025	2500	2875	3441	4000	3775	3516	3475	3775	4000	4000	3775	3934	4000
chr9	128273379	128277379	ENSG00000175854	0	79	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr17	68289267	68293267	ENSG00000108932	0	0	300	0	0	0	2883	0	0	0	0	0	0	1425	2850	4000	0	0	1650	0
chr14	20779051	20783051	ENSG00000169413	375	101	0	374	0	925	0	251	449	0	0	0	0	0	0	675	2576	0	0	0
chr17	17970813	17974813	ENSG00000171962	600	450	25	0	375	0	300	0	0	0	0	0	238	375	0	0	0	237	0	0
chr20	23419519	23423519	ENSG00000125814	344	194	719	494	419	419	494	344	569	675	494	869	750	944	794	1019	944	1169	2069	569
chrX	153687010	153691010	ENSG00000130822	1900	0	3025	815	1750	525	3025	1575	1675	2950	3325	2950	2360	3475	3850	3775	2875	2765	4000	4000
chr7	128474729	128478729	ENSG00000165055	0	0	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr8	62246591	62250591	ENSG00000185942	2700	2475	3709	3334	2850	2775	3409	2775	2775	4000	4000	4000	4000	4000	4000	4000	4000	3934	4000	4000
chr16	82624803	82628803	ENSG00000140945	2875	3400	4000	3850	3325	3775	4000	3325	3625	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr17	15028975	15032975	ENSG00000259944	900	2850	3500	3225	2075	2700	375	2625	2550	2300	3100	3700	3250	3100	1950	2650	3650	4000	3175	3725
chr17	7017659	7021659	ENSG00000267532	450	0	0	0	0	0	0	0	0	0	0	0	0	1950	900	1584	1125	0	459	0
chr12	49566218	49570218	ENSG00000110844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307	0	0
chr7	105874796	105878796	ENSG00000128536	1950	2025	3400	3250	2550	3171	3700	3150	4000	2575	3679	3550	0	4000	3754	4000	4000	3700	4000	4000
chr19	38227714	38231714	ENSG00000011332	2875	1675	3775	3550	3175	3625	4000	4000	4000	3100	4000	4000	1600	3550	4000	4000	3100	4000	4000	4000
chr1	99261953	99265953	ENSG00000117600	1800	2775	2478	2550	1350	2775	2625	1275	2625	3300	3603	3903	4000	4000	3450	3922	3975	3753	3528	3828
chr6	47040363	47044363	ENSG00000153292	537	1137	2725	1212	762	775	1300	987	1450	2563	3550	4000	3325	4000	2788	3838	2650	3775	3850	3325
chr7	42910305	42914305	ENSG00000136197	0	205	645	0	345	0	0	0	195	0	0	0	0	450	0	0	0	0	570	0
chr10	133356035	133360035	ENSG00000148803	0	0	0	0	0	0	0	0	0	415	0	0	0	0	0	300	0	0	0	0
chr6	79945580	79949580	ENSG00000118402	1680	1725	3400	2695	1950	2395	2770	1725	2725	2950	3325	4000	4000	4000	3925	4000	4000	4000	4000	4000
chr9	6718863	6722863	ENSG00000274527	1137	1975	1437	1362	3850	1288	0	3463	3988	0	0	0	0	1062	2700	300	600	2700	0	825
chr7	140688777	140692777	ENSG00000090266	450	0	0	525	925	0	0	0	0	0	0	0	0	525	0	0	0	0	0	0
chr19	12789496	12793496	ENSG00000171223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr4	107281806	107285806	ENSG00000155011	0	0	1981	750	0	525	450	0	0	2094	1525	3400	2650	2650	1231	3250	1981	3700	2056	2206
chr3	184359718	184363718	ENSG00000163882	0	0	0	0	0	0	0	0	0	1157	182	0	0	332	375	632	182	632	482	1082
chr5	140645785	140649785	ENSG00000131495	0	300	0	0	0	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0
chrX	135518659	135522659	ENSG00000165359	0	525	825	0	0	0	0	525	0	0	0	0	0	0	0	716	284	0	641	375
chr17	39195703	39199703	ENSG00000067191	0	0	0	0	0	0	0	0	0	0	0	0	0	675	2175	450	0	0	722	0
chr1	156814862	156818862	ENSG00000027869	2950	2425	2187	537	1900	1525	1888	1900	3025	2413	2575	2950	2425	3025	2575	2638	2563	2425	1588	1888
chr20	35697359	35701359	ENSG00000244005	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0	0	0	0	0	0
chr22	25403377	25407377	ENSG00000100068	0	1352	375	602	0	2402	0	227	450	0	0	0	300	1050	0	300	750	1125	1800	375
chr6	26283509	26287509	ENSG00000158406	525	375	0	0	766	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0
chr5	141634950	141638950	ENSG00000164620	0	0	0	0	0	0	0	0	0	625	0	0	0	0	0	0	0	0	0	0
chr2	227379995	227383995	ENSG00000168955	1750	2125	2830	2125	2575	1825	1330	2050	955	3475	3625	3025	3400	3400	3625	2680	1675	2455	3100	1630
chr11	27720058	27724058	ENSG00000176697	3242	3542	4000	3842	3467	3992	4000	3542	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr16	69760306	69764306	ENSG00000198373	419	419	0	0	0	0	644	0	0	0	0	0	0	0	450	194	0	0	0	0
chr6	44385525	44389525	ENSG00000096401	0	0	0	0	0	0	150	0	1350	0	600	0	0	0	300	150	0	0	750	0
chr6	27471118	27475118	ENSG00000096654	600	0	450	0	1050	0	0	0	0	743	443	0	0	375	0	0	0	0	0	0
chr1	247839896	247843896	ENSG00000197591	1054	2029	3004	1129	2179	2254	1729	1429	1054	2046	1821	2700	2025	1821	1371	921	2646	3700	2700	1446
chr15	76334724	76338724	ENSG00000159556	4000	3925	3550	4000	4000	4000	4000	4000	4000	375	4000	4000	3850	4000	4000	4000	4000	4000	4000	4000
chr7	48033511	48037511	ENSG00000164746	3100	2650	3986	3400	3175	3175	3475	3625	3625	4000	4000	4000	375	4000	4000	4000	4000	4000	4000	4000
chr3	167733243	167737243	ENSG00000163536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	525	0	0	0	0
chr19	2235704	2239704	ENSG00000104886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0
chr17	45782280	45786280	ENSG00000120088	3270	2595	4000	3700	2895	4000	4000	3645	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr2	118940166	118944166	ENSG00000019169	2700	3541	4000	3700	2575	3550	3700	3075	3550	4000	3775	4000	4000	4000	3775	3775	4000	4000	4000	4000
chr22	23143021	23147021	ENSG00000100218	1200	0	300	71	0	300	0	3221	3550	0	0	375	1425	0	1050	0	4000	3175	0	0
chr5	69368013	69372013	ENSG00000085231	0	0	162	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr15	73871608	73875608	ENSG00000167139	2425	3100	4000	4000	2425	3325	4000	2275	4000	0	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr22	20014808	20018808	ENSG00000099889	2950	2358	2950	2733	2950	2175	2800	2808	3400	3250	3325	3175	2575	3625	4000	4000	3550	2875	3625	4000
chr19	22782107	22786107	ENSG00000213973	2475	2550	1425	3657	975	2175	1800	3225	2850	450	2532	1875	3057	2550	2775	2250	1768	4000	1918	3400
chr13	99305405	99309405	ENSG00000169508	0	330	0	0	0	300	0	0	0	0	0	0	0	0	0	0	145	0	0	0
chr12	10418595	10422595	ENSG00000205810	0	0	445	0	0	0	0	0	0	0	0	1725	2125	0	0	375	0	1275	0	0
chr12	69357703	69361703	ENSG00000127337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr2	62509894	62513894	ENSG00000186889	1619	2519	2744	2294	1994	2369	2819	2219	2519	2606	2325	3056	3075	3400	3925	3719	3475	3700	4000	4000
chr14	97976124	97980124	ENSG00000246223	2050	3775	1924	2374	2650	1675	2599	2449	2350	3550	2875	3175	3100	3424	2074	1699	3175	2599	2200	1926
chr16	23519995	23523995	ENSG00000103365	0	320	375	300	0	0	0	0	0	0	0	0	0	0	395	0	0	0	0	0
chr3	100112513	100116513	ENSG00000168386	825	1800	675	1275	1575	975	450	900	1350	1725	2250	1650	2463	0	0	0	0	663	0	0
chr9	19047354	19051354	ENSG00000155875	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr16	23752627	23756627	ENSG00000166869	4000	3775	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	3775	4000	4000	4000
chr5	216241	220241	ENSG00000073578	0	525	0	0	825	0	0	0	0	0	0	0	0	0	0	0	0	0	375	0
chr4	4346140	4350140	ENSG00000168824	2810	2585	3335	2885	2960	3035	3185	2885	3185	3785	3775	4000	4000	2425	2800	4000	4000	3850	3250	3625
chr5	177131025	177135025	ENSG00000165671	0	0	0	0	0	0	0	0	0	0	0	0	0	600	825	0	0	0	0	0
chr11	126209692	126213692	ENSG00000165526	0	0	0	0	0	0	0	0	0	0	0	375	0	0	300	0	0	0	975	0
chr1	28734621	28738621	ENSG00000198492	525	375	0	0	0	0	0	879	0	0	0	0	0	0	0	0	0	0	375	0
chr4	41880611	41884611	ENSG00000245870	2764	3475	4000	4000	3064	4000	4000	3214	4000	3775	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr17	59938908	59942908	ENSG00000267318	0	900	0	0	1275	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0
chr3	138945234	138949234	ENSG00000206262	4000	2875	4000	3100	3925	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr19	40216399	40220399	ENSG00000174521	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	3899	4000	4000	4000
chr3	15204152	15208152	ENSG00000131375	0	0	1152	0	0	0	0	0	0	523	0	0	450	0	0	0	0	0	450	0
chr6	36674460	36678460	ENSG00000124762	1215	690	0	0	1440	0	0	600	1290	0	900	300	0	315	0	1125	375	0	0	0
chr2	218708845	218712845	ENSG00000135912	755	755	1055	680	680	680	1205	830	830	0	680	980	300	1355	830	1050	1655	1130	675	1130
chr21	42651636	42655636	ENSG00000160191	3325	2950	3325	3025	3400	3475	3475	3475	3550	3550	3775	3550	3700	4000	4000	4000	4000	4000	4000	4000
chr9	33074659	33078659	ENSG00000122692	416	525	0	450	1316	0	0	675	0	0	0	0	0	0	0	0	0	0	0	0
chr17	41686885	41690885	ENSG00000173812	0	0	0	0	0	0	0	0	65	450	0	0	0	0	0	0	0	0	0	0
chr4	38780990	38784990	ENSG00000174123	0	0	0	0	0	0	0	375	0	525	0	0	0	0	0	0	0	0	0	0
chr12	122728843	122732843	ENSG00000196917	3557	0	3407	2432	3557	0	0	3107	2582	2925	3625	2807	1982	3025	2657	2357	2582	2282	3325	2400
chr12	4443614	4447614	ENSG00000111241	4000	0	4000	2350	3775	0	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr1	60863259	60867259	ENSG00000162599	600	1200	2025	1650	675	375	1200	675	1125	1200	0	2466	3250	2725	675	2059	2316	3550	4000	3666
chr1	40095703	40099703	ENSG00000131238	1853	1028	1253	1553	1478	1403	1553	1628	1403	203	878	1253	728	953	1478	1125	600	1628	2453	1403
chr19	8501112	8505112	ENSG00000133246	2800	825	0	3112	3625	1912	588	3925	3700	1350	525	1650	2025	2362	2812	2662	2175	3775	2212	2325
chr5	88267476	88271476	ENSG00000164180	0	0	0	0	0	0	0	0	0	300	0	0	0	525	675	0	0	0	0	0
chr7	92475986	92479986	ENSG00000242950	0	600	0	214	1350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1	43387882	43391882	ENSG00000198198	0	0	0	0	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr14	37593847	37597847	ENSG00000139865	3347	2672	3722	3347	2897	3197	3872	3122	3872	3722	4000	4000	4000	4000	4000	4000	4000	4000	4000	4000
chr3	40307684	40311684	ENSG00000114784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	600	0	0
chr12	103839197	103843197	ENSG00000111696	0	0	1003	450	750	0	450	1078	0	0	0	0	372	0	375	450	478	0	1303	450
chr12	8064471	8068471	ENSG00000171860	2425	0	2275	1329	2371	0	0	2500	2275	579	1254	1704	1996	2004	2829	3850	2379	3550	2425	2754
chr1	156018959	156022959	ENSG00000163479	534	834	684	234	550	384	759	534	534	1059	759	384	0	0	309	525	0	84	750	0
chr14	81621061	81625061	ENSG00000258977	914	1889	3911	2725	2189	3239	2800	1739	3550	3536	3825	3986	3311	3625	2861	1961	4000	3325	2500	1964
chr1	169762705	169766705	ENSG00000007908	0	0	2800	2330	0	300	1875	0	1425	2800	3850	4000	4000	3380	3530	4000	4000	4000	4000	3025
chr3	11135093	11139093	ENSG00000196639	3918	4000	3025	2875	4000	4000	4000	4000	3475	3025	4000	2632	2575	2950	2043	2925	2643	2932	600	3325
chr1	32177686	32181686	ENSG00000084652	0	0	0	0	464	0	0	0	0	0	0	0	0	600	0	0	0	0	0	0
chr7	4957213	4961213	ENSG00000136297	2575	2050	2738	2350	2650	2725	3025	2725	2950	2875	2888	3038	0	4000	4000	3850	4000	4000	3863	4000
chr19	7667044	7671044	ENSG00000104918	4000	3431	3956	4000	4000	4000	4000	4000	4000	3475	4000	4000	3550	3625	3625	3644	4000	4000	4000	4000
chr7	30909855	30913855	ENSG00000240583	2755	675	4000	0	3495	3570	3505	3700	3795	4000	4000	4000	0	4000	4000	4000	4000	3195	3645	4000
chr19	15047384	15051384	ENSG00000105141	3100	2800	4000	3550	1600	3475	3100	2950	3550	3550	4000	4000	4000	3400	4000	3100	4000	4000	4000	4000
chr15	89573482	89577482	ENSG00000140534	1118	1525	1568	2350	2275	1900	1268	1900	2393	0	1268	1118	375	3218	2018	1643	2100	3332	3025	4000
chr5	160117423	160121423	ENSG00000170234	1150	0	0	473	773	548	623	773	398	0	0	0	473	623	623	0	375	848	323	0
chrX	15686830	15690830	ENSG00000169239	0	1500	675	0	0	0	0	0	375	0	0	0	230	0	0	0	0	0	0	0
chr10	100985367	100989367	ENSG00000107815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr20	5748393	5752393	ENSG00000171984	0	868	0	357	1450	432	0	1107	0	0	0	0	0	0	0	0	0	0	0	0
chr12	104136289	104140289	ENSG00000120837	900	0	1125	914	1589	0	600	1214	614	0	0	600	0	0	0	0	0	0	525	0
chrX	54438401	54442401	ENSG00000158526	499	649	1200	874	1249	649	724	1549	649	375	124	0	0	0	499	450	1600	0	49	0
chr20	44650233	44654233	ENSG00000196839	1000	883	492	0	1900	792	508	2275	2200	1467	0	1300	942	1875	0	2742	3475	750	2425	192
chr19	46659138	46663138	ENSG00000197380	2050	1137	1737	2350	1900	2125	2350	2275	2425	2050	2125	2575	2125	2950	2500	1975	2200	2425	1975	2800
chr17	35576046	35580046	ENSG00000006125	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	0
